Cer-EOS,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[EFA-H]-,[FAA-H]-,[Sph-C2H8NO]-
Cer-EOS(d14:1/30:1-O-15:1)-H,912.8384,690.64,490.463,239.2017,464.4473,181.1598
Cer-EOS(d14:1/30:2-O-15:1)-H,910.8228,688.6244,488.4473,239.2017,462.4317,181.1598
Cer-EOS(d14:1/31:0-O-15:1)-H,928.8697,706.6713,506.4943,239.2017,480.4786,181.1598
Cer-EOS(d14:1/31:1-O-15:1)-H,926.8541,704.6557,504.4786,239.2017,478.463,181.1598
Cer-EOS(d14:1/32:0-O-15:1)-H,942.8854,720.687,520.5099,239.2017,494.4943,181.1598
Cer-EOS(d14:1/32:1-O-15:1)-H,940.8697,718.6713,518.4943,239.2017,492.4786,181.1598
Cer-EOS(d14:1/32:2-O-15:1)-H,938.8541,716.6557,516.4786,239.2017,490.463,181.1598
Cer-EOS(d14:1/33:0-O-15:1)-H,956.901,734.7026,534.5256,239.2017,508.5099,181.1598
Cer-EOS(d14:1/33:1-O-15:1)-H,954.8854,732.687,532.5099,239.2017,506.4943,181.1598
Cer-EOS(d14:1/34:0-O-15:1)-H,970.9167,748.7183,548.5412,239.2017,522.5256,181.1598
Cer-EOS(d14:1/34:1-O-15:1)-H,968.901,746.7026,546.5256,239.2017,520.5099,181.1598
Cer-EOS(d14:1/34:2-O-15:1)-H,966.8854,744.687,544.5099,239.2017,518.4943,181.1598
Cer-EOS(d14:1/35:0-O-15:1)-H,984.9323,762.7339,562.5569,239.2017,536.5412,181.1598
Cer-EOS(d14:1/35:1-O-15:1)-H,982.9167,760.7183,560.5412,239.2017,534.5256,181.1598
Cer-EOS(d14:1/36:0-O-15:1)-H,998.9479,776.7496,576.5725,239.2017,550.5569,181.1598
Cer-EOS(d14:1/36:1-O-15:1)-H,996.9323,774.7339,574.5569,239.2017,548.5412,181.1598
Cer-EOS(d14:1/36:2-O-15:1)-H,994.9167,772.7183,572.5412,239.2017,546.5256,181.1598
Cer-EOS(d14:1/38:0-O-15:1)-H,1026.979,804.7809,604.6038,239.2017,578.5881,181.1598
Cer-EOS(d14:1/38:1-O-15:1)-H,1024.964,802.7653,602.5881,239.2017,576.5725,181.1598
Cer-EOS(d14:1/38:2-O-15:1)-H,1022.948,800.7496,600.5725,239.2017,574.5569,181.1598
Cer-EOS(d14:1/40:0-O-15:1)-H,1055.011,832.8122,632.6351,239.2017,606.6194,181.1598
Cer-EOS(d14:1/40:1-O-15:1)-H,1052.995,830.7966,630.6194,239.2017,604.6038,181.1598
Cer-EOS(d14:1/40:2-O-15:1)-H,1050.979,828.7809,628.6038,239.2017,602.5881,181.1598
Cer-EOS(d14:1/42:0-O-15:1)-H,1083.042,860.8435,660.6664,239.2017,634.6508,181.1598
Cer-EOS(d14:1/42:1-O-15:1)-H,1081.026,858.8278,658.6508,239.2017,632.6351,181.1598
Cer-EOS(d14:1/42:2-O-15:1)-H,1079.011,856.8122,656.6351,239.2017,630.6194,181.1598
Cer-EOS(d14:1/12:0-O-16:0)-H,678.6036,440.374,240.1969,255.233,214.1813,181.1598
Cer-EOS(d14:1/12:1-O-16:0)-H,676.588,438.3583,238.1813,255.233,212.1656,181.1598
Cer-EOS(d14:1/13:0-O-16:0)-H,692.6193,454.3896,254.2126,255.233,228.1969,181.1598
Cer-EOS(d14:1/13:1-O-16:0)-H,690.6036,452.374,252.1969,255.233,226.1813,181.1598
Cer-EOS(d14:1/14:0-O-16:0)-H,706.6349,468.4053,268.2282,255.233,242.2126,181.1598
Cer-EOS(d14:1/14:1-O-16:0)-H,704.6193,466.3896,266.2126,255.233,240.1969,181.1598
Cer-EOS(d14:1/15:0-O-16:0)-H,720.6506,482.4209,282.2439,255.233,256.2282,181.1598
Cer-EOS(d14:1/15:1-O-16:0)-H,718.6349,480.4053,280.2282,255.233,254.2126,181.1598
Cer-EOS(d14:1/16:0-O-16:0)-H,734.6663,496.4366,296.2595,255.233,270.2439,181.1598
Cer-EOS(d14:1/16:1-O-16:0)-H,732.6506,494.4209,294.2439,255.233,268.2282,181.1598
Cer-EOS(d14:1/16:2-O-16:0)-H,730.6349,492.4053,292.2282,255.233,266.2126,181.1598
Cer-EOS(d14:1/17:0-O-16:0)-H,748.6819,510.4522,310.2751,255.233,284.2595,181.1598
Cer-EOS(d14:1/18:0-O-16:0)-H,762.6976,524.4679,324.2908,255.233,298.2751,181.1598
Cer-EOS(d14:1/18:1-O-16:0)-H,760.6819,522.4523,322.2751,255.233,296.2595,181.1598
Cer-EOS(d14:1/18:2-O-16:0)-H,758.6663,520.4366,320.2595,255.233,294.2439,181.1598
Cer-EOS(d14:1/19:0-O-16:0)-H,776.7132,538.4835,338.3065,255.233,312.2908,181.1598
Cer-EOS(d14:1/19:1-O-16:0)-H,774.6976,536.4679,336.2908,255.233,310.2751,181.1598
Cer-EOS(d14:1/20:0-O-16:0)-H,790.7289,552.4992,352.3221,255.233,326.3065,181.1598
Cer-EOS(d14:1/20:1-O-16:0)-H,788.7132,550.4835,350.3065,255.233,324.2908,181.1598
Cer-EOS(d14:1/20:2-O-16:0)-H,786.6976,548.4679,348.2908,255.233,322.2751,181.1598
Cer-EOS(d14:1/21:0-O-16:0)-H,804.7445,566.5148,366.3378,255.233,340.3221,181.1598
Cer-EOS(d14:1/21:1-O-16:0)-H,802.7289,564.4992,364.3221,255.233,338.3065,181.1598
Cer-EOS(d14:1/22:0-O-16:0)-H,818.7601,580.5305,380.3534,255.233,354.3378,181.1598
Cer-EOS(d14:1/22:1-O-16:0)-H,816.7445,578.5148,378.3378,255.233,352.3221,181.1598
Cer-EOS(d14:1/22:2-O-16:0)-H,814.7289,576.4992,376.3221,255.233,350.3065,181.1598
Cer-EOS(d14:1/23:0-O-16:0)-H,832.7758,594.5461,394.369,255.233,368.3534,181.1598
Cer-EOS(d14:1/23:1-O-16:0)-H,830.7601,592.5305,392.3534,255.233,366.3378,181.1598
Cer-EOS(d14:1/24:0-O-16:0)-H,846.7914,608.5618,408.3847,255.233,382.369,181.1598
Cer-EOS(d14:1/24:1-O-16:0)-H,844.7758,606.5461,406.369,255.233,380.3534,181.1598
Cer-EOS(d14:1/24:2-O-16:0)-H,842.7601,604.5305,404.3534,255.233,378.3378,181.1598
Cer-EOS(d14:1/25:0-O-16:0)-H,860.8071,622.5775,422.4004,255.233,396.3847,181.1598
Cer-EOS(d14:1/25:1-O-16:0)-H,858.7914,620.5618,420.3847,255.233,394.369,181.1598
Cer-EOS(d14:1/26:0-O-16:0)-H,874.8228,636.5931,436.416,255.233,410.4004,181.1598
Cer-EOS(d14:1/26:1-O-16:0)-H,872.8071,634.5775,434.4004,255.233,408.3847,181.1598
Cer-EOS(d14:1/26:2-O-16:0)-H,870.7914,632.5618,432.3847,255.233,406.369,181.1598
Cer-EOS(d14:1/27:0-O-16:0)-H,888.8384,650.6088,450.4317,255.233,424.416,181.1598
Cer-EOS(d14:1/27:1-O-16:0)-H,886.8228,648.5931,448.416,255.233,422.4004,181.1598
Cer-EOS(d14:1/28:0-O-16:0)-H,902.8541,664.6244,464.4473,255.233,438.4317,181.1598
Cer-EOS(d14:1/28:1-O-16:0)-H,900.8384,662.6088,462.4317,255.233,436.416,181.1598
Cer-EOS(d14:1/28:2-O-16:0)-H,898.8228,660.5931,460.416,255.233,434.4004,181.1598
Cer-EOS(d14:1/29:0-O-16:0)-H,916.8697,678.64,478.463,255.233,452.4473,181.1598
Cer-EOS(d14:1/29:1-O-16:0)-H,914.8541,676.6244,476.4473,255.233,450.4317,181.1598
Cer-EOS(d14:1/30:0-O-16:0)-H,930.8854,692.6557,492.4786,255.233,466.463,181.1598
Cer-EOS(d14:1/30:1-O-16:0)-H,928.8697,690.64,490.463,255.233,464.4473,181.1598
Cer-EOS(d14:1/30:2-O-16:0)-H,926.8541,688.6244,488.4473,255.233,462.4317,181.1598
Cer-EOS(d14:1/31:0-O-16:0)-H,944.901,706.6713,506.4943,255.233,480.4786,181.1598
Cer-EOS(d14:1/31:1-O-16:0)-H,942.8854,704.6557,504.4786,255.233,478.463,181.1598
Cer-EOS(d14:1/32:0-O-16:0)-H,958.9167,720.687,520.5099,255.233,494.4943,181.1598
Cer-EOS(d14:1/32:1-O-16:0)-H,956.901,718.6713,518.4943,255.233,492.4786,181.1598
Cer-EOS(d14:1/32:2-O-16:0)-H,954.8854,716.6557,516.4786,255.233,490.463,181.1598
Cer-EOS(d14:1/33:0-O-16:0)-H,972.9323,734.7026,534.5256,255.233,508.5099,181.1598
Cer-EOS(d14:1/33:1-O-16:0)-H,970.9167,732.687,532.5099,255.233,506.4943,181.1598
Cer-EOS(d14:1/34:0-O-16:0)-H,986.9479,748.7183,548.5412,255.233,522.5256,181.1598
Cer-EOS(d14:1/34:1-O-16:0)-H,984.9323,746.7026,546.5256,255.233,520.5099,181.1598
Cer-EOS(d14:1/34:2-O-16:0)-H,982.9167,744.687,544.5099,255.233,518.4943,181.1598
Cer-EOS(d14:1/35:0-O-16:0)-H,1000.964,762.7339,562.5569,255.233,536.5412,181.1598
Cer-EOS(d14:1/35:1-O-16:0)-H,998.9479,760.7183,560.5412,255.233,534.5256,181.1598
Cer-EOS(d14:1/36:0-O-16:0)-H,1014.979,776.7496,576.5725,255.233,550.5569,181.1598
Cer-EOS(d14:1/36:1-O-16:0)-H,1012.964,774.7339,574.5569,255.233,548.5412,181.1598
Cer-EOS(d14:1/36:2-O-16:0)-H,1010.948,772.7183,572.5412,255.233,546.5256,181.1598
Cer-EOS(d14:1/38:0-O-16:0)-H,1043.011,804.7809,604.6038,255.233,578.5881,181.1598
Cer-EOS(d14:1/38:1-O-16:0)-H,1040.995,802.7653,602.5881,255.233,576.5725,181.1598
Cer-EOS(d14:1/38:2-O-16:0)-H,1038.979,800.7496,600.5725,255.233,574.5569,181.1598
Cer-EOS(d14:1/40:0-O-16:0)-H,1071.042,832.8122,632.6351,255.233,606.6194,181.1598
Cer-EOS(d14:1/40:1-O-16:0)-H,1069.026,830.7966,630.6194,255.233,604.6038,181.1598
Cer-EOS(d14:1/40:2-O-16:0)-H,1067.011,828.7809,628.6038,255.233,602.5881,181.1598
Cer-EOS(d14:1/42:0-O-16:0)-H,1099.073,860.8435,660.6664,255.233,634.6508,181.1598
Cer-EOS(d14:1/42:1-O-16:0)-H,1097.057,858.8278,658.6508,255.233,632.6351,181.1598
Cer-EOS(d14:1/42:2-O-16:0)-H,1095.042,856.8122,656.6351,255.233,630.6194,181.1598
Cer-EOS(d14:1/12:0-O-16:1)-H,676.588,440.374,240.1969,253.2173,214.1813,181.1598
Cer-EOS(d14:1/12:1-O-16:1)-H,674.5723,438.3583,238.1813,253.2173,212.1656,181.1598
Cer-EOS(d14:1/13:0-O-16:1)-H,690.6036,454.3896,254.2126,253.2173,228.1969,181.1598
Cer-EOS(d14:1/13:1-O-16:1)-H,688.588,452.374,252.1969,253.2173,226.1813,181.1598
Cer-EOS(d14:1/14:0-O-16:1)-H,704.6193,468.4053,268.2282,253.2173,242.2126,181.1598
Cer-EOS(d14:1/14:1-O-16:1)-H,702.6036,466.3896,266.2126,253.2173,240.1969,181.1598
Cer-EOS(d14:1/15:0-O-16:1)-H,718.6349,482.4209,282.2439,253.2173,256.2282,181.1598
Cer-EOS(d14:1/15:1-O-16:1)-H,716.6193,480.4053,280.2282,253.2173,254.2126,181.1598
Cer-EOS(d14:1/16:0-O-16:1)-H,732.6506,496.4366,296.2595,253.2173,270.2439,181.1598
Cer-EOS(d14:1/16:1-O-16:1)-H,730.6349,494.4209,294.2439,253.2173,268.2282,181.1598
Cer-EOS(d14:1/16:2-O-16:1)-H,728.6193,492.4053,292.2282,253.2173,266.2126,181.1598
Cer-EOS(d14:1/17:0-O-16:1)-H,746.6663,510.4522,310.2751,253.2173,284.2595,181.1598
Cer-EOS(d14:1/18:0-O-16:1)-H,760.6819,524.4679,324.2908,253.2173,298.2751,181.1598
Cer-EOS(d14:1/18:1-O-16:1)-H,758.6663,522.4522,322.2751,253.2173,296.2595,181.1598
Cer-EOS(d14:1/18:2-O-16:1)-H,756.6506,520.4366,320.2595,253.2173,294.2439,181.1598
Cer-EOS(d14:1/19:0-O-16:1)-H,774.6976,538.4835,338.3065,253.2173,312.2908,181.1598
Cer-EOS(d14:1/19:1-O-16:1)-H,772.6819,536.4679,336.2908,253.2173,310.2751,181.1598
Cer-EOS(d14:1/20:0-O-16:1)-H,788.7132,552.4992,352.3221,253.2173,326.3065,181.1598
Cer-EOS(d14:1/20:1-O-16:1)-H,786.6976,550.4835,350.3065,253.2173,324.2908,181.1598
Cer-EOS(d14:1/20:2-O-16:1)-H,784.6819,548.4679,348.2908,253.2173,322.2751,181.1598
Cer-EOS(d14:1/21:0-O-16:1)-H,802.7289,566.5148,366.3378,253.2173,340.3221,181.1598
Cer-EOS(d14:1/21:1-O-16:1)-H,800.7132,564.4992,364.3221,253.2173,338.3065,181.1598
Cer-EOS(d14:1/22:0-O-16:1)-H,816.7445,580.5305,380.3534,253.2173,354.3378,181.1598
Cer-EOS(d14:1/22:1-O-16:1)-H,814.7289,578.5148,378.3378,253.2173,352.3221,181.1598
Cer-EOS(d14:1/22:2-O-16:1)-H,812.7132,576.4992,376.3221,253.2173,350.3065,181.1598
Cer-EOS(d14:1/23:0-O-16:1)-H,830.7601,594.5461,394.369,253.2173,368.3534,181.1598
Cer-EOS(d14:1/23:1-O-16:1)-H,828.7445,592.5305,392.3534,253.2173,366.3378,181.1598
Cer-EOS(d14:1/24:0-O-16:1)-H,844.7758,608.5618,408.3847,253.2173,382.369,181.1598
Cer-EOS(d14:1/24:1-O-16:1)-H,842.7601,606.5461,406.369,253.2173,380.3534,181.1598
Cer-EOS(d14:1/24:2-O-16:1)-H,840.7445,604.5305,404.3534,253.2173,378.3378,181.1598
Cer-EOS(d14:1/25:0-O-16:1)-H,858.7914,622.5775,422.4004,253.2173,396.3847,181.1598
Cer-EOS(d14:1/25:1-O-16:1)-H,856.7758,620.5618,420.3847,253.2173,394.369,181.1598
Cer-EOS(d14:1/26:0-O-16:1)-H,872.8071,636.5931,436.416,253.2173,410.4004,181.1598
Cer-EOS(d14:1/26:1-O-16:1)-H,870.7914,634.5775,434.4004,253.2173,408.3847,181.1598
Cer-EOS(d14:1/26:2-O-16:1)-H,868.7758,632.5618,432.3847,253.2173,406.369,181.1598
Cer-EOS(d14:1/27:0-O-16:1)-H,886.8228,650.6088,450.4317,253.2173,424.416,181.1598
Cer-EOS(d14:1/27:1-O-16:1)-H,884.8071,648.5931,448.416,253.2173,422.4004,181.1598
Cer-EOS(d14:1/28:0-O-16:1)-H,900.8384,664.6244,464.4473,253.2173,438.4317,181.1598
Cer-EOS(d14:1/28:1-O-16:1)-H,898.8228,662.6088,462.4317,253.2173,436.416,181.1598
Cer-EOS(d14:1/28:2-O-16:1)-H,896.8071,660.5931,460.416,253.2173,434.4004,181.1598
Cer-EOS(d14:1/29:0-O-16:1)-H,914.8541,678.64,478.463,253.2173,452.4473,181.1598
Cer-EOS(d14:1/29:1-O-16:1)-H,912.8384,676.6244,476.4473,253.2173,450.4317,181.1598
Cer-EOS(d14:1/30:0-O-16:1)-H,928.8697,692.6557,492.4786,253.2173,466.463,181.1598
Cer-EOS(d14:1/30:1-O-16:1)-H,926.8541,690.64,490.463,253.2173,464.4473,181.1598
Cer-EOS(d14:1/30:2-O-16:1)-H,924.8384,688.6244,488.4473,253.2173,462.4317,181.1598
Cer-EOS(d14:1/31:0-O-16:1)-H,942.8854,706.6713,506.4943,253.2173,480.4786,181.1598
Cer-EOS(d14:1/31:1-O-16:1)-H,940.8697,704.6557,504.4786,253.2173,478.463,181.1598
Cer-EOS(d14:1/32:0-O-16:1)-H,956.901,720.687,520.5099,253.2173,494.4943,181.1598
Cer-EOS(d14:1/32:1-O-16:1)-H,954.8854,718.6713,518.4943,253.2173,492.4786,181.1598
Cer-EOS(d14:1/32:2-O-16:1)-H,952.8697,716.6557,516.4786,253.2173,490.463,181.1598
Cer-EOS(d14:1/33:0-O-16:1)-H,970.9167,734.7026,534.5256,253.2173,508.5099,181.1598
Cer-EOS(d14:1/33:1-O-16:1)-H,968.901,732.687,532.5099,253.2173,506.4943,181.1598
Cer-EOS(d14:1/34:0-O-16:1)-H,984.9323,748.7183,548.5412,253.2173,522.5256,181.1598
Cer-EOS(d14:1/34:1-O-16:1)-H,982.9167,746.7026,546.5256,253.2173,520.5099,181.1598
Cer-EOS(d14:1/34:2-O-16:1)-H,980.901,744.687,544.5099,253.2173,518.4943,181.1598
Cer-EOS(d14:1/35:0-O-16:1)-H,998.9479,762.7339,562.5569,253.2173,536.5412,181.1598
Cer-EOS(d14:1/35:1-O-16:1)-H,996.9323,760.7183,560.5412,253.2173,534.5256,181.1598
Cer-EOS(d14:1/36:0-O-16:1)-H,1012.964,776.7496,576.5725,253.2173,550.5569,181.1598
Cer-EOS(d14:1/36:1-O-16:1)-H,1010.948,774.7339,574.5569,253.2173,548.5412,181.1598
Cer-EOS(d14:1/36:2-O-16:1)-H,1008.932,772.7183,572.5412,253.2173,546.5256,181.1598
Cer-EOS(d14:1/38:0-O-16:1)-H,1040.995,804.7809,604.6038,253.2173,578.5881,181.1598
Cer-EOS(d14:1/38:1-O-16:1)-H,1038.979,802.7653,602.5881,253.2173,576.5725,181.1598
Cer-EOS(d14:1/38:2-O-16:1)-H,1036.964,800.7496,600.5725,253.2173,574.5569,181.1598
Cer-EOS(d14:1/40:0-O-16:1)-H,1069.026,832.8122,632.6351,253.2173,606.6194,181.1598
Cer-EOS(d14:1/40:1-O-16:1)-H,1067.011,830.7966,630.6194,253.2173,604.6038,181.1598
Cer-EOS(d14:1/40:2-O-16:1)-H,1064.995,828.7809,628.6038,253.2173,602.5881,181.1598
Cer-EOS(d14:1/42:0-O-16:1)-H,1097.057,860.8435,660.6664,253.2173,634.6508,181.1598
Cer-EOS(d14:1/42:1-O-16:1)-H,1095.042,858.8278,658.6508,253.2173,632.6351,181.1598
Cer-EOS(d14:1/42:2-O-16:1)-H,1093.026,856.8122,656.6351,253.2173,630.6194,181.1598
Cer-EOS(d14:1/12:0-O-16:2)-H,674.5723,440.374,240.1969,251.2017,214.1813,181.1598
Cer-EOS(d14:1/12:1-O-16:2)-H,672.5567,438.3583,238.1813,251.2017,212.1656,181.1598
Cer-EOS(d14:1/13:0-O-16:2)-H,688.588,454.3896,254.2126,251.2017,228.1969,181.1598
Cer-EOS(d14:1/13:1-O-16:2)-H,686.5723,452.374,252.1969,251.2017,226.1813,181.1598
Cer-EOS(d14:1/14:0-O-16:2)-H,702.6036,468.4053,268.2282,251.2017,242.2126,181.1598
Cer-EOS(d14:1/14:1-O-16:2)-H,700.588,466.3896,266.2126,251.2017,240.1969,181.1598
Cer-EOS(d14:1/15:0-O-16:2)-H,716.6193,482.4209,282.2439,251.2017,256.2282,181.1598
Cer-EOS(d14:1/15:1-O-16:2)-H,714.6036,480.4053,280.2282,251.2017,254.2126,181.1598
Cer-EOS(d14:1/16:0-O-16:2)-H,730.6349,496.4366,296.2595,251.2017,270.2439,181.1598
Cer-EOS(d14:1/16:1-O-16:2)-H,728.6193,494.4209,294.2439,251.2017,268.2282,181.1598
Cer-EOS(d14:1/16:2-O-16:2)-H,726.6036,492.4053,292.2282,251.2017,266.2126,181.1598
Cer-EOS(d14:1/17:0-O-16:2)-H,744.6506,510.4522,310.2751,251.2017,284.2595,181.1598
Cer-EOS(d14:1/18:0-O-16:2)-H,758.6663,524.4679,324.2908,251.2017,298.2751,181.1598
Cer-EOS(d14:1/18:1-O-16:2)-H,756.6506,522.4522,322.2751,251.2017,296.2595,181.1598
Cer-EOS(d14:1/18:2-O-16:2)-H,754.6349,520.4366,320.2595,251.2017,294.2439,181.1598
Cer-EOS(d14:1/19:0-O-16:2)-H,772.6819,538.4835,338.3065,251.2017,312.2908,181.1598
Cer-EOS(d14:1/19:1-O-16:2)-H,770.6663,536.4679,336.2908,251.2017,310.2751,181.1598
Cer-EOS(d14:1/20:0-O-16:2)-H,786.6976,552.4992,352.3221,251.2017,326.3065,181.1598
Cer-EOS(d14:1/20:1-O-16:2)-H,784.6819,550.4835,350.3065,251.2017,324.2908,181.1598
Cer-EOS(d14:1/20:2-O-16:2)-H,782.6663,548.4679,348.2908,251.2017,322.2751,181.1598
Cer-EOS(d14:1/21:0-O-16:2)-H,800.7132,566.5148,366.3378,251.2017,340.3221,181.1598
Cer-EOS(d14:1/21:1-O-16:2)-H,798.6976,564.4992,364.3221,251.2017,338.3065,181.1598
Cer-EOS(d14:1/22:0-O-16:2)-H,814.7289,580.5305,380.3534,251.2017,354.3378,181.1598
Cer-EOS(d14:1/22:1-O-16:2)-H,812.7132,578.5148,378.3378,251.2017,352.3221,181.1598
Cer-EOS(d14:1/22:2-O-16:2)-H,810.6976,576.4992,376.3221,251.2017,350.3065,181.1598
Cer-EOS(d14:1/23:0-O-16:2)-H,828.7445,594.5461,394.369,251.2017,368.3534,181.1598
Cer-EOS(d14:1/23:1-O-16:2)-H,826.7289,592.5305,392.3534,251.2017,366.3378,181.1598
Cer-EOS(d14:1/24:0-O-16:2)-H,842.7601,608.5618,408.3847,251.2017,382.369,181.1598
Cer-EOS(d14:1/24:1-O-16:2)-H,840.7445,606.5461,406.369,251.2017,380.3534,181.1598
Cer-EOS(d14:1/24:2-O-16:2)-H,838.7289,604.5305,404.3534,251.2017,378.3378,181.1598
Cer-EOS(d14:1/25:0-O-16:2)-H,856.7758,622.5775,422.4004,251.2017,396.3847,181.1598
Cer-EOS(d14:1/25:1-O-16:2)-H,854.7601,620.5618,420.3847,251.2017,394.369,181.1598
Cer-EOS(d14:1/26:0-O-16:2)-H,870.7914,636.5931,436.416,251.2017,410.4004,181.1598
Cer-EOS(d14:1/26:1-O-16:2)-H,868.7758,634.5775,434.4004,251.2017,408.3847,181.1598
Cer-EOS(d14:1/26:2-O-16:2)-H,866.7601,632.5618,432.3847,251.2017,406.369,181.1598
Cer-EOS(d14:1/27:0-O-16:2)-H,884.8071,650.6088,450.4317,251.2017,424.416,181.1598
Cer-EOS(d14:1/27:1-O-16:2)-H,882.7914,648.5931,448.416,251.2017,422.4004,181.1598
Cer-EOS(d14:1/28:0-O-16:2)-H,898.8228,664.6244,464.4473,251.2017,438.4317,181.1598
Cer-EOS(d14:1/28:1-O-16:2)-H,896.8071,662.6088,462.4317,251.2017,436.416,181.1598
Cer-EOS(d14:1/28:2-O-16:2)-H,894.7914,660.5931,460.416,251.2017,434.4004,181.1598
Cer-EOS(d14:1/29:0-O-16:2)-H,912.8384,678.64,478.463,251.2017,452.4473,181.1598
Cer-EOS(d14:1/29:1-O-16:2)-H,910.8228,676.6244,476.4473,251.2017,450.4317,181.1598
Cer-EOS(d14:1/30:0-O-16:2)-H,926.8541,692.6557,492.4786,251.2017,466.463,181.1598
Cer-EOS(d14:1/30:1-O-16:2)-H,924.8384,690.64,490.463,251.2017,464.4473,181.1598
Cer-EOS(d14:1/30:2-O-16:2)-H,922.8228,688.6244,488.4473,251.2017,462.4317,181.1598
Cer-EOS(d14:1/31:0-O-16:2)-H,940.8697,706.6713,506.4943,251.2017,480.4786,181.1598
Cer-EOS(d14:1/31:1-O-16:2)-H,938.8541,704.6557,504.4786,251.2017,478.463,181.1598
Cer-EOS(d14:1/32:0-O-16:2)-H,954.8854,720.687,520.5099,251.2017,494.4943,181.1598
Cer-EOS(d14:1/32:1-O-16:2)-H,952.8697,718.6713,518.4943,251.2017,492.4786,181.1598
Cer-EOS(d14:1/32:2-O-16:2)-H,950.8541,716.6557,516.4786,251.2017,490.463,181.1598
Cer-EOS(d14:1/33:0-O-16:2)-H,968.901,734.7026,534.5256,251.2017,508.5099,181.1598
Cer-EOS(d14:1/33:1-O-16:2)-H,966.8854,732.687,532.5099,251.2017,506.4943,181.1598
Cer-EOS(d14:1/34:0-O-16:2)-H,982.9167,748.7183,548.5412,251.2017,522.5256,181.1598
Cer-EOS(d14:1/34:1-O-16:2)-H,980.901,746.7026,546.5256,251.2017,520.5099,181.1598
Cer-EOS(d14:1/34:2-O-16:2)-H,978.8854,744.687,544.5099,251.2017,518.4943,181.1598
Cer-EOS(d14:1/35:0-O-16:2)-H,996.9323,762.7339,562.5569,251.2017,536.5412,181.1598
Cer-EOS(d14:1/35:1-O-16:2)-H,994.9167,760.7183,560.5412,251.2017,534.5256,181.1598
Cer-EOS(d14:1/36:0-O-16:2)-H,1010.948,776.7496,576.5725,251.2017,550.5569,181.1598
Cer-EOS(d14:1/36:1-O-16:2)-H,1008.932,774.7339,574.5569,251.2017,548.5412,181.1598
Cer-EOS(d14:1/36:2-O-16:2)-H,1006.917,772.7183,572.5412,251.2017,546.5256,181.1598
Cer-EOS(d14:1/38:0-O-16:2)-H,1038.979,804.7809,604.6038,251.2017,578.5881,181.1598
Cer-EOS(d14:1/38:1-O-16:2)-H,1036.964,802.7653,602.5881,251.2017,576.5725,181.1598
Cer-EOS(d14:1/38:2-O-16:2)-H,1034.948,800.7496,600.5725,251.2017,574.5569,181.1598
Cer-EOS(d14:1/40:0-O-16:2)-H,1067.011,832.8122,632.6351,251.2017,606.6194,181.1598
Cer-EOS(d14:1/40:1-O-16:2)-H,1064.995,830.7966,630.6194,251.2017,604.6038,181.1598
Cer-EOS(d14:1/40:2-O-16:2)-H,1062.979,828.7809,628.6038,251.2017,602.5881,181.1598
Cer-EOS(d14:1/42:0-O-16:2)-H,1095.042,860.8435,660.6664,251.2017,634.6508,181.1598
Cer-EOS(d14:1/42:1-O-16:2)-H,1093.026,858.8278,658.6508,251.2017,632.6351,181.1598
Cer-EOS(d14:1/42:2-O-16:2)-H,1091.011,856.8122,656.6351,251.2017,630.6194,181.1598
Cer-EOS(d14:1/12:0-O-17:0)-H,692.6193,440.374,240.1969,269.2486,214.1813,181.1598
Cer-EOS(d14:1/12:1-O-17:0)-H,690.6036,438.3583,238.1813,269.2486,212.1656,181.1598
Cer-EOS(d14:1/13:0-O-17:0)-H,706.6349,454.3896,254.2126,269.2486,228.1969,181.1598
Cer-EOS(d14:1/13:1-O-17:0)-H,704.6193,452.374,252.1969,269.2486,226.1813,181.1598
Cer-EOS(d14:1/14:0-O-17:0)-H,720.6506,468.4053,268.2282,269.2486,242.2126,181.1598
Cer-EOS(d14:1/14:1-O-17:0)-H,718.6349,466.3896,266.2126,269.2486,240.1969,181.1598
Cer-EOS(d14:1/15:0-O-17:0)-H,734.6663,482.4209,282.2439,269.2486,256.2282,181.1598
Cer-EOS(d14:1/15:1-O-17:0)-H,732.6506,480.4053,280.2282,269.2486,254.2126,181.1598
Cer-EOS(d14:1/16:0-O-17:0)-H,748.6819,496.4366,296.2595,269.2486,270.2439,181.1598
Cer-EOS(d14:1/16:1-O-17:0)-H,746.6663,494.4209,294.2439,269.2486,268.2282,181.1598
Cer-EOS(d14:1/16:2-O-17:0)-H,744.6506,492.4053,292.2282,269.2486,266.2126,181.1598
Cer-EOS(d14:1/17:0-O-17:0)-H,762.6976,510.4522,310.2751,269.2486,284.2595,181.1598
Cer-EOS(d14:1/18:0-O-17:0)-H,776.7132,524.4679,324.2908,269.2486,298.2751,181.1598
Cer-EOS(d14:1/18:1-O-17:0)-H,774.6976,522.4523,322.2751,269.2486,296.2595,181.1598
Cer-EOS(d14:1/18:2-O-17:0)-H,772.6819,520.4366,320.2595,269.2486,294.2439,181.1598
Cer-EOS(d14:1/19:0-O-17:0)-H,790.7289,538.4835,338.3065,269.2486,312.2908,181.1598
Cer-EOS(d14:1/19:1-O-17:0)-H,788.7132,536.4679,336.2908,269.2486,310.2751,181.1598
Cer-EOS(d14:1/20:0-O-17:0)-H,804.7445,552.4992,352.3221,269.2486,326.3065,181.1598
