Cer-BS,[M-H]-,[M-H2O-H]-,[Sph+C2H2O-H]-,[Sph+C-H]-,[Sph-H5NO-H]-,[Sph-C2H7NO-H]-
Cer-BS(d15:2/12:0)-H,452.374,434.3634,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/12:1)-H,450.3583,432.3478,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/13:0)-H,466.3896,448.3791,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/13:1)-H,464.374,446.3634,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/14:0)-H,480.4053,462.3947,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/14:1)-H,478.3896,460.3791,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/15:0)-H,494.4209,476.4104,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/15:1)-H,492.4053,474.3947,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/16:0)-H,508.4366,490.426,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/16:1)-H,506.4209,488.4104,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/16:2)-H,504.4053,486.3947,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/17:0)-H,522.4523,504.4417,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/18:0)-H,536.4679,518.4573,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/18:1)-H,534.4523,516.4417,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/18:2)-H,532.4366,514.426,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/19:0)-H,550.4835,532.473,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/19:1)-H,548.4679,530.4573,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/20:0)-H,564.4992,546.4886,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/20:1)-H,562.4835,544.473,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/20:2)-H,560.4679,542.4573,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/21:0)-H,578.5148,560.5043,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/21:1)-H,576.4992,558.4886,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/22:0)-H,592.5305,574.5199,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/22:1)-H,590.5148,572.5043,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/22:2)-H,588.4992,570.4886,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/23:0)-H,606.5461,588.5356,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/23:1)-H,604.5305,586.5199,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/24:0)-H,620.5618,602.5512,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/24:1)-H,618.5461,600.5356,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/24:2)-H,616.5305,598.5199,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/25:0)-H,634.5775,616.5669,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/25:1)-H,632.5618,614.5512,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/26:0)-H,648.5931,630.5825,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/26:1)-H,646.5775,628.5669,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/26:2)-H,644.5618,626.5512,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/27:0)-H,662.6088,644.5981,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/27:1)-H,660.5931,642.5825,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/28:0)-H,676.6244,658.6138,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/28:1)-H,674.6088,656.5981,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/28:2)-H,672.5931,654.5825,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/29:0)-H,690.64,672.6295,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/29:1)-H,688.6244,670.6138,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/30:0)-H,704.6557,686.6451,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/30:1)-H,702.64,684.6295,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/30:2)-H,700.6244,682.6138,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/31:0)-H,718.6713,700.6608,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/31:1)-H,716.6557,698.6451,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/32:0)-H,732.687,714.6764,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/32:1)-H,730.6713,712.6608,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/32:2)-H,728.6557,710.6451,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/33:0)-H,746.7026,728.6921,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/33:1)-H,744.687,726.6764,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/34:0)-H,760.7183,742.7077,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/34:1)-H,758.7026,740.6921,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/34:2)-H,756.687,738.6764,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/35:0)-H,774.7339,756.7234,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/35:1)-H,772.7183,754.7077,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/36:0)-H,788.7496,770.739,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/36:1)-H,786.7339,768.7234,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/36:2)-H,784.7183,766.7077,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/38:0)-H,816.7809,798.7703,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/38:1)-H,814.7653,796.7547,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/38:2)-H,812.7496,794.739,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/40:0)-H,844.8122,826.8016,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/40:1)-H,842.7966,824.7859,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/40:2)-H,840.7809,822.7703,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/42:0)-H,872.8435,854.8329,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/42:1)-H,870.8278,852.8173,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:2/42:2)-H,868.8122,850.8016,296.2231,266.2126,219.1754,193.1598
Cer-BS(d15:3/12:0)-H,450.3583,432.3478,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/12:1)-H,448.3427,430.3321,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/13:0)-H,464.374,446.3634,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/13:1)-H,462.3583,444.3478,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/14:0)-H,478.3896,460.3791,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/14:1)-H,476.374,458.3634,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/15:0)-H,492.4053,474.3947,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/15:1)-H,490.3896,472.3791,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/16:0)-H,506.4209,488.4104,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/16:1)-H,504.4053,486.3947,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/16:2)-H,502.3896,484.3791,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/17:0)-H,520.4366,502.426,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/18:0)-H,534.4523,516.4417,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/18:1)-H,532.4366,514.426,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/18:2)-H,530.421,512.4104,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/19:0)-H,548.4679,530.4573,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/19:1)-H,546.4523,528.4417,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/20:0)-H,562.4835,544.473,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/20:1)-H,560.4679,542.4573,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/20:2)-H,558.4523,540.4417,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/21:0)-H,576.4992,558.4886,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/21:1)-H,574.4835,556.473,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/22:0)-H,590.5148,572.5043,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/22:1)-H,588.4992,570.4886,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/22:2)-H,586.4835,568.473,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/23:0)-H,604.5305,586.5199,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/23:1)-H,602.5148,584.5043,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/24:0)-H,618.5461,600.5356,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/24:1)-H,616.5305,598.5199,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/24:2)-H,614.5148,596.5043,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/25:0)-H,632.5618,614.5512,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/25:1)-H,630.5461,612.5356,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/26:0)-H,646.5775,628.5669,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/26:1)-H,644.5618,626.5512,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/26:2)-H,642.5461,624.5356,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/27:0)-H,660.5931,642.5825,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/27:1)-H,658.5775,640.5669,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/28:0)-H,674.6088,656.5981,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/28:1)-H,672.5931,654.5825,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/28:2)-H,670.5775,652.5669,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/29:0)-H,688.6244,670.6138,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/29:1)-H,686.6088,668.5981,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/30:0)-H,702.64,684.6295,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/30:1)-H,700.6244,682.6138,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/30:2)-H,698.6088,680.5981,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/31:0)-H,716.6557,698.6451,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/31:1)-H,714.64,696.6295,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/32:0)-H,730.6713,712.6608,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/32:1)-H,728.6557,710.6451,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/32:2)-H,726.64,708.6295,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/33:0)-H,744.687,726.6764,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/33:1)-H,742.6713,724.6608,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/34:0)-H,758.7026,740.6921,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/34:1)-H,756.687,738.6764,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/34:2)-H,754.6713,736.6608,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/35:0)-H,772.7183,754.7077,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/35:1)-H,770.7026,752.6921,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/36:0)-H,786.7339,768.7234,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/36:1)-H,784.7183,766.7077,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/36:2)-H,782.7026,764.6921,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/38:0)-H,814.7653,796.7547,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/38:1)-H,812.7496,794.739,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/38:2)-H,810.7339,792.7234,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/40:0)-H,842.7966,824.7859,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/40:1)-H,840.7809,822.7703,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/40:2)-H,838.7653,820.7547,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/42:0)-H,870.8278,852.8173,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/42:1)-H,868.8122,850.8016,294.2075,264.1969,217.1598,191.1441
Cer-BS(d15:3/42:2)-H,866.7966,848.7859,294.2075,264.1969,217.1598,191.1441
Cer-BS(d16:1/12:0)-H,468.4053,450.3947,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/12:1)-H,466.3896,448.3791,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/13:0)-H,482.4209,464.4104,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/13:1)-H,480.4053,462.3947,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/14:0)-H,496.4366,478.426,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/14:1)-H,494.4209,476.4104,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/15:0)-H,510.4522,492.4417,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/15:1)-H,508.4366,490.426,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/16:0)-H,524.4679,506.4573,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/16:1)-H,522.4523,504.4417,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/16:2)-H,520.4366,502.426,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/17:0)-H,538.4835,520.473,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/18:0)-H,552.4992,534.4886,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/18:1)-H,550.4835,532.473,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/18:2)-H,548.4679,530.4573,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/19:0)-H,566.5148,548.5043,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/19:1)-H,564.4992,546.4886,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/20:0)-H,580.5305,562.5199,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/20:1)-H,578.5148,560.5043,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/20:2)-H,576.4992,558.4886,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/21:0)-H,594.5461,576.5356,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/21:1)-H,592.5305,574.5199,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/22:0)-H,608.5618,590.5512,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/22:1)-H,606.5461,588.5356,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/22:2)-H,604.5305,586.5199,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/23:0)-H,622.5775,604.5669,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/23:1)-H,620.5618,602.5512,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/24:0)-H,636.5931,618.5825,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/24:1)-H,634.5775,616.5669,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/24:2)-H,632.5618,614.5512,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/25:0)-H,650.6088,632.5981,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/25:1)-H,648.5931,630.5825,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/26:0)-H,664.6244,646.6138,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/26:1)-H,662.6088,644.5981,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/26:2)-H,660.5931,642.5825,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/27:0)-H,678.64,660.6295,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/27:1)-H,676.6244,658.6138,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/28:0)-H,692.6557,674.6451,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/28:1)-H,690.64,672.6295,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/28:2)-H,688.6244,670.6138,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/29:0)-H,706.6713,688.6608,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/29:1)-H,704.6557,686.6451,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/30:0)-H,720.687,702.6764,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/30:1)-H,718.6713,700.6608,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/30:2)-H,716.6557,698.6451,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/31:0)-H,734.7026,716.6921,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/31:1)-H,732.687,714.6764,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/32:0)-H,748.7183,730.7077,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/32:1)-H,746.7026,728.6921,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/32:2)-H,744.687,726.6764,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/33:0)-H,762.7339,744.7234,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/33:1)-H,760.7183,742.7077,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/34:0)-H,776.7496,758.739,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/34:1)-H,774.7339,756.7234,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/34:2)-H,772.7183,754.7077,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/35:0)-H,790.7653,772.7547,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/35:1)-H,788.7496,770.739,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/36:0)-H,804.7809,786.7703,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/36:1)-H,802.7653,784.7547,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/36:2)-H,800.7496,782.739,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/38:0)-H,832.8122,814.8016,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/38:1)-H,830.7966,812.7859,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/38:2)-H,828.7809,810.7703,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/40:0)-H,860.8435,842.8329,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/40:1)-H,858.8278,840.8173,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/40:2)-H,856.8122,838.8016,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/42:0)-H,888.8748,870.8642,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/42:1)-H,886.8591,868.8486,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:1/42:2)-H,884.8435,866.8329,312.2544,282.2439,235.2067,209.1911
Cer-BS(d16:2/12:0)-H,466.3896,448.3791,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/12:1)-H,464.374,446.3634,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/13:0)-H,480.4053,462.3947,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/13:1)-H,478.3896,460.3791,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/14:0)-H,494.4209,476.4104,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/14:1)-H,492.4053,474.3947,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/15:0)-H,508.4366,490.426,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/15:1)-H,506.4209,488.4104,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/16:0)-H,522.4523,504.4417,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/16:1)-H,520.4366,502.426,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/16:2)-H,518.421,500.4104,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/17:0)-H,536.4679,518.4573,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/18:0)-H,550.4835,532.473,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/18:1)-H,548.4679,530.4573,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/18:2)-H,546.4523,528.4417,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/19:0)-H,564.4992,546.4886,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/19:1)-H,562.4835,544.473,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/20:0)-H,578.5148,560.5043,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/20:1)-H,576.4992,558.4886,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/20:2)-H,574.4835,556.473,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/21:0)-H,592.5305,574.5199,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/21:1)-H,590.5148,572.5043,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/22:0)-H,606.5461,588.5356,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/22:1)-H,604.5305,586.5199,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/22:2)-H,602.5148,584.5043,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/23:0)-H,620.5618,602.5512,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/23:1)-H,618.5461,600.5356,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/24:0)-H,634.5775,616.5669,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/24:1)-H,632.5618,614.5512,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/24:2)-H,630.5461,612.5356,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/25:0)-H,648.5931,630.5825,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/25:1)-H,646.5775,628.5669,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/26:0)-H,662.6088,644.5981,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/26:1)-H,660.5931,642.5825,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/26:2)-H,658.5775,640.5669,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/27:0)-H,676.6244,658.6138,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/27:1)-H,674.6088,656.5981,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/28:0)-H,690.64,672.6295,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/28:1)-H,688.6244,670.6138,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/28:2)-H,686.6088,668.5981,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/29:0)-H,704.6557,686.6451,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/29:1)-H,702.64,684.6295,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/30:0)-H,718.6713,700.6608,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/30:1)-H,716.6557,698.6451,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/30:2)-H,714.64,696.6295,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/31:0)-H,732.687,714.6764,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/31:1)-H,730.6713,712.6608,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/32:0)-H,746.7026,728.6921,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/32:1)-H,744.687,726.6764,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/32:2)-H,742.6713,724.6608,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/33:0)-H,760.7183,742.7077,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/33:1)-H,758.7026,740.6921,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/34:0)-H,774.7339,756.7234,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/34:1)-H,772.7183,754.7077,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/34:2)-H,770.7026,752.6921,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/35:0)-H,788.7496,770.739,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/35:1)-H,786.7339,768.7234,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/36:0)-H,802.7653,784.7547,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/36:1)-H,800.7496,782.739,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/36:2)-H,798.7339,780.7234,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/38:0)-H,830.7966,812.7859,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/38:1)-H,828.7809,810.7703,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/38:2)-H,826.7653,808.7547,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/40:0)-H,858.8278,840.8173,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/40:1)-H,856.8122,838.8016,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/40:2)-H,854.7966,836.7859,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/42:0)-H,886.8591,868.8486,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/42:1)-H,884.8435,866.8329,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:2/42:2)-H,882.8278,864.8173,310.2388,280.2282,233.1911,207.1754
Cer-BS(d16:3/12:0)-H,464.374,446.3634,308.2231,278.2126,231.1754,205.1598
Cer-BS(d16:3/12:1)-H,462.3583,444.3478,308.2231,278.2126,231.1754,205.1598
Cer-BS(d16:3/13:0)-H,478.3896,460.3791,308.2231,278.2126,231.1754,205.1598
Cer-BS(d16:3/13:1)-H,476.374,458.3634,308.2231,278.2126,231.1754,205.1598
Cer-BS(d16:3/14:0)-H,492.4053,474.3947,308.2231,278.2126,231.1754,205.1598
Cer-BS(d16:3/14:1)-H,490.3896,472.3791,308.2231,278.2126,231.1754,205.1598
Cer-BS(d16:3/15:0)-H,506.4209,488.4104,308.2231,278.2126,231.1754,205.1598
Cer-BS(d16:3/15:1)-H,504.4053,486.3947,308.2231,278.2126,231.1754,205.1598
Cer-BS(d16:3/16:0)-H,520.4366,502.426,308.2231,278.2126,231.1754,205.1598
