HexHexCer-NS,[M+C2H3O2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
HexCer-NS(d15:1/23:1)+C2H3O2,812.6252,752.6041,590.5512,376.3579,333.3401,195.1754,179.0556
HexCer-NS(d15:1/24:0)+C2H3O2,828.6565,768.6354,606.5825,392.3893,349.3714,195.1754,179.0556
HexCer-NS(d15:1/24:1)+C2H3O2,826.6408,766.6197,604.5669,390.3736,347.3557,195.1754,179.0556
HexCer-NS(d15:1/24:2)+C2H3O2,824.6252,764.6041,602.5512,388.3579,345.3401,195.1754,179.0556
HexCer-NS(d15:1/25:0)+C2H3O2,842.6721,782.651,620.5981,406.4049,363.3871,195.1754,179.0556
HexCer-NS(d15:1/25:1)+C2H3O2,840.6565,780.6354,618.5825,404.3893,361.3714,195.1754,179.0556
HexCer-NS(d15:1/26:0)+C2H3O2,856.6878,796.6666,634.6138,420.4206,377.4027,195.1754,179.0556
HexCer-NS(d15:1/26:1)+C2H3O2,854.6721,794.651,632.5981,418.4049,375.3871,195.1754,179.0556
HexCer-NS(d15:1/26:2)+C2H3O2,852.6565,792.6354,630.5825,416.3893,373.3714,195.1754,179.0556
HexCer-NS(d15:1/27:0)+C2H3O2,870.7034,810.6823,648.6295,434.4362,391.4183,195.1754,179.0556
HexCer-NS(d15:1/27:1)+C2H3O2,868.6878,808.6666,646.6138,432.4206,389.4027,195.1754,179.0556
HexCer-NS(d15:1/28:0)+C2H3O2,884.7191,824.6979,662.6451,448.4518,405.434,195.1754,179.0556
HexCer-NS(d15:1/28:1)+C2H3O2,882.7034,822.6823,660.6295,446.4362,403.4183,195.1754,179.0556
HexCer-NS(d15:1/28:2)+C2H3O2,880.6878,820.6666,658.6138,444.4206,401.4027,195.1754,179.0556
HexCer-NS(d15:1/29:0)+C2H3O2,898.7347,838.7136,676.6608,462.4675,419.4496,195.1754,179.0556
HexCer-NS(d15:1/29:1)+C2H3O2,896.7191,836.6979,674.6451,460.4518,417.434,195.1754,179.0556
HexCer-NS(d15:1/30:0)+C2H3O2,912.7504,852.7292,690.6764,476.4832,433.4653,195.1754,179.0556
HexCer-NS(d15:1/30:1)+C2H3O2,910.7347,850.7136,688.6608,474.4675,431.4496,195.1754,179.0556
HexCer-NS(d15:1/30:2)+C2H3O2,908.7191,848.6979,686.6451,472.4518,429.434,195.1754,179.0556
HexCer-NS(d15:1/31:0)+C2H3O2,926.7661,866.7449,704.6921,490.4988,447.481,195.1754,179.0556
HexCer-NS(d15:1/31:1)+C2H3O2,924.7504,864.7292,702.6764,488.4832,445.4653,195.1754,179.0556
HexCer-NS(d15:1/32:0)+C2H3O2,940.7817,880.7606,718.7077,504.5144,461.4966,195.1754,179.0556
HexCer-NS(d15:1/32:1)+C2H3O2,938.7661,878.7449,716.6921,502.4988,459.481,195.1754,179.0556
HexCer-NS(d15:1/32:2)+C2H3O2,936.7504,876.7292,714.6764,500.4832,457.4653,195.1754,179.0556
HexCer-NS(d15:1/33:0)+C2H3O2,954.7973,894.7762,732.7234,518.5301,475.5122,195.1754,179.0556
HexCer-NS(d15:1/33:1)+C2H3O2,952.7817,892.7606,730.7077,516.5145,473.4966,195.1754,179.0556
HexCer-NS(d15:1/34:0)+C2H3O2,968.813,908.7919,746.739,532.5458,489.5279,195.1754,179.0556
HexCer-NS(d15:1/34:1)+C2H3O2,966.7973,906.7762,744.7234,530.5301,487.5122,195.1754,179.0556
HexCer-NS(d15:1/34:2)+C2H3O2,964.7817,904.7606,742.7077,528.5145,485.4966,195.1754,179.0556
HexCer-NS(d15:1/35:0)+C2H3O2,982.8286,922.8075,760.7547,546.5614,503.5435,195.1754,179.0556
HexCer-NS(d15:1/35:1)+C2H3O2,980.813,920.7919,758.739,544.5458,501.5279,195.1754,179.0556
HexCer-NS(d15:1/36:0)+C2H3O2,996.8443,936.8231,774.7703,560.577,517.5592,195.1754,179.0556
HexCer-NS(d15:1/36:1)+C2H3O2,994.8286,934.8075,772.7547,558.5614,515.5436,195.1754,179.0556
HexCer-NS(d15:1/36:2)+C2H3O2,992.813,932.7919,770.739,556.5458,513.5279,195.1754,179.0556
HexCer-NS(d15:1/38:0)+C2H3O2,1024.876,964.8544,802.8016,588.6083,545.5905,195.1754,179.0556
HexCer-NS(d15:1/38:1)+C2H3O2,1022.86,962.8388,800.7859,586.5927,543.5748,195.1754,179.0556
HexCer-NS(d15:1/38:2)+C2H3O2,1020.844,960.8231,798.7703,584.577,541.5592,195.1754,179.0556
HexCer-NS(d15:1/40:0)+C2H3O2,1052.907,992.8857,830.8329,616.6396,573.6218,195.1754,179.0556
HexCer-NS(d15:1/40:1)+C2H3O2,1050.891,990.8701,828.8173,614.624,571.6061,195.1754,179.0556
HexCer-NS(d15:1/40:2)+C2H3O2,1048.876,988.8544,826.8016,612.6083,569.5905,195.1754,179.0556
HexCer-NS(d15:1/42:0)+C2H3O2,1080.938,1020.917,858.8642,644.671,601.6531,195.1754,179.0556
HexCer-NS(d15:1/42:1)+C2H3O2,1078.922,1018.901,856.8486,642.6553,599.6375,195.1754,179.0556
HexCer-NS(d15:1/42:2)+C2H3O2,1076.907,1016.886,854.8329,640.6396,597.6218,195.1754,179.0556
HexCer-NS(d15:2/12:0)+C2H3O2,658.453,598.4319,436.3791,224.2014,181.1836,193.1598,179.0556
HexCer-NS(d15:2/12:1)+C2H3O2,656.4374,596.4163,434.3634,222.1858,179.168,193.1598,179.0556
HexCer-NS(d15:2/13:0)+C2H3O2,672.4687,612.4476,450.3947,238.2171,195.1992,193.1598,179.0556
HexCer-NS(d15:2/13:1)+C2H3O2,670.453,610.4319,448.3791,236.2014,193.1836,193.1598,179.0556
HexCer-NS(d15:2/14:0)+C2H3O2,686.4843,626.4632,464.4104,252.2328,209.2149,193.1598,179.0556
HexCer-NS(d15:2/14:1)+C2H3O2,684.4687,624.4476,462.3947,250.2171,207.1992,193.1598,179.0556
HexCer-NS(d15:2/15:0)+C2H3O2,700.5,640.4788,478.426,266.2484,223.2305,193.1598,179.0556
HexCer-NS(d15:2/15:1)+C2H3O2,698.4843,638.4632,476.4104,264.2328,221.2149,193.1598,179.0556
HexCer-NS(d15:2/16:0)+C2H3O2,714.5156,654.4945,492.4417,280.264,237.2462,193.1598,179.0556
HexCer-NS(d15:2/16:1)+C2H3O2,712.5,652.4788,490.426,278.2484,235.2305,193.1598,179.0556
HexCer-NS(d15:2/16:2)+C2H3O2,710.4843,650.4632,488.4104,276.2328,233.2149,193.1598,179.0556
HexCer-NS(d15:2/17:0)+C2H3O2,728.5313,668.5101,506.4573,294.2797,251.2619,193.1598,179.0556
HexCer-NS(d15:2/18:0)+C2H3O2,742.5469,682.5258,520.473,308.2953,265.2775,193.1598,179.0556
HexCer-NS(d15:2/18:1)+C2H3O2,740.5313,680.5101,518.4573,306.2797,263.2618,193.1598,179.0556
HexCer-NS(d15:2/18:2)+C2H3O2,738.5156,678.4945,516.4417,304.264,261.2462,193.1598,179.0556
HexCer-NS(d15:2/19:0)+C2H3O2,756.5626,696.5414,534.4886,322.311,279.2932,193.1598,179.0556
HexCer-NS(d15:2/19:1)+C2H3O2,754.5469,694.5258,532.473,320.2953,277.2775,193.1598,179.0556
HexCer-NS(d15:2/20:0)+C2H3O2,770.5782,710.5571,548.5043,336.3267,293.3088,193.1598,179.0556
HexCer-NS(d15:2/20:1)+C2H3O2,768.5626,708.5414,546.4886,334.311,291.2932,193.1598,179.0556
HexCer-NS(d15:2/20:2)+C2H3O2,766.5469,706.5258,544.473,332.2953,289.2775,193.1598,179.0556
HexCer-NS(d15:2/21:0)+C2H3O2,784.5939,724.5728,562.5199,350.3423,307.3245,193.1598,179.0556
HexCer-NS(d15:2/21:1)+C2H3O2,782.5782,722.5571,560.5043,348.3267,305.3088,193.1598,179.0556
HexCer-NS(d15:2/22:0)+C2H3O2,798.6096,738.5884,576.5356,364.3579,321.3401,193.1598,179.0556
HexCer-NS(d15:2/22:1)+C2H3O2,796.5939,736.5728,574.5199,362.3423,319.3245,193.1598,179.0556
HexCer-NS(d15:2/22:2)+C2H3O2,794.5782,734.5571,572.5043,360.3267,317.3088,193.1598,179.0556
HexCer-NS(d15:2/23:0)+C2H3O2,812.6252,752.6041,590.5512,378.3736,335.3557,193.1598,179.0556
HexCer-NS(d15:2/23:1)+C2H3O2,810.6096,750.5884,588.5356,376.3579,333.3401,193.1598,179.0556
HexCer-NS(d15:2/24:0)+C2H3O2,826.6408,766.6197,604.5669,392.3893,349.3714,193.1598,179.0556
HexCer-NS(d15:2/24:1)+C2H3O2,824.6252,764.6041,602.5512,390.3736,347.3557,193.1598,179.0556
HexCer-NS(d15:2/24:2)+C2H3O2,822.6096,762.5884,600.5356,388.3579,345.3401,193.1598,179.0556
HexCer-NS(d15:2/25:0)+C2H3O2,840.6565,780.6354,618.5825,406.4049,363.3871,193.1598,179.0556
HexCer-NS(d15:2/25:1)+C2H3O2,838.6408,778.6197,616.5669,404.3893,361.3714,193.1598,179.0556
HexCer-NS(d15:2/26:0)+C2H3O2,854.6721,794.651,632.5981,420.4206,377.4027,193.1598,179.0556
HexCer-NS(d15:2/26:1)+C2H3O2,852.6565,792.6354,630.5825,418.4049,375.3871,193.1598,179.0556
HexCer-NS(d15:2/26:2)+C2H3O2,850.6408,790.6197,628.5669,416.3893,373.3714,193.1598,179.0556
HexCer-NS(d15:2/27:0)+C2H3O2,868.6878,808.6666,646.6138,434.4362,391.4183,193.1598,179.0556
HexCer-NS(d15:2/27:1)+C2H3O2,866.6721,806.651,644.5981,432.4206,389.4027,193.1598,179.0556
HexCer-NS(d15:2/28:0)+C2H3O2,882.7034,822.6823,660.6295,448.4518,405.434,193.1598,179.0556
HexCer-NS(d15:2/28:1)+C2H3O2,880.6878,820.6666,658.6138,446.4362,403.4183,193.1598,179.0556
HexCer-NS(d15:2/28:2)+C2H3O2,878.6721,818.651,656.5981,444.4206,401.4027,193.1598,179.0556
HexCer-NS(d15:2/29:0)+C2H3O2,896.7191,836.6979,674.6451,462.4675,419.4496,193.1598,179.0556
HexCer-NS(d15:2/29:1)+C2H3O2,894.7034,834.6823,672.6295,460.4518,417.434,193.1598,179.0556
HexCer-NS(d15:2/30:0)+C2H3O2,910.7347,850.7136,688.6608,476.4832,433.4653,193.1598,179.0556
HexCer-NS(d15:2/30:1)+C2H3O2,908.7191,848.6979,686.6451,474.4675,431.4496,193.1598,179.0556
HexCer-NS(d15:2/30:2)+C2H3O2,906.7034,846.6823,684.6295,472.4518,429.434,193.1598,179.0556
HexCer-NS(d15:2/31:0)+C2H3O2,924.7504,864.7292,702.6764,490.4988,447.481,193.1598,179.0556
HexCer-NS(d15:2/31:1)+C2H3O2,922.7347,862.7136,700.6608,488.4832,445.4653,193.1598,179.0556
HexCer-NS(d15:2/32:0)+C2H3O2,938.7661,878.7449,716.6921,504.5144,461.4966,193.1598,179.0556
HexCer-NS(d15:2/32:1)+C2H3O2,936.7504,876.7292,714.6764,502.4988,459.481,193.1598,179.0556
HexCer-NS(d15:2/32:2)+C2H3O2,934.7347,874.7136,712.6608,500.4832,457.4653,193.1598,179.0556
HexCer-NS(d15:2/33:0)+C2H3O2,952.7817,892.7606,730.7077,518.5301,475.5122,193.1598,179.0556
HexCer-NS(d15:2/33:1)+C2H3O2,950.7661,890.7449,728.6921,516.5145,473.4966,193.1598,179.0556
HexCer-NS(d15:2/34:0)+C2H3O2,966.7973,906.7762,744.7234,532.5458,489.5279,193.1598,179.0556
HexCer-NS(d15:2/34:1)+C2H3O2,964.7817,904.7606,742.7077,530.5301,487.5122,193.1598,179.0556
HexCer-NS(d15:2/34:2)+C2H3O2,962.7661,902.7449,740.6921,528.5145,485.4966,193.1598,179.0556
HexCer-NS(d15:2/35:0)+C2H3O2,980.813,920.7919,758.739,546.5614,503.5435,193.1598,179.0556
HexCer-NS(d15:2/35:1)+C2H3O2,978.7973,918.7762,756.7234,544.5458,501.5279,193.1598,179.0556
HexCer-NS(d15:2/36:0)+C2H3O2,994.8286,934.8075,772.7547,560.577,517.5592,193.1598,179.0556
HexCer-NS(d15:2/36:1)+C2H3O2,992.813,932.7919,770.739,558.5614,515.5436,193.1598,179.0556
HexCer-NS(d15:2/36:2)+C2H3O2,990.7973,930.7762,768.7234,556.5458,513.5279,193.1598,179.0556
HexCer-NS(d15:2/38:0)+C2H3O2,1022.86,962.8388,800.7859,588.6083,545.5905,193.1598,179.0556
HexCer-NS(d15:2/38:1)+C2H3O2,1020.844,960.8231,798.7703,586.5927,543.5748,193.1598,179.0556
HexCer-NS(d15:2/38:2)+C2H3O2,1018.829,958.8075,796.7547,584.577,541.5592,193.1598,179.0556
HexCer-NS(d15:2/40:0)+C2H3O2,1050.891,990.8701,828.8173,616.6396,573.6218,193.1598,179.0556
HexCer-NS(d15:2/40:1)+C2H3O2,1048.876,988.8544,826.8016,614.624,571.6061,193.1598,179.0556
HexCer-NS(d15:2/40:2)+C2H3O2,1046.86,986.8388,824.7859,612.6083,569.5905,193.1598,179.0556
HexCer-NS(d15:2/42:0)+C2H3O2,1078.922,1018.901,856.8486,644.671,601.6531,193.1598,179.0556
HexCer-NS(d15:2/42:1)+C2H3O2,1076.907,1016.886,854.8329,642.6553,599.6375,193.1598,179.0556
HexCer-NS(d15:2/42:2)+C2H3O2,1074.891,1014.87,852.8173,640.6396,597.6218,193.1598,179.0556
HexCer-NS(d15:3/12:0)+C2H3O2,656.4374,596.4163,434.3634,224.2014,181.1836,191.1441,179.0556
HexCer-NS(d15:3/12:1)+C2H3O2,654.4218,594.4006,432.3477,222.1858,179.168,191.1441,179.0556
HexCer-NS(d15:3/13:0)+C2H3O2,670.453,610.4319,448.3791,238.2171,195.1992,191.1441,179.0556
HexCer-NS(d15:3/13:1)+C2H3O2,668.4374,608.4163,446.3634,236.2014,193.1836,191.1441,179.0556
HexCer-NS(d15:3/14:0)+C2H3O2,684.4687,624.4476,462.3947,252.2328,209.2149,191.1441,179.0556
HexCer-NS(d15:3/14:1)+C2H3O2,682.453,622.4319,460.3791,250.2171,207.1992,191.1441,179.0556
HexCer-NS(d15:3/15:0)+C2H3O2,698.4843,638.4632,476.4104,266.2484,223.2305,191.1441,179.0556
HexCer-NS(d15:3/15:1)+C2H3O2,696.4687,636.4476,474.3947,264.2328,221.2149,191.1441,179.0556
HexCer-NS(d15:3/16:0)+C2H3O2,712.5,652.4788,490.426,280.264,237.2462,191.1441,179.0556
HexCer-NS(d15:3/16:1)+C2H3O2,710.4843,650.4632,488.4104,278.2484,235.2305,191.1441,179.0556
HexCer-NS(d15:3/16:2)+C2H3O2,708.4687,648.4476,486.3947,276.2328,233.2149,191.1441,179.0556
HexCer-NS(d15:3/17:0)+C2H3O2,726.5156,666.4945,504.4417,294.2797,251.2619,191.1441,179.0556
HexCer-NS(d15:3/18:0)+C2H3O2,740.5313,680.5101,518.4573,308.2953,265.2775,191.1441,179.0556
HexCer-NS(d15:3/18:1)+C2H3O2,738.5156,678.4945,516.4417,306.2797,263.2618,191.1441,179.0556
HexCer-NS(d15:3/18:2)+C2H3O2,736.5,676.4788,514.426,304.264,261.2462,191.1441,179.0556
HexCer-NS(d15:3/19:0)+C2H3O2,754.5469,694.5258,532.473,322.311,279.2932,191.1441,179.0556
HexCer-NS(d15:3/19:1)+C2H3O2,752.5313,692.5101,530.4573,320.2953,277.2775,191.1441,179.0556
HexCer-NS(d15:3/20:0)+C2H3O2,768.5626,708.5414,546.4886,336.3267,293.3088,191.1441,179.0556
HexCer-NS(d15:3/20:1)+C2H3O2,766.5469,706.5258,544.473,334.311,291.2932,191.1441,179.0556
HexCer-NS(d15:3/20:2)+C2H3O2,764.5313,704.5101,542.4573,332.2953,289.2775,191.1441,179.0556
HexCer-NS(d15:3/21:0)+C2H3O2,782.5782,722.5571,560.5043,350.3423,307.3245,191.1441,179.0556
HexCer-NS(d15:3/21:1)+C2H3O2,780.5626,720.5414,558.4886,348.3267,305.3088,191.1441,179.0556
HexCer-NS(d15:3/22:0)+C2H3O2,796.5939,736.5728,574.5199,364.3579,321.3401,191.1441,179.0556
HexCer-NS(d15:3/22:1)+C2H3O2,794.5782,734.5571,572.5043,362.3423,319.3245,191.1441,179.0556
HexCer-NS(d15:3/22:2)+C2H3O2,792.5626,732.5414,570.4886,360.3267,317.3088,191.1441,179.0556
HexCer-NS(d15:3/23:0)+C2H3O2,810.6096,750.5884,588.5356,378.3736,335.3557,191.1441,179.0556
HexCer-NS(d15:3/23:1)+C2H3O2,808.5939,748.5728,586.5199,376.3579,333.3401,191.1441,179.0556
HexCer-NS(d15:3/24:0)+C2H3O2,824.6252,764.6041,602.5512,392.3893,349.3714,191.1441,179.0556
HexCer-NS(d15:3/24:1)+C2H3O2,822.6096,762.5884,600.5356,390.3736,347.3557,191.1441,179.0556
HexCer-NS(d15:3/24:2)+C2H3O2,820.5939,760.5728,598.5199,388.3579,345.3401,191.1441,179.0556
HexCer-NS(d15:3/25:0)+C2H3O2,838.6408,778.6197,616.5669,406.4049,363.3871,191.1441,179.0556
HexCer-NS(d15:3/25:1)+C2H3O2,836.6252,776.6041,614.5512,404.3893,361.3714,191.1441,179.0556
HexCer-NS(d15:3/26:0)+C2H3O2,852.6565,792.6354,630.5825,420.4206,377.4027,191.1441,179.0556
HexCer-NS(d15:3/26:1)+C2H3O2,850.6408,790.6197,628.5669,418.4049,375.3871,191.1441,179.0556
HexCer-NS(d15:3/26:2)+C2H3O2,848.6252,788.6041,626.5512,416.3893,373.3714,191.1441,179.0556
HexCer-NS(d15:3/27:0)+C2H3O2,866.6721,806.651,644.5981,434.4362,391.4183,191.1441,179.0556
HexCer-NS(d15:3/27:1)+C2H3O2,864.6565,804.6354,642.5825,432.4206,389.4027,191.1441,179.0556
HexCer-NS(d15:3/28:0)+C2H3O2,880.6878,820.6666,658.6138,448.4518,405.434,191.1441,179.0556
HexCer-NS(d15:3/28:1)+C2H3O2,878.6721,818.651,656.5981,446.4362,403.4183,191.1441,179.0556
HexCer-NS(d15:3/28:2)+C2H3O2,876.6565,816.6354,654.5825,444.4206,401.4027,191.1441,179.0556
HexCer-NS(d15:3/29:0)+C2H3O2,894.7034,834.6823,672.6295,462.4675,419.4496,191.1441,179.0556
HexCer-NS(d15:3/29:1)+C2H3O2,892.6878,832.6666,670.6138,460.4518,417.434,191.1441,179.0556
HexCer-NS(d15:3/30:0)+C2H3O2,908.7191,848.6979,686.6451,476.4832,433.4653,191.1441,179.0556
HexCer-NS(d15:3/30:1)+C2H3O2,906.7034,846.6823,684.6295,474.4675,431.4496,191.1441,179.0556
HexCer-NS(d15:3/30:2)+C2H3O2,904.6878,844.6666,682.6138,472.4518,429.434,191.1441,179.0556
HexCer-NS(d15:3/31:0)+C2H3O2,922.7347,862.7136,700.6608,490.4988,447.481,191.1441,179.0556
HexCer-NS(d15:3/31:1)+C2H3O2,920.7191,860.6979,698.6451,488.4832,445.4653,191.1441,179.0556
HexCer-NS(d15:3/32:0)+C2H3O2,936.7504,876.7292,714.6764,504.5144,461.4966,191.1441,179.0556
HexCer-NS(d15:3/32:1)+C2H3O2,934.7347,874.7136,712.6608,502.4988,459.481,191.1441,179.0556
HexCer-NS(d15:3/32:2)+C2H3O2,932.7191,872.6979,710.6451,500.4832,457.4653,191.1441,179.0556
HexCer-NS(d15:3/33:0)+C2H3O2,950.7661,890.7449,728.6921,518.5301,475.5122,191.1441,179.0556
HexCer-NS(d15:3/33:1)+C2H3O2,948.7504,888.7292,726.6764,516.5145,473.4966,191.1441,179.0556
HexCer-NS(d15:3/34:0)+C2H3O2,964.7817,904.7606,742.7077,532.5458,489.5279,191.1441,179.0556
HexCer-NS(d15:3/34:1)+C2H3O2,962.7661,902.7449,740.6921,530.5301,487.5122,191.1441,179.0556
HexCer-NS(d15:3/34:2)+C2H3O2,960.7504,900.7292,738.6764,528.5145,485.4966,191.1441,179.0556
HexCer-NS(d15:3/35:0)+C2H3O2,978.7973,918.7762,756.7234,546.5614,503.5435,191.1441,179.0556
HexCer-NS(d15:3/35:1)+C2H3O2,976.7817,916.7606,754.7077,544.5458,501.5279,191.1441,179.0556
HexCer-NS(d15:3/36:0)+C2H3O2,992.813,932.7919,770.739,560.577,517.5592,191.1441,179.0556
HexCer-NS(d15:3/36:1)+C2H3O2,990.7973,930.7762,768.7234,558.5614,515.5436,191.1441,179.0556
HexCer-NS(d15:3/36:2)+C2H3O2,988.7817,928.7606,766.7077,556.5458,513.5279,191.1441,179.0556
HexCer-NS(d15:3/38:0)+C2H3O2,1020.844,960.8231,798.7703,588.6083,545.5905,191.1441,179.0556
HexCer-NS(d15:3/38:1)+C2H3O2,1018.829,958.8075,796.7547,586.5927,543.5748,191.1441,179.0556
HexCer-NS(d15:3/38:2)+C2H3O2,1016.813,956.7919,794.739,584.577,541.5592,191.1441,179.0556
HexCer-NS(d15:3/40:0)+C2H3O2,1048.876,988.8544,826.8016,616.6396,573.6218,191.1441,179.0556
HexCer-NS(d15:3/40:1)+C2H3O2,1046.86,986.8388,824.7859,614.624,571.6061,191.1441,179.0556
HexCer-NS(d15:3/40:2)+C2H3O2,1044.844,984.8231,822.7703,612.6083,569.5905,191.1441,179.0556
HexCer-NS(d15:3/42:0)+C2H3O2,1076.907,1016.886,854.8329,644.671,601.6531,191.1441,179.0556
HexCer-NS(d15:3/42:1)+C2H3O2,1074.891,1014.87,852.8173,642.6553,599.6375,191.1441,179.0556
HexCer-NS(d15:3/42:2)+C2H3O2,1072.876,1012.854,850.8016,640.6396,597.6218,191.1441,179.0556
HexCer-NS(d16:1/12:0)+C2H3O2,674.4843,614.4632,452.4104,224.2014,181.1836,209.1911,179.0556
HexCer-NS(d16:1/12:1)+C2H3O2,672.4687,612.4476,450.3947,222.1858,179.168,209.1911,179.0556
HexCer-NS(d16:1/13:0)+C2H3O2,688.5,628.4788,466.426,238.2171,195.1992,209.1911,179.0556
HexCer-NS(d16:1/13:1)+C2H3O2,686.4843,626.4632,464.4104,236.2014,193.1836,209.1911,179.0556
HexCer-NS(d16:1/14:0)+C2H3O2,702.5156,642.4945,480.4417,252.2328,209.2149,209.1911,179.0556
HexCer-NS(d16:1/14:1)+C2H3O2,700.5,640.4788,478.426,250.2171,207.1992,209.1911,179.0556
HexCer-NS(d16:1/15:0)+C2H3O2,716.5313,656.5101,494.4573,266.2484,223.2305,209.1911,179.0556
HexCer-NS(d16:1/15:1)+C2H3O2,714.5156,654.4945,492.4417,264.2328,221.2149,209.1911,179.0556
HexCer-NS(d16:1/16:0)+C2H3O2,730.5469,670.5258,508.473,280.264,237.2462,209.1911,179.0556
HexCer-NS(d16:1/16:1)+C2H3O2,728.5313,668.5101,506.4573,278.2484,235.2305,209.1911,179.0556
HexCer-NS(d16:1/16:2)+C2H3O2,726.5156,666.4945,504.4417,276.2328,233.2149,209.1911,179.0556
HexCer-NS(d16:1/17:0)+C2H3O2,744.5626,684.5414,522.4886,294.2797,251.2619,209.1911,179.0556
HexCer-NS(d16:1/18:0)+C2H3O2,758.5782,698.5571,536.5043,308.2953,265.2775,209.1911,179.0556
HexCer-NS(d16:1/18:1)+C2H3O2,756.5626,696.5414,534.4886,306.2797,263.2618,209.1911,179.0556
HexCer-NS(d16:1/18:2)+C2H3O2,754.5469,694.5258,532.473,304.264,261.2462,209.1911,179.0556
HexCer-NS(d16:1/19:0)+C2H3O2,772.5939,712.5728,550.5199,322.311,279.2932,209.1911,179.0556
HexCer-NS(d16:1/19:1)+C2H3O2,770.5782,710.5571,548.5043,320.2953,277.2775,209.1911,179.0556
HexCer-NS(d16:1/20:0)+C2H3O2,786.6096,726.5884,564.5356,336.3267,293.3088,209.1911,179.0556
HexCer-NS(d16:1/20:1)+C2H3O2,784.5939,724.5728,562.5199,334.311,291.2932,209.1911,179.0556
HexCer-NS(d16:1/20:2)+C2H3O2,782.5782,722.5571,560.5043,332.2953,289.2775,209.1911,179.0556
HexCer-NS(d16:1/21:0)+C2H3O2,800.6252,740.6041,578.5512,350.3423,307.3245,209.1911,179.0556
HexCer-NS(d16:1/21:1)+C2H3O2,798.6096,738.5884,576.5356,348.3267,305.3088,209.1911,179.0556
HexCer-NS(d16:1/22:0)+C2H3O2,814.6408,754.6197,592.5669,364.3579,321.3401,209.1911,179.0556
HexCer-NS(d16:1/22:1)+C2H3O2,812.6252,752.6041,590.5512,362.3423,319.3245,209.1911,179.0556
HexCer-NS(d16:1/22:2)+C2H3O2,810.6096,750.5884,588.5356,360.3267,317.3088,209.1911,179.0556
HexCer-NS(d16:1/23:0)+C2H3O2,828.6565,768.6354,606.5825,378.3736,335.3557,209.1911,179.0556
HexCer-NS(d16:1/23:1)+C2H3O2,826.6408,766.6197,604.5669,376.3579,333.3401,209.1911,179.0556
HexCer-NS(d16:1/24:0)+C2H3O2,842.6721,782.651,620.5981,392.3893,349.3714,209.1911,179.0556
HexCer-NS(d16:1/24:1)+C2H3O2,840.6565,780.6354,618.5825,390.3736,347.3557,209.1911,179.0556
HexCer-NS(d16:1/24:2)+C2H3O2,838.6408,778.6197,616.5669,388.3579,345.3401,209.1911,179.0556
HexCer-NS(d16:1/25:0)+C2H3O2,856.6878,796.6666,634.6138,406.4049,363.3871,209.1911,179.0556
HexCer-NS(d16:1/25:1)+C2H3O2,854.6721,794.651,632.5981,404.3893,361.3714,209.1911,179.0556
HexCer-NS(d16:1/26:0)+C2H3O2,870.7034,810.6823,648.6295,420.4206,377.4027,209.1911,179.0556
HexCer-NS(d16:1/26:1)+C2H3O2,868.6878,808.6666,646.6138,418.4049,375.3871,209.1911,179.0556
HexCer-NS(d16:1/26:2)+C2H3O2,866.6721,806.651,644.5981,416.3893,373.3714,209.1911,179.0556
HexCer-NS(d16:1/27:0)+C2H3O2,884.7191,824.6979,662.6451,434.4362,391.4183,209.1911,179.0556
HexCer-NS(d16:1/27:1)+C2H3O2,882.7034,822.6823,660.6295,432.4206,389.4027,209.1911,179.0556
HexCer-NS(d16:1/28:0)+C2H3O2,898.7347,838.7136,676.6608,448.4518,405.434,209.1911,179.0556
HexCer-NS(d16:1/28:1)+C2H3O2,896.7191,836.6979,674.6451,446.4362,403.4183,209.1911,179.0556
HexCer-NS(d16:1/28:2)+C2H3O2,894.7034,834.6823,672.6295,444.4206,401.4027,209.1911,179.0556
HexCer-NS(d16:1/29:0)+C2H3O2,912.7504,852.7292,690.6764,462.4675,419.4496,209.1911,179.0556
HexCer-NS(d16:1/29:1)+C2H3O2,910.7347,850.7136,688.6608,460.4518,417.434,209.1911,179.0556
HexCer-NS(d16:1/30:0)+C2H3O2,926.7661,866.7449,704.6921,476.4832,433.4653,209.1911,179.0556
HexCer-NS(d16:1/30:1)+C2H3O2,924.7504,864.7292,702.6764,474.4675,431.4496,209.1911,179.0556
HexCer-NS(d16:1/30:2)+C2H3O2,922.7347,862.7136,700.6608,472.4518,429.434,209.1911,179.0556
HexCer-NS(d16:1/31:0)+C2H3O2,940.7817,880.7606,718.7077,490.4988,447.481,209.1911,179.0556
HexCer-NS(d16:1/31:1)+C2H3O2,938.7661,878.7449,716.6921,488.4832,445.4653,209.1911,179.0556
HexCer-NS(d16:1/32:0)+C2H3O2,954.7973,894.7762,732.7234,504.5144,461.4966,209.1911,179.0556
HexCer-NS(d16:1/32:1)+C2H3O2,952.7817,892.7606,730.7077,502.4988,459.481,209.1911,179.0556
HexCer-NS(d16:1/32:2)+C2H3O2,950.7661,890.7449,728.6921,500.4832,457.4653,209.1911,179.0556
HexCer-NS(d16:1/33:0)+C2H3O2,968.813,908.7919,746.739,518.5301,475.5122,209.1911,179.0556
HexCer-NS(d16:1/33:1)+C2H3O2,966.7973,906.7762,744.7234,516.5145,473.4966,209.1911,179.0556
