"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Number of Scans","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Max Intensity","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Average m/z","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment"
"","PS(14:0_22:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(14:0_22:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(14:0_22:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(14:0_22:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(14:0_22:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(14:0_22:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","499.3158649","387.1906649","207.99872","4.12585277777778","4.42585277777778","13405"
"","PS(14:0_22:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(14:0_22:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(14:0_22:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(14:0_22:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(14:0_22:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(14:0_22:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","499.3158649","387.1906649","207.99872","1.83709444444444","2.13709444444444","15859"
"","PS(14:0_22:1)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(14:0_22:1)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(14:0_22:1)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(14:0_22:1)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(14:0_22:1)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(14:0_22:1)+Na","812.5412249","725.5091949","714.5643249","529.5554049","605.5503549","497.3002649","387.1906649","207.99872","1.86782083333333","2.16782083333333","11159"
"","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.47872777777778","5.77872777777778","5746","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.47872777777778","5.77872777777778","5746","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.47872777777778","5.77872777777778","5746","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.47872777777778","5.77872777777778","5746","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.47872777777778","5.77872777777778","5746","","PS(14:0_24:0)+Na","842.5881249","755.5560949","744.6112249","559.6023049","635.5972549","527.3471649","387.1906649","207.99872","5.47872777777778","5.77872777777778","5746"
"","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.97432083333333","5.27432083333333","9287","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.97432083333333","5.27432083333333","9287","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.97432083333333","5.27432083333333","9287","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.97432083333333","5.27432083333333","9287","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.97432083333333","5.27432083333333","9287","","PS(14:0_24:0)+Na","842.5881249","755.5560949","744.6112249","559.6023049","635.5972549","527.3471649","387.1906649","207.99872","4.97432083333333","5.27432083333333","9287"
"","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.68667916666667","5.98667916666667","10954","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.68667916666667","5.98667916666667","10954","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.68667916666667","5.98667916666667","10954","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.68667916666667","5.98667916666667","10954","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.68667916666667","5.98667916666667","10954","","PS(14:0_24:0)+Na","842.5881249","755.5560949","744.6112249","559.6023049","635.5972549","527.3471649","387.1906649","207.99872","5.68667916666667","5.98667916666667","10954"
"","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.98549305555556","5.28549305555556","12814","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.98549305555556","5.28549305555556","12814","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.98549305555556","5.28549305555556","12814","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.98549305555556","5.28549305555556","12814","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.98549305555556","5.28549305555556","12814","","PS(14:0_24:0)+Na","842.5881249","755.5560949","744.6112249","559.6023049","635.5972549","527.3471649","387.1906649","207.99872","4.98549305555556","5.28549305555556","12814"
"","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.71984242424242","5.01984242424242","13153","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.71984242424242","5.01984242424242","13153","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.71984242424242","5.01984242424242","13153","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.71984242424242","5.01984242424242","13153","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.71984242424242","5.01984242424242","13153","","PS(14:0_24:0)+Na","842.5881249","755.5560949","744.6112249","559.6023049","635.5972549","527.3471649","387.1906649","207.99872","4.71984242424242","5.01984242424242","13153"
"","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.70359444444444","6.00359444444444","13926","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.70359444444444","6.00359444444444","13926","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.70359444444444","6.00359444444444","13926","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.70359444444444","6.00359444444444","13926","","PS(14:0_24:0)+Na",0,0,0,0,0,0,0,0,"5.70359444444444","6.00359444444444","13926","","PS(14:0_24:0)+Na","842.5881249","755.5560949","744.6112249","559.6023049","635.5972549","527.3471649","387.1906649","207.99872","5.70359444444444","6.00359444444444","13926"
"","PS(14:0_24:1)+Na",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","PS(14:0_24:1)+Na",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","PS(14:0_24:1)+Na",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","PS(14:0_24:1)+Na",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","PS(14:0_24:1)+Na",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","PS(14:0_24:1)+Na","840.5725249","753.5404949","742.5956249","557.5867049","633.5816549","525.3315649","387.1906649","207.99872","4.10132083333333","4.40132083333333","8692"
"","PS(14:1_17:2)+Na",0,0,0,0,0,0,0,0,"1.5597","1.8597","6228","","PS(14:1_17:2)+Na",0,0,0,0,0,0,0,0,"1.5597","1.8597","6228","","PS(14:1_17:2)+Na",0,0,0,0,0,0,0,0,"1.5597","1.8597","6228","","PS(14:1_17:2)+Na",0,0,0,0,0,0,0,0,"1.5597","1.8597","6228","","PS(14:1_17:2)+Na",0,0,0,0,0,0,0,0,"1.5597","1.8597","6228","","PS(14:1_17:2)+Na","738.4317249","651.3996949","640.4548249","455.4459049","531.4408549","425.2063649","385.1750649","207.99872","1.5597","1.8597","6228"
"","PS(14:1_22:0)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(14:1_22:0)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(14:1_22:0)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(14:1_22:0)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(14:1_22:0)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(14:1_22:0)+Na","812.5412249","725.5091949","714.5643249","529.5554049","605.5503549","499.3158649","385.1750649","207.99872","1.86782083333333","2.16782083333333","11159"
"","PS(14:1_23:0)+Na",0,0,0,0,0,0,0,0,"7.04686805555556","7.34686805555556","2224","","PS(14:1_23:0)+Na",0,0,0,0,0,0,0,0,"7.04686805555556","7.34686805555556","2224","","PS(14:1_23:0)+Na",0,0,0,0,0,0,0,0,"7.04686805555556","7.34686805555556","2224","","PS(14:1_23:0)+Na",0,0,0,0,0,0,0,0,"7.04686805555556","7.34686805555556","2224","","PS(14:1_23:0)+Na",0,0,0,0,0,0,0,0,"7.04686805555556","7.34686805555556","2224","","PS(14:1_23:0)+Na","826.5569249","739.5248949","728.5800249","543.5711049","619.5660549","513.3315649","385.1750649","207.99872","7.04686805555556","7.34686805555556","2224"
"","PS(14:1_23:0)+Na",0,0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","PS(14:1_23:0)+Na",0,0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","PS(14:1_23:0)+Na",0,0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","PS(14:1_23:0)+Na",0,0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","PS(14:1_23:0)+Na",0,0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","PS(14:1_23:0)+Na","826.5569249","739.5248949","728.5800249","543.5711049","619.5660549","513.3315649","385.1750649","207.99872","1.55908055555556","1.85908055555556","18812"
"","PS(14:1_24:0)+Na",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","PS(14:1_24:0)+Na",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","PS(14:1_24:0)+Na",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","PS(14:1_24:0)+Na",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","PS(14:1_24:0)+Na",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","PS(14:1_24:0)+Na","840.5725249","753.5404949","742.5956249","557.5867049","633.5816549","527.3471649","385.1750649","207.99872","4.10132083333333","4.40132083333333","8692"
"","PS(15:0_15:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(15:0_15:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(15:0_15:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(15:0_15:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(15:0_15:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(15:0_15:0)+Na","730.4630249","643.4309949","632.4861249","447.4772049","523.4721549","401.2063649","401.2063649","207.99872","1.47424166666667","1.77424166666667","7817"
"","PS(15:0_18:3)+Na",0,0,0,0,0,0,0,0,"5.71525555555556","6.01525555555556","9644","","PS(15:0_18:3)+Na",0,0,0,0,0,0,0,0,"5.71525555555556","6.01525555555556","9644","","PS(15:0_18:3)+Na",0,0,0,0,0,0,0,0,"5.71525555555556","6.01525555555556","9644","","PS(15:0_18:3)+Na",0,0,0,0,0,0,0,0,"5.71525555555556","6.01525555555556","9644","","PS(15:0_18:3)+Na",0,0,0,0,0,0,0,0,"5.71525555555556","6.01525555555556","9644","","PS(15:0_18:3)+Na","766.4630249","679.4309949","668.4861249","483.4772049","559.4721549","437.2063649","401.2063649","207.99872","5.71525555555556","6.01525555555556","9644"
"","PS(15:0_18:3)+Na",0,0,0,0,0,0,0,0,"5.72048888888889","6.02048888888889","13083","","PS(15:0_18:3)+Na",0,0,0,0,0,0,0,0,"5.72048888888889","6.02048888888889","13083","","PS(15:0_18:3)+Na",0,0,0,0,0,0,0,0,"5.72048888888889","6.02048888888889","13083","","PS(15:0_18:3)+Na",0,0,0,0,0,0,0,0,"5.72048888888889","6.02048888888889","13083","","PS(15:0_18:3)+Na",0,0,0,0,0,0,0,0,"5.72048888888889","6.02048888888889","13083","","PS(15:0_18:3)+Na","766.4630249","679.4309949","668.4861249","483.4772049","559.4721549","437.2063649","401.2063649","207.99872","5.72048888888889","6.02048888888889","13083"
"","PS(15:0_20:0)+Na",1,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(15:0_20:0)+Na",8.161917,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(15:0_20:0)+Na",1,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(15:0_20:0)+Na",48811.2,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(15:0_20:0)+Na",800.5413,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(15:0_20:0)+Na","800.5412249","713.5091949","702.5643249","517.5554049","593.5503549","471.2845649","401.2063649","207.99872","8.01050416666666","8.31050416666666","2253"
"","PS(15:0_20:3)+Na",0,0,0,0,0,0,0,0,"4.95417727272727","5.25417727272727","13576","","PS(15:0_20:3)+Na",0,0,0,0,0,0,0,0,"4.95417727272727","5.25417727272727","13576","","PS(15:0_20:3)+Na",0,0,0,0,0,0,0,0,"4.95417727272727","5.25417727272727","13576","","PS(15:0_20:3)+Na",0,0,0,0,0,0,0,0,"4.95417727272727","5.25417727272727","13576","","PS(15:0_20:3)+Na",0,0,0,0,0,0,0,0,"4.95417727272727","5.25417727272727","13576","","PS(15:0_20:3)+Na","794.4943249","707.4622949","696.5174249","511.5085049","587.5034549","465.2376649","401.2063649","207.99872","4.95417727272727","5.25417727272727","13576"
"","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(15:0_21:0)+Na","814.5569249","727.5248949","716.5800249","531.5711049","607.5660549","485.3002649","401.2063649","207.99872","4.12318888888889","4.42318888888889","6221"
"","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(15:0_21:0)+Na","814.5569249","727.5248949","716.5800249","531.5711049","607.5660549","485.3002649","401.2063649","207.99872","3.10427638888889","3.40427638888889","8057"
"","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(15:0_21:0)+Na","814.5569249","727.5248949","716.5800249","531.5711049","607.5660549","485.3002649","401.2063649","207.99872","3.79138333333333","4.09138333333333","8066"
"","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(15:0_21:0)+Na","814.5569249","727.5248949","716.5800249","531.5711049","607.5660549","485.3002649","401.2063649","207.99872","3.39136944444444","3.69136944444444","8265"
"","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(15:0_21:0)+Na","814.5569249","727.5248949","716.5800249","531.5711049","607.5660549","485.3002649","401.2063649","207.99872","4.12585277777778","4.42585277777778","13405"
"","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(15:0_21:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(15:0_21:0)+Na","814.5569249","727.5248949","716.5800249","531.5711049","607.5660549","485.3002649","401.2063649","207.99872","1.83709444444444","2.13709444444444","15859"
"","PS(15:0_22:1)+Na",0,0,0,0,0,0,0,0,"7.04686805555556","7.34686805555556","2224","","PS(15:0_22:1)+Na",0,0,0,0,0,0,0,0,"7.04686805555556","7.34686805555556","2224","","PS(15:0_22:1)+Na",0,0,0,0,0,0,0,0,"7.04686805555556","7.34686805555556","2224","","PS(15:0_22:1)+Na",0,0,0,0,0,0,0,0,"7.04686805555556","7.34686805555556","2224","","PS(15:0_22:1)+Na",0,0,0,0,0,0,0,0,"7.04686805555556","7.34686805555556","2224","","PS(15:0_22:1)+Na","826.5569249","739.5248949","728.5800249","543.5711049","619.5660549","497.3002649","401.2063649","207.99872","7.04686805555556","7.34686805555556","2224"
"","PS(15:0_22:1)+Na",0,0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","PS(15:0_22:1)+Na",0,0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","PS(15:0_22:1)+Na",0,0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","PS(15:0_22:1)+Na",0,0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","PS(15:0_22:1)+Na",0,0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","PS(15:0_22:1)+Na","826.5569249","739.5248949","728.5800249","543.5711049","619.5660549","497.3002649","401.2063649","207.99872","1.55908055555556","1.85908055555556","18812"
"","PS(15:0_22:3)+Na",0,0,0,0,0,0,0,0,"4.98809583333333","5.28809583333333","13691","","PS(15:0_22:3)+Na",0,0,0,0,0,0,0,0,"4.98809583333333","5.28809583333333","13691","","PS(15:0_22:3)+Na",0,0,0,0,0,0,0,0,"4.98809583333333","5.28809583333333","13691","","PS(15:0_22:3)+Na",0,0,0,0,0,0,0,0,"4.98809583333333","5.28809583333333","13691","","PS(15:0_22:3)+Na",0,0,0,0,0,0,0,0,"4.98809583333333","5.28809583333333","13691","","PS(15:0_22:3)+Na","822.5256249","735.4935949","724.5487249","539.5398049","615.5347549","493.2689649","401.2063649","207.99872","4.98809583333333","5.28809583333333","13691"
"","PS(15:0_22:4)+Na",0,0,0,0,0,0,0,0,"5.1377375","5.4377375","11246","","PS(15:0_22:4)+Na",0,0,0,0,0,0,0,0,"5.1377375","5.4377375","11246","","PS(15:0_22:4)+Na",0,0,0,0,0,0,0,0,"5.1377375","5.4377375","11246","","PS(15:0_22:4)+Na",0,0,0,0,0,0,0,0,"5.1377375","5.4377375","11246","","PS(15:0_22:4)+Na",0,0,0,0,0,0,0,0,"5.1377375","5.4377375","11246","","PS(15:0_22:4)+Na","820.5099249","733.4778949","722.5330249","537.5241049","613.5190549","491.2532649","401.2063649","207.99872","5.1377375","5.4377375","11246"
"","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.47872777777778","5.77872777777778","5746","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.47872777777778","5.77872777777778","5746","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.47872777777778","5.77872777777778","5746","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.47872777777778","5.77872777777778","5746","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.47872777777778","5.77872777777778","5746","","PS(15:0_23:0)+Na","842.5882249","755.5561949","744.6113249","559.6024049","635.5973549","513.3315649","401.2063649","207.99872","5.47872777777778","5.77872777777778","5746"
"","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.97432083333333","5.27432083333333","9287","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.97432083333333","5.27432083333333","9287","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.97432083333333","5.27432083333333","9287","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.97432083333333","5.27432083333333","9287","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.97432083333333","5.27432083333333","9287","","PS(15:0_23:0)+Na","842.5882249","755.5561949","744.6113249","559.6024049","635.5973549","513.3315649","401.2063649","207.99872","4.97432083333333","5.27432083333333","9287"
"","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.68667916666667","5.98667916666667","10954","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.68667916666667","5.98667916666667","10954","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.68667916666667","5.98667916666667","10954","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.68667916666667","5.98667916666667","10954","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.68667916666667","5.98667916666667","10954","","PS(15:0_23:0)+Na","842.5882249","755.5561949","744.6113249","559.6024049","635.5973549","513.3315649","401.2063649","207.99872","5.68667916666667","5.98667916666667","10954"
"","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.98549305555556","5.28549305555556","12814","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.98549305555556","5.28549305555556","12814","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.98549305555556","5.28549305555556","12814","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.98549305555556","5.28549305555556","12814","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.98549305555556","5.28549305555556","12814","","PS(15:0_23:0)+Na","842.5882249","755.5561949","744.6113249","559.6024049","635.5973549","513.3315649","401.2063649","207.99872","4.98549305555556","5.28549305555556","12814"
"","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.71984242424242","5.01984242424242","13153","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.71984242424242","5.01984242424242","13153","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.71984242424242","5.01984242424242","13153","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.71984242424242","5.01984242424242","13153","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"4.71984242424242","5.01984242424242","13153","","PS(15:0_23:0)+Na","842.5882249","755.5561949","744.6113249","559.6024049","635.5973549","513.3315649","401.2063649","207.99872","4.71984242424242","5.01984242424242","13153"
"","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.70359444444444","6.00359444444444","13926","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.70359444444444","6.00359444444444","13926","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.70359444444444","6.00359444444444","13926","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.70359444444444","6.00359444444444","13926","","PS(15:0_23:0)+Na",0,0,0,0,0,0,0,0,"5.70359444444444","6.00359444444444","13926","","PS(15:0_23:0)+Na","842.5882249","755.5561949","744.6113249","559.6024049","635.5973549","513.3315649","401.2063649","207.99872","5.70359444444444","6.00359444444444","13926"
"","PS(15:1_18:2)+Na",0,0,0,0,0,0,0,0,"5.71525555555556","6.01525555555556","9644","","PS(15:1_18:2)+Na",0,0,0,0,0,0,0,0,"5.71525555555556","6.01525555555556","9644","","PS(15:1_18:2)+Na",0,0,0,0,0,0,0,0,"5.71525555555556","6.01525555555556","9644","","PS(15:1_18:2)+Na",0,0,0,0,0,0,0,0,"5.71525555555556","6.01525555555556","9644","","PS(15:1_18:2)+Na",0,0,0,0,0,0,0,0,"5.71525555555556","6.01525555555556","9644","","PS(15:1_18:2)+Na","766.4629249","679.4308949","668.4860249","483.4771049","559.4720549","439.2219649","399.1906649","207.99872","5.71525555555556","6.01525555555556","9644"
"","PS(15:1_18:2)+Na",0,0,0,0,0,0,0,0,"5.72048888888889","6.02048888888889","13083","","PS(15:1_18:2)+Na",0,0,0,0,0,0,0,0,"5.72048888888889","6.02048888888889","13083","","PS(15:1_18:2)+Na",0,0,0,0,0,0,0,0,"5.72048888888889","6.02048888888889","13083","","PS(15:1_18:2)+Na",0,0,0,0,0,0,0,0,"5.72048888888889","6.02048888888889","13083","","PS(15:1_18:2)+Na",0,0,0,0,0,0,0,0,"5.72048888888889","6.02048888888889","13083","","PS(15:1_18:2)+Na","766.4629249","679.4308949","668.4860249","483.4771049","559.4720549","439.2219649","399.1906649","207.99872","5.72048888888889","6.02048888888889","13083"
