"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_ADS(d21:0/35:1)-H","860.84405","842.83345","828.81785","812.82285","342.33835","560.54115","324.32775","542.53065","310.31215","517.49955","281.28555","489.50465","2.60543181818182","2.90543181818182","1267"
"","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_ADS(d21:0/35:1)-H","860.84405","842.83345","828.81785","812.82285","342.33835","560.54115","324.32775","542.53065","310.31215","517.49955","281.28555","489.50465","11.1358515151515","11.4358515151515","1413"
"","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_ADS(d21:0/35:1)-H","860.84405","842.83345","828.81785","812.82285","342.33835","560.54115","324.32775","542.53065","310.31215","517.49955","281.28555","489.50465","14.9866727272727","15.2866727272727","2812"
"","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_ADS(d21:0/35:1)-H","860.84405","842.83345","828.81785","812.82285","342.33835","560.54115","324.32775","542.53065","310.31215","517.49955","281.28555","489.50465","12.5019181818182","12.8019181818182","2827"
"","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_ADS(d21:0/35:1)-H","860.84405","842.83345","828.81785","812.82285","342.33835","560.54115","324.32775","542.53065","310.31215","517.49955","281.28555","489.50465","12.3155621212121","12.6155621212121","2935"
"","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_ADS(d21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_ADS(d21:0/35:1)-H","860.84405","842.83345","828.81785","812.82285","342.33835","560.54115","324.32775","542.53065","310.31215","517.49955","281.28555","489.50465","1.36585606060606","1.66585606060606","3635"
"","Cer_ADS(d22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d22:0/21:0)-H","680.65625","662.64565","648.63005","632.63505","356.35395","366.33775","338.34335","348.32725","324.32775","323.29615","295.30115","295.30115","11.7277909090909","12.0277909090909","1062"
"","Cer_ADS(d22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d22:0/21:1)-H","678.64055","660.63005","646.61435","630.61945","356.35395","364.32215","338.34335","346.31155","324.32775","321.28045","295.30115","293.28555","10.9600636363636","11.2600636363636","1038"
"","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_ADS(d22:0/34:1)-H","860.84405","842.83345","828.81785","812.82285","356.35395","546.52555","338.34335","528.51505","324.32775","503.48395","295.30115","475.48895","1.77463484848485","2.07463484848485","869"
"","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_ADS(d22:0/34:1)-H","860.84405","842.83345","828.81785","812.82285","356.35395","546.52555","338.34335","528.51505","324.32775","503.48395","295.30115","475.48895","2.60543181818182","2.90543181818182","1267"
"","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_ADS(d22:0/34:1)-H","860.84405","842.83345","828.81785","812.82285","356.35395","546.52555","338.34335","528.51505","324.32775","503.48395","295.30115","475.48895","11.1358515151515","11.4358515151515","1413"
"","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_ADS(d22:0/34:1)-H","860.84405","842.83345","828.81785","812.82285","356.35395","546.52555","338.34335","528.51505","324.32775","503.48395","295.30115","475.48895","14.9866727272727","15.2866727272727","2812"
"","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_ADS(d22:0/34:1)-H","860.84405","842.83345","828.81785","812.82285","356.35395","546.52555","338.34335","528.51505","324.32775","503.48395","295.30115","475.48895","12.5019181818182","12.8019181818182","2827"
"","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_ADS(d22:0/34:1)-H","860.84405","842.83345","828.81785","812.82285","356.35395","546.52555","338.34335","528.51505","324.32775","503.48395","295.30115","475.48895","12.3155621212121","12.6155621212121","2935"
"","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_ADS(d22:0/34:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_ADS(d22:0/34:1)-H","860.84405","842.83345","828.81785","812.82285","356.35395","546.52555","338.34335","528.51505","324.32775","503.48395","295.30115","475.48895","1.36585606060606","1.66585606060606","3635"
