"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NDS","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NDS","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Number of Scans","GlcCer_NDS","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Max Intensity","GlcCer_NDS","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Average m/z","GlcCer_NDS","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NDS","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment"
"","GlcCer_NDS(d18:0/22:1)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d18:0/22:1)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d18:0/22:1)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d18:0/22:1)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d18:0/22:1)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d18:0/22:1)+HCO2","828.65705","782.65155","620.59865","362.34285","239.23855","319.32505","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NDS(d18:0/23:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d18:0/23:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d18:0/23:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d18:0/23:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d18:0/23:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d18:0/23:1)+HCO2","842.67265","796.66715","634.61435","376.35845","239.23855","333.34065","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_NDS(d18:0/24:1)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d18:0/24:1)+HCO2",0,10.65975,10.65975,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d18:0/24:1)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d18:0/24:1)+HCO2",0,88811.39,34414.57,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d18:0/24:1)+HCO2",0,810.684,648.6307,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d18:0/24:1)+HCO2","856.68825","810.68285","648.63005","390.37415","239.23855","347.35625","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_NDS(d18:0/24:2)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d18:0/24:2)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d18:0/24:2)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d18:0/24:2)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d18:0/24:2)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d18:0/24:2)+HCO2","854.67265","808.66715","646.61435","388.35845","239.23855","345.34065","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_NDS(d18:0/24:2)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d18:0/24:2)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d18:0/24:2)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d18:0/24:2)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d18:0/24:2)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d18:0/24:2)+HCO2","854.67265","808.66715","646.61435","388.35845","239.23855","345.34065","179.05615","9.66252727272727","9.96252727272727","2994"
"","GlcCer_NDS(d19:0/21:1)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d19:0/21:1)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d19:0/21:1)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d19:0/21:1)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d19:0/21:1)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d19:0/21:1)+HCO2","828.65705","782.65155","620.59865","348.32725","253.25425","305.30935","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NDS(d19:0/22:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d19:0/22:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d19:0/22:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d19:0/22:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d19:0/22:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d19:0/22:1)+HCO2","842.67265","796.66715","634.61435","362.34285","253.25425","319.32505","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_NDS(d19:0/23:1)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d19:0/23:1)+HCO2",0,10.65975,10.65975,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d19:0/23:1)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d19:0/23:1)+HCO2",0,88811.39,34414.57,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d19:0/23:1)+HCO2",0,810.684,648.6307,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d19:0/23:1)+HCO2","856.68825","810.68285","648.63005","376.35845","253.25425","333.34065","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_NDS(d19:0/23:2)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d19:0/23:2)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d19:0/23:2)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d19:0/23:2)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d19:0/23:2)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d19:0/23:2)+HCO2","854.67265","808.66715","646.61435","374.34285","253.25425","331.32505","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_NDS(d19:0/23:2)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d19:0/23:2)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d19:0/23:2)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d19:0/23:2)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d19:0/23:2)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d19:0/23:2)+HCO2","854.67265","808.66715","646.61435","374.34285","253.25425","331.32505","179.05615","9.66252727272727","9.96252727272727","2994"
"","GlcCer_NDS(d20:0/20:1)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d20:0/20:1)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d20:0/20:1)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d20:0/20:1)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d20:0/20:1)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d20:0/20:1)+HCO2","828.65705","782.65155","620.59865","334.31155","267.26985","291.29375","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NDS(d20:0/21:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d20:0/21:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d20:0/21:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d20:0/21:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d20:0/21:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d20:0/21:1)+HCO2","842.67265","796.66715","634.61435","348.32725","267.26985","305.30935","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_NDS(d20:0/22:1)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d20:0/22:1)+HCO2",0,10.65975,10.65975,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d20:0/22:1)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d20:0/22:1)+HCO2",0,88811.39,34414.57,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d20:0/22:1)+HCO2",0,810.684,648.6307,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d20:0/22:1)+HCO2","856.68825","810.68285","648.63005","362.34285","267.26985","319.32505","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_NDS(d20:0/22:2)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d20:0/22:2)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d20:0/22:2)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d20:0/22:2)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d20:0/22:2)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d20:0/22:2)+HCO2","854.67265","808.66715","646.61435","360.32725","267.26985","317.30935","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_NDS(d20:0/22:2)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d20:0/22:2)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d20:0/22:2)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d20:0/22:2)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d20:0/22:2)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d20:0/22:2)+HCO2","854.67265","808.66715","646.61435","360.32725","267.26985","317.30935","179.05615","9.66252727272727","9.96252727272727","2994"
"","GlcCer_NDS(d21:0/19:1)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d21:0/19:1)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d21:0/19:1)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d21:0/19:1)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d21:0/19:1)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d21:0/19:1)+HCO2","828.65705","782.65155","620.59865","320.29585","281.28555","277.27805","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NDS(d21:0/20:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d21:0/20:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d21:0/20:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d21:0/20:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d21:0/20:1)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NDS(d21:0/20:1)+HCO2","842.67265","796.66715","634.61435","334.31155","281.28555","291.29375","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_NDS(d21:0/21:1)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d21:0/21:1)+HCO2",0,10.65975,10.65975,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d21:0/21:1)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d21:0/21:1)+HCO2",0,88811.39,34414.57,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d21:0/21:1)+HCO2",0,810.684,648.6307,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_NDS(d21:0/21:1)+HCO2","856.68825","810.68285","648.63005","348.32725","281.28555","305.30935","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_NDS(d21:0/21:2)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d21:0/21:2)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d21:0/21:2)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d21:0/21:2)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d21:0/21:2)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_NDS(d21:0/21:2)+HCO2","854.67265","808.66715","646.61435","346.31155","281.28555","303.29375","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_NDS(d21:0/21:2)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d21:0/21:2)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d21:0/21:2)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d21:0/21:2)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d21:0/21:2)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_NDS(d21:0/21:2)+HCO2","854.67265","808.66715","646.61435","346.31155","281.28555","303.29375","179.05615","9.66252727272727","9.96252727272727","2994"
"","GlcCer_NDS(d22:0/18:1)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d22:0/18:1)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d22:0/18:1)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d22:0/18:1)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d22:0/18:1)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NDS(d22:0/18:1)+HCO2","828.65705","782.65155","620.59865","306.28025","295.30115","263.26235","179.05615","9.57360303030303","9.87360303030303","520"
