"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_BS","[M+FA-H]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_BS","[M+FA-H]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Number of Scans","Cer_BS","[M+FA-H]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Max Intensity","Cer_BS","[M+FA-H]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Average m/z","Cer_BS","[M+FA-H]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_BS","[M+FA-H]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment"
"","Cer_BS(d17:2/27:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d17:2/27:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d17:2/27:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d17:2/27:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d17:2/27:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d17:2/27:1)+HCO2","734.63045","688.62495","688.62495","324.25495","292.22875","282.24445","221.19165","11.3263590909091","11.6263590909091","1402"
"","Cer_BS(d17:2/27:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d17:2/27:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d17:2/27:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d17:2/27:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d17:2/27:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d17:2/27:2)+HCO2","732.61475","686.60935","686.60935","324.25495","292.22875","282.24445","221.19165","10.5313909090909","10.8313909090909","1290"
"","Cer_BS(d17:2/28:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d17:2/28:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d17:2/28:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d17:2/28:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d17:2/28:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d17:2/28:1)+HCO2","748.64605","702.64055","702.64055","324.25495","292.22875","282.24445","221.19165","11.7283893939394","12.0283893939394","790"
"","Cer_BS(d17:2/28:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d17:2/28:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d17:2/28:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d17:2/28:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d17:2/28:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d17:2/28:2)+HCO2","746.63045","700.62495","700.62495","324.25495","292.22875","282.24445","221.19165","10.9594772727273","11.2594772727273","525"
"","Cer_BS(d17:2/28:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d17:2/28:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d17:2/28:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d17:2/28:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d17:2/28:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d17:2/28:3)+HCO2","744.61475","698.60935","698.60935","324.25495","292.22875","282.24445","221.19165","10.0174166666667","10.3174166666667","1120"
"","Cer_BS(d17:2/35:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d17:2/35:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d17:2/35:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d17:2/35:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d17:2/35:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d17:2/35:2)+HCO2","844.73995","798.73445","798.73445","324.25495","292.22875","282.24445","221.19165","12.0117515151515","12.3117515151515","1639"
"","Cer_BS(d18:2/25:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d18:2/25:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d18:2/25:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d18:2/25:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d18:2/25:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d18:2/25:1)+HCO2","720.61475","674.60935","674.60935","338.27065","306.24445","296.26005","235.20735","10.9162772727273","11.2162772727273","972"
"","Cer_BS(d18:2/25:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d18:2/25:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d18:2/25:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d18:2/25:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d18:2/25:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d18:2/25:2)+HCO2","718.59915","672.59365","672.59365","338.27065","306.24445","296.26005","235.20735","10.0734984848485","10.3734984848485","908"
"","Cer_BS(d18:2/26:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d18:2/26:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d18:2/26:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d18:2/26:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d18:2/26:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d18:2/26:1)+HCO2","734.63045","688.62495","688.62495","338.27065","306.24445","296.26005","235.20735","11.3263590909091","11.6263590909091","1402"
"","Cer_BS(d18:2/26:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d18:2/26:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d18:2/26:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d18:2/26:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d18:2/26:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d18:2/26:2)+HCO2","732.61475","686.60935","686.60935","338.27065","306.24445","296.26005","235.20735","10.5313909090909","10.8313909090909","1290"
"","Cer_BS(d18:2/27:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d18:2/27:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d18:2/27:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d18:2/27:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d18:2/27:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d18:2/27:1)+HCO2","748.64605","702.64055","702.64055","338.27065","306.24445","296.26005","235.20735","11.7283893939394","12.0283893939394","790"
"","Cer_BS(d18:2/27:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d18:2/27:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d18:2/27:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d18:2/27:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d18:2/27:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d18:2/27:2)+HCO2","746.63045","700.62495","700.62495","338.27065","306.24445","296.26005","235.20735","10.9594772727273","11.2594772727273","525"
"","Cer_BS(d18:2/27:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d18:2/27:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d18:2/27:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d18:2/27:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d18:2/27:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d18:2/27:3)+HCO2","744.61475","698.60935","698.60935","338.27065","306.24445","296.26005","235.20735","10.0174166666667","10.3174166666667","1120"
"","Cer_BS(d18:2/34:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d18:2/34:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d18:2/34:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d18:2/34:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d18:2/34:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d18:2/34:2)+HCO2","844.73995","798.73445","798.73445","338.27065","306.24445","296.26005","235.20735","12.0117515151515","12.3117515151515","1639"
"","Cer_BS(d19:2/24:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d19:2/24:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d19:2/24:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d19:2/24:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d19:2/24:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d19:2/24:1)+HCO2","720.61475","674.60935","674.60935","352.28625","320.26005","310.27565","249.22295","10.9162772727273","11.2162772727273","972"
"","Cer_BS(d19:2/24:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d19:2/24:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d19:2/24:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d19:2/24:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d19:2/24:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d19:2/24:2)+HCO2","718.59915","672.59365","672.59365","352.28625","320.26005","310.27565","249.22295","10.0734984848485","10.3734984848485","908"
"","Cer_BS(d19:2/25:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d19:2/25:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d19:2/25:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d19:2/25:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d19:2/25:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BS(d19:2/25:1)+HCO2","734.63045","688.62495","688.62495","352.28625","320.26005","310.27565","249.22295","11.3263590909091","11.6263590909091","1402"
"","Cer_BS(d19:2/25:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d19:2/25:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d19:2/25:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d19:2/25:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d19:2/25:2)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BS(d19:2/25:2)+HCO2","732.61475","686.60935","686.60935","352.28625","320.26005","310.27565","249.22295","10.5313909090909","10.8313909090909","1290"
"","Cer_BS(d19:2/26:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d19:2/26:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d19:2/26:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d19:2/26:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d19:2/26:1)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BS(d19:2/26:1)+HCO2","748.64605","702.64055","702.64055","352.28625","320.26005","310.27565","249.22295","11.7283893939394","12.0283893939394","790"
"","Cer_BS(d19:2/26:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d19:2/26:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d19:2/26:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d19:2/26:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d19:2/26:2)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BS(d19:2/26:2)+HCO2","746.63045","700.62495","700.62495","352.28625","320.26005","310.27565","249.22295","10.9594772727273","11.2594772727273","525"
"","Cer_BS(d19:2/26:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d19:2/26:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d19:2/26:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d19:2/26:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d19:2/26:3)+HCO2",0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_BS(d19:2/26:3)+HCO2","744.61475","698.60935","698.60935","352.28625","320.26005","310.27565","249.22295","10.0174166666667","10.3174166666667","1120"
"","Cer_BS(d19:2/33:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d19:2/33:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d19:2/33:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d19:2/33:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d19:2/33:2)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BS(d19:2/33:2)+HCO2","844.73995","798.73445","798.73445","352.28625","320.26005","310.27565","249.22295","12.0117515151515","12.3117515151515","1639"
"","Cer_BS(d20:2/23:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d20:2/23:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d20:2/23:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d20:2/23:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d20:2/23:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BS(d20:2/23:1)+HCO2","720.61475","674.60935","674.60935","366.30195","334.27565","324.29135","263.23855","10.9162772727273","11.2162772727273","972"
"","Cer_BS(d20:2/23:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d20:2/23:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d20:2/23:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d20:2/23:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d20:2/23:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BS(d20:2/23:2)+HCO2","718.59915","672.59365","672.59365","366.30195","334.27565","324.29135","263.23855","10.0734984848485","10.3734984848485","908"
