Cer-BDS,[M+HCO2]-,[M-H]-,[Sph+CC=O-H]-,[Sph+C=O-CO-3H]-,[Sph-H]-,[Sph-NCCO-3H]-
Cer-BDS(d15:0/42:2)+HCO2,918.849,872.8435,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d16:0/12:0)+HCO2,516.4264,470.4209,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/12:1)+HCO2,514.4108,468.4053,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/13:0)+HCO2,530.4421,484.4366,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/13:1)+HCO2,528.4264,482.4209,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/14:0)+HCO2,544.4577,498.4522,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/14:1)+HCO2,542.4421,496.4366,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/15:0)+HCO2,558.4734,512.4679,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/15:1)+HCO2,556.4577,510.4522,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/16:0)+HCO2,572.489,526.4835,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/16:1)+HCO2,570.4734,524.4679,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/16:2)+HCO2,568.4577,522.4523,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/17:0)+HCO2,586.5046,540.4992,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/18:0)+HCO2,600.5203,554.5148,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/18:1)+HCO2,598.5046,552.4992,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/18:2)+HCO2,596.489,550.4835,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/19:0)+HCO2,614.5359,568.5305,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/19:1)+HCO2,612.5203,566.5148,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/20:0)+HCO2,628.5516,582.5461,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/20:1)+HCO2,626.5359,580.5305,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/20:2)+HCO2,624.5203,578.5148,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/21:0)+HCO2,642.5673,596.5618,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/21:1)+HCO2,640.5516,594.5461,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/22:0)+HCO2,656.5829,610.5775,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/22:1)+HCO2,654.5673,608.5618,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/22:2)+HCO2,652.5516,606.5461,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/23:0)+HCO2,670.5986,624.5931,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/23:1)+HCO2,668.5829,622.5775,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/24:0)+HCO2,684.6142,638.6088,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/24:1)+HCO2,682.5986,636.5931,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/24:2)+HCO2,680.5829,634.5775,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/25:0)+HCO2,698.6299,652.6244,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/25:1)+HCO2,696.6142,650.6088,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/26:0)+HCO2,712.6455,666.64,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/26:1)+HCO2,710.6299,664.6244,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/26:2)+HCO2,708.6142,662.6088,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/27:0)+HCO2,726.6611,680.6557,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/27:1)+HCO2,724.6455,678.64,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/28:0)+HCO2,740.6768,694.6713,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/28:1)+HCO2,738.6611,692.6557,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/28:2)+HCO2,736.6455,690.64,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/29:0)+HCO2,754.6924,708.687,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/29:1)+HCO2,752.6768,706.6713,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/30:0)+HCO2,768.7081,722.7026,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/30:1)+HCO2,766.6924,720.687,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/30:2)+HCO2,764.6768,718.6713,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/31:0)+HCO2,782.7238,736.7183,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/31:1)+HCO2,780.7081,734.7026,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/32:0)+HCO2,796.7394,750.7339,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/32:1)+HCO2,794.7238,748.7183,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/32:2)+HCO2,792.7081,746.7026,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/33:0)+HCO2,810.7551,764.7496,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/33:1)+HCO2,808.7394,762.7339,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/34:0)+HCO2,824.7707,778.7653,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/34:1)+HCO2,822.7551,776.7496,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/34:2)+HCO2,820.7394,774.7339,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/35:0)+HCO2,838.7864,792.7809,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/35:1)+HCO2,836.7707,790.7653,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/36:0)+HCO2,852.802,806.7966,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/36:1)+HCO2,850.7864,804.7809,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/36:2)+HCO2,848.7707,802.7653,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/38:0)+HCO2,880.8333,834.8278,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/38:1)+HCO2,878.8177,832.8122,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/38:2)+HCO2,876.802,830.7966,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/40:0)+HCO2,908.8646,862.8591,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/40:1)+HCO2,906.849,860.8435,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/40:2)+HCO2,904.8333,858.8278,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/42:0)+HCO2,936.8959,890.8904,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/42:1)+HCO2,934.8802,888.8748,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d16:0/42:2)+HCO2,932.8646,886.8591,314.2701,282.2439,272.2595,211.2068
Cer-BDS(d17:0/12:0)+HCO2,530.4421,484.4366,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/12:1)+HCO2,528.4264,482.4209,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/13:0)+HCO2,544.4577,498.4522,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/13:1)+HCO2,542.4421,496.4366,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/14:0)+HCO2,558.4734,512.4679,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/14:1)+HCO2,556.4577,510.4522,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/15:0)+HCO2,572.489,526.4835,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/15:1)+HCO2,570.4734,524.4679,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/16:0)+HCO2,586.5046,540.4992,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/16:1)+HCO2,584.489,538.4835,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/16:2)+HCO2,582.4734,536.4679,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/17:0)+HCO2,600.5203,554.5148,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/18:0)+HCO2,614.5359,568.5305,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/18:1)+HCO2,612.5203,566.5148,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/18:2)+HCO2,610.5046,564.4992,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/19:0)+HCO2,628.5516,582.5461,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/19:1)+HCO2,626.5359,580.5305,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/20:0)+HCO2,642.5673,596.5618,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/20:1)+HCO2,640.5516,594.5461,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/20:2)+HCO2,638.5359,592.5305,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/21:0)+HCO2,656.5829,610.5775,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/21:1)+HCO2,654.5673,608.5618,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/22:0)+HCO2,670.5986,624.5931,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/22:1)+HCO2,668.5829,622.5775,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/22:2)+HCO2,666.5673,620.5618,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/23:0)+HCO2,684.6142,638.6088,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/23:1)+HCO2,682.5986,636.5931,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/24:0)+HCO2,698.6299,652.6244,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/24:1)+HCO2,696.6142,650.6088,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/24:2)+HCO2,694.5986,648.5931,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/25:0)+HCO2,712.6455,666.64,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/25:1)+HCO2,710.6299,664.6244,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/26:0)+HCO2,726.6611,680.6557,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/26:1)+HCO2,724.6455,678.64,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/26:2)+HCO2,722.6299,676.6244,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/27:0)+HCO2,740.6768,694.6713,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/27:1)+HCO2,738.6611,692.6557,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/28:0)+HCO2,754.6924,708.687,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/28:1)+HCO2,752.6768,706.6713,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/28:2)+HCO2,750.6611,704.6557,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/29:0)+HCO2,768.7081,722.7026,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/29:1)+HCO2,766.6924,720.687,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/30:0)+HCO2,782.7238,736.7183,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/30:1)+HCO2,780.7081,734.7026,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/30:2)+HCO2,778.6924,732.687,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/31:0)+HCO2,796.7394,750.7339,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/31:1)+HCO2,794.7238,748.7183,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/32:0)+HCO2,810.7551,764.7496,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/32:1)+HCO2,808.7394,762.7339,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/32:2)+HCO2,806.7238,760.7183,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/33:0)+HCO2,824.7707,778.7653,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/33:1)+HCO2,822.7551,776.7496,328.2857,296.2595,286.2751,225.2224
Cer-BDS(d17:0/34:0)+HCO2,838.7864,792.7809,328.2857,296.2595,286.2751,225.2224
