GlcCer_NS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
GlcCer_NS(d20:1/17:0)+HCO2,786.61015,740.60465,578.55185,294.28033,251.26223,265.25426,179.05615
GlcCer_NS(d20:1/17:1)+HCO2,784.59449,738.58899,576.53619,292.26467,249.24657,265.25426,179.05615
GlcCer_NS(d20:1/17:2)+HCO2,782.57883,736.57333,574.52053,290.24901,247.23091,265.25426,179.05615
GlcCer_NS(d20:1/17:3)+HCO2,780.56317,734.55767,572.50487,288.23335,245.21525,265.25426,179.05615
GlcCer_NS(d20:1/18:0)+HCO2,800.62581,754.62031,592.56751,308.29599,265.27789,265.25426,179.05615
GlcCer_NS(d20:1/18:1)+HCO2,798.61015,752.60465,590.55185,306.28033,263.26223,265.25426,179.05615
GlcCer_NS(d20:1/18:2)+HCO2,796.59449,750.58899,588.53619,304.26467,261.24657,265.25426,179.05615
GlcCer_NS(d20:1/18:3)+HCO2,794.57883,748.57333,586.52053,302.24901,259.23091,265.25426,179.05615
GlcCer_NS(d20:1/18:4)+HCO2,792.56317,746.55767,584.50487,300.23335,257.21525,265.25426,179.05615
GlcCer_NS(d20:1/19:0)+HCO2,814.64147,768.63597,606.58317,322.31165,279.29355,265.25426,179.05615
GlcCer_NS(d20:1/19:1)+HCO2,812.62581,766.62031,604.56751,320.29599,277.27789,265.25426,179.05615
GlcCer_NS(d20:1/19:2)+HCO2,810.61015,764.60465,602.55185,318.28033,275.26223,265.25426,179.05615
GlcCer_NS(d20:1/19:3)+HCO2,808.59449,762.58899,600.53619,316.26467,273.24657,265.25426,179.05615
GlcCer_NS(d20:1/19:4)+HCO2,806.57883,760.57333,598.52053,314.24901,271.23091,265.25426,179.05615
GlcCer_NS(d20:1/20:0)+HCO2,828.65713,782.65163,620.59883,336.32731,293.30921,265.25426,179.05615
GlcCer_NS(d20:1/20:1)+HCO2,826.64147,780.63597,618.58317,334.31165,291.29355,265.25426,179.05615
GlcCer_NS(d20:1/20:2)+HCO2,824.62581,778.62031,616.56751,332.29599,289.27789,265.25426,179.05615
GlcCer_NS(d20:1/20:3)+HCO2,822.61015,776.60465,614.55185,330.28033,287.26223,265.25426,179.05615
GlcCer_NS(d20:1/20:4)+HCO2,820.59449,774.58899,612.53619,328.26467,285.24657,265.25426,179.05615
GlcCer_NS(d20:1/21:0)+HCO2,842.67279,796.66729,634.61449,350.34297,307.32487,265.25426,179.05615
GlcCer_NS(d20:1/21:1)+HCO2,840.65713,794.65163,632.59883,348.32731,305.30921,265.25426,179.05615
GlcCer_NS(d20:1/21:2)+HCO2,838.64147,792.63597,630.58317,346.31165,303.29355,265.25426,179.05615
GlcCer_NS(d20:1/21:3)+HCO2,836.62581,790.62031,628.56751,344.29599,301.27789,265.25426,179.05615
GlcCer_NS(d20:1/21:4)+HCO2,834.61015,788.60465,626.55185,342.28033,299.26223,265.25426,179.05615
GlcCer_NS(d20:1/22:0)+HCO2,856.68845,810.68295,648.63015,364.35863,321.34053,265.25426,179.05615
GlcCer_NS(d20:1/22:1)+HCO2,854.67279,808.66729,646.61449,362.34297,319.32487,265.25426,179.05615
GlcCer_NS(d20:1/22:2)+HCO2,852.65713,806.65163,644.59883,360.32731,317.30921,265.25426,179.05615
GlcCer_NS(d20:1/22:3)+HCO2,850.64147,804.63597,642.58317,358.31165,315.29355,265.25426,179.05615
GlcCer_NS(d20:1/22:4)+HCO2,848.62581,802.62031,640.56751,356.29599,313.27789,265.25426,179.05615
GlcCer_NS(d20:1/23:0)+HCO2,870.70411,824.69861,662.64581,378.37429,335.35619,265.25426,179.05615
GlcCer_NS(d20:1/23:1)+HCO2,868.68845,822.68295,660.63015,376.35863,333.34053,265.25426,179.05615
GlcCer_NS(d20:1/23:2)+HCO2,866.67279,820.66729,658.61449,374.34297,331.32487,265.25426,179.05615
GlcCer_NS(d20:1/23:3)+HCO2,864.65713,818.65163,656.59883,372.32731,329.30921,265.25426,179.05615
GlcCer_NS(d20:1/23:4)+HCO2,862.64147,816.63597,654.58317,370.31165,327.29355,265.25426,179.05615
GlcCer_NS(d20:1/24:0)+HCO2,884.71977,838.71427,676.66147,392.38995,349.37185,265.25426,179.05615
GlcCer_NS(d20:1/24:1)+HCO2,882.70411,836.69861,674.64581,390.37429,347.35619,265.25426,179.05615
GlcCer_NS(d20:1/24:2)+HCO2,880.68845,834.68295,672.63015,388.35863,345.34053,265.25426,179.05615
GlcCer_NS(d20:1/24:3)+HCO2,878.67279,832.66729,670.61449,386.34297,343.32487,265.25426,179.05615
GlcCer_NS(d20:1/24:4)+HCO2,876.65713,830.65163,668.59883,384.32731,341.30921,265.25426,179.05615
GlcCer_NS(d20:1/25:0)+HCO2,898.73543,852.72993,690.67713,406.40561,363.38751,265.25426,179.05615
GlcCer_NS(d20:1/25:1)+HCO2,896.71977,850.71427,688.66147,404.38995,361.37185,265.25426,179.05615
GlcCer_NS(d20:1/25:2)+HCO2,894.70411,848.69861,686.64581,402.37429,359.35619,265.25426,179.05615
GlcCer_NS(d20:1/25:3)+HCO2,892.68845,846.68295,684.63015,400.35863,357.34053,265.25426,179.05615
GlcCer_NS(d20:1/25:4)+HCO2,890.67279,844.66729,682.61449,398.34297,355.32487,265.25426,179.05615
GlcCer_NS(d20:1/26:0)+HCO2,912.75109,866.74559,704.69279,420.42127,377.40317,265.25426,179.05615
GlcCer_NS(d20:1/26:1)+HCO2,910.73543,864.72993,702.67713,418.40561,375.38751,265.25426,179.05615
GlcCer_NS(d20:1/26:2)+HCO2,908.71977,862.71427,700.66147,416.38995,373.37185,265.25426,179.05615
GlcCer_NS(d20:1/26:3)+HCO2,906.70411,860.69861,698.64581,414.37429,371.35619,265.25426,179.05615
GlcCer_NS(d20:1/26:4)+HCO2,904.68845,858.68295,696.63015,412.35863,369.34053,265.25426,179.05615
GlcCer_NS(d20:1/27:0)+HCO2,926.76675,880.76125,718.70845,434.43693,391.41883,265.25426,179.05615
GlcCer_NS(d20:1/27:1)+HCO2,924.75109,878.74559,716.69279,432.42127,389.40317,265.25426,179.05615
GlcCer_NS(d20:1/27:2)+HCO2,922.73543,876.72993,714.67713,430.40561,387.38751,265.25426,179.05615
GlcCer_NS(d20:1/27:3)+HCO2,920.71977,874.71427,712.66147,428.38995,385.37185,265.25426,179.05615
GlcCer_NS(d20:1/27:4)+HCO2,918.70411,872.69861,710.64581,426.37429,383.35619,265.25426,179.05615
GlcCer_NS(d20:1/28:0)+HCO2,940.78241,894.77691,732.72411,448.45259,405.43449,265.25426,179.05615
GlcCer_NS(d20:1/28:1)+HCO2,938.76675,892.76125,730.70845,446.43693,403.41883,265.25426,179.05615
GlcCer_NS(d20:1/28:2)+HCO2,936.75109,890.74559,728.69279,444.42127,401.40317,265.25426,179.05615
GlcCer_NS(d20:1/28:3)+HCO2,934.73543,888.72993,726.67713,442.40561,399.38751,265.25426,179.05615
GlcCer_NS(d20:1/28:4)+HCO2,932.71977,886.71427,724.66147,440.38995,397.37185,265.25426,179.05615
GlcCer_NS(d20:1/29:0)+HCO2,954.79807,908.79257,746.73977,462.46825,419.45015,265.25426,179.05615
GlcCer_NS(d20:1/29:1)+HCO2,952.78241,906.77691,744.72411,460.45259,417.43449,265.25426,179.05615
GlcCer_NS(d20:1/29:2)+HCO2,950.76675,904.76125,742.70845,458.43693,415.41883,265.25426,179.05615
GlcCer_NS(d20:1/29:3)+HCO2,948.75109,902.74559,740.69279,456.42127,413.40317,265.25426,179.05615
GlcCer_NS(d20:1/29:4)+HCO2,946.73543,900.72993,738.67713,454.40561,411.38751,265.25426,179.05615
GlcCer_NS(d20:1/30:0)+HCO2,968.81373,922.80823,760.75543,476.48391,433.46581,265.25426,179.05615
GlcCer_NS(d20:1/30:1)+HCO2,966.79807,920.79257,758.73977,474.46825,431.45015,265.25426,179.05615
GlcCer_NS(d20:1/30:2)+HCO2,964.78241,918.77691,756.72411,472.45259,429.43449,265.25426,179.05615
GlcCer_NS(d20:1/30:3)+HCO2,962.76675,916.76125,754.70845,470.43693,427.41883,265.25426,179.05615
GlcCer_NS(d20:1/30:4)+HCO2,960.75109,914.74559,752.69279,468.42127,425.40317,265.25426,179.05615
GlcCer_NS(d20:1/31:0)+HCO2,982.82939,936.82389,774.77109,490.49957,447.48147,265.25426,179.05615
GlcCer_NS(d20:1/31:1)+HCO2,980.81373,934.80823,772.75543,488.48391,445.46581,265.25426,179.05615
GlcCer_NS(d20:1/31:2)+HCO2,978.79807,932.79257,770.73977,486.46825,443.45015,265.25426,179.05615
GlcCer_NS(d20:1/31:3)+HCO2,976.78241,930.77691,768.72411,484.45259,441.43449,265.25426,179.05615
GlcCer_NS(d20:1/31:4)+HCO2,974.76675,928.76125,766.70845,482.43693,439.41883,265.25426,179.05615
GlcCer_NS(d20:1/32:0)+HCO2,996.84505,950.83955,788.78675,504.51523,461.49713,265.25426,179.05615
GlcCer_NS(d20:1/32:1)+HCO2,994.82939,948.82389,786.77109,502.49957,459.48147,265.25426,179.05615
GlcCer_NS(d20:1/32:2)+HCO2,992.81373,946.80823,784.75543,500.48391,457.46581,265.25426,179.05615
GlcCer_NS(d20:1/32:3)+HCO2,990.79807,944.79257,782.73977,498.46825,455.45015,265.25426,179.05615
GlcCer_NS(d20:1/32:4)+HCO2,988.78241,942.77691,780.72411,496.45259,453.43449,265.25426,179.05615
GlcCer_NS(d20:1/33:0)+HCO2,1010.86071,964.85521,802.80241,518.53089,475.51279,265.25426,179.05615
GlcCer_NS(d20:1/33:1)+HCO2,1008.84505,962.83955,800.78675,516.51523,473.49713,265.25426,179.05615
GlcCer_NS(d20:1/33:2)+HCO2,1006.82939,960.82389,798.77109,514.49957,471.48147,265.25426,179.05615
GlcCer_NS(d20:1/33:3)+HCO2,1004.81373,958.80823,796.75543,512.48391,469.46581,265.25426,179.05615
GlcCer_NS(d20:1/33:4)+HCO2,1002.79807,956.79257,794.73977,510.46825,467.45015,265.25426,179.05615
GlcCer_NS(d20:1/34:0)+HCO2,1024.87637,978.87087,816.81807,532.54655,489.52845,265.25426,179.05615
GlcCer_NS(d20:1/34:1)+HCO2,1022.86071,976.85521,814.80241,530.53089,487.51279,265.25426,179.05615
GlcCer_NS(d20:1/34:2)+HCO2,1020.84505,974.83955,812.78675,528.51523,485.49713,265.25426,179.05615
GlcCer_NS(d20:1/34:3)+HCO2,1018.82939,972.82389,810.77109,526.49957,483.48147,265.25426,179.05615
GlcCer_NS(d20:1/34:4)+HCO2,1016.81373,970.80823,808.75543,524.48391,481.46581,265.25426,179.05615
GlcCer_NS(d20:1/35:0)+HCO2,1038.89203,992.88653,830.83373,546.56221,503.54411,265.25426,179.05615
GlcCer_NS(d20:1/35:1)+HCO2,1036.87637,990.87087,828.81807,544.54655,501.52845,265.25426,179.05615
GlcCer_NS(d20:1/35:2)+HCO2,1034.86071,988.85521,826.80241,542.53089,499.51279,265.25426,179.05615
GlcCer_NS(d20:1/35:3)+HCO2,1032.84505,986.83955,824.78675,540.51523,497.49713,265.25426,179.05615
GlcCer_NS(d20:1/35:4)+HCO2,1030.82939,984.82389,822.77109,538.49957,495.48147,265.25426,179.05615
GlcCer_NS(d20:1/36:0)+HCO2,1052.90769,1006.90219,844.84939,560.57787,517.55977,265.25426,179.05615
GlcCer_NS(d20:1/36:1)+HCO2,1050.89203,1004.88653,842.83373,558.56221,515.54411,265.25426,179.05615
GlcCer_NS(d20:1/36:2)+HCO2,1048.87637,1002.87087,840.81807,556.54655,513.52845,265.25426,179.05615
GlcCer_NS(d20:1/36:3)+HCO2,1046.86071,1000.85521,838.80241,554.53089,511.51279,265.25426,179.05615
GlcCer_NS(d20:1/36:4)+HCO2,1044.84505,998.83955,836.78675,552.51523,509.49713,265.25426,179.05615
GlcCer_NS(d21:1/14:0)+HCO2,758.57883,712.57333,550.52053,252.23335,209.21525,279.26992,179.05615
GlcCer_NS(d21:1/14:1)+HCO2,756.56317,710.55767,548.50487,250.21769,207.19959,279.26992,179.05615
GlcCer_NS(d21:1/14:2)+HCO2,754.54751,708.54201,546.48921,248.20203,205.18393,279.26992,179.05615
GlcCer_NS(d21:1/14:3)+HCO2,752.53185,706.52635,544.47355,246.18637,203.16827,279.26992,179.05615
GlcCer_NS(d21:1/15:0)+HCO2,772.59449,726.58899,564.53619,266.24901,223.23091,279.26992,179.05615
GlcCer_NS(d21:1/15:1)+HCO2,770.57883,724.57333,562.52053,264.23335,221.21525,279.26992,179.05615
GlcCer_NS(d21:1/15:2)+HCO2,768.56317,722.55767,560.50487,262.21769,219.19959,279.26992,179.05615
GlcCer_NS(d21:1/15:3)+HCO2,766.54751,720.54201,558.48921,260.20203,217.18393,279.26992,179.05615
GlcCer_NS(d21:1/16:0)+HCO2,786.61015,740.60465,578.55185,280.26467,237.24657,279.26992,179.05615
GlcCer_NS(d21:1/16:1)+HCO2,784.59449,738.58899,576.53619,278.24901,235.23091,279.26992,179.05615
GlcCer_NS(d21:1/16:2)+HCO2,782.57883,736.57333,574.52053,276.23335,233.21525,279.26992,179.05615
GlcCer_NS(d21:1/16:3)+HCO2,780.56317,734.55767,572.50487,274.21769,231.19959,279.26992,179.05615
GlcCer_NS(d21:1/16:4)+HCO2,778.54751,732.54201,570.48921,272.20203,229.18393,279.26992,179.05615
GlcCer_NS(d21:1/17:0)+HCO2,800.62581,754.62031,592.56751,294.28033,251.26223,279.26992,179.05615
GlcCer_NS(d21:1/17:1)+HCO2,798.61015,752.60465,590.55185,292.26467,249.24657,279.26992,179.05615
GlcCer_NS(d21:1/17:2)+HCO2,796.59449,750.58899,588.53619,290.24901,247.23091,279.26992,179.05615
GlcCer_NS(d21:1/17:3)+HCO2,794.57883,748.57333,586.52053,288.23335,245.21525,279.26992,179.05615
GlcCer_NS(d21:1/18:0)+HCO2,814.64147,768.63597,606.58317,308.29599,265.27789,279.26992,179.05615
GlcCer_NS(d21:1/18:1)+HCO2,812.62581,766.62031,604.56751,306.28033,263.26223,279.26992,179.05615
GlcCer_NS(d21:1/18:2)+HCO2,810.61015,764.60465,602.55185,304.26467,261.24657,279.26992,179.05615
GlcCer_NS(d21:1/18:3)+HCO2,808.59449,762.58899,600.53619,302.24901,259.23091,279.26992,179.05615
GlcCer_NS(d21:1/18:4)+HCO2,806.57883,760.57333,598.52053,300.23335,257.21525,279.26992,179.05615
GlcCer_NS(d21:1/19:0)+HCO2,828.65713,782.65163,620.59883,322.31165,279.29355,279.26992,179.05615
GlcCer_NS(d21:1/19:1)+HCO2,826.64147,780.63597,618.58317,320.29599,277.27789,279.26992,179.05615
GlcCer_NS(d21:1/19:2)+HCO2,824.62581,778.62031,616.56751,318.28033,275.26223,279.26992,179.05615
GlcCer_NS(d21:1/19:3)+HCO2,822.61015,776.60465,614.55185,316.26467,273.24657,279.26992,179.05615
GlcCer_NS(d21:1/19:4)+HCO2,820.59449,774.58899,612.53619,314.24901,271.23091,279.26992,179.05615
GlcCer_NS(d21:1/20:0)+HCO2,842.67279,796.66729,634.61449,336.32731,293.30921,279.26992,179.05615
GlcCer_NS(d21:1/20:1)+HCO2,840.65713,794.65163,632.59883,334.31165,291.29355,279.26992,179.05615
GlcCer_NS(d21:1/20:2)+HCO2,838.64147,792.63597,630.58317,332.29599,289.27789,279.26992,179.05615
GlcCer_NS(d21:1/20:3)+HCO2,836.62581,790.62031,628.56751,330.28033,287.26223,279.26992,179.05615
GlcCer_NS(d21:1/20:4)+HCO2,834.61015,788.60465,626.55185,328.26467,285.24657,279.26992,179.05615
GlcCer_NS(d21:1/21:0)+HCO2,856.68845,810.68295,648.63015,350.34297,307.32487,279.26992,179.05615
GlcCer_NS(d21:1/21:1)+HCO2,854.67279,808.66729,646.61449,348.32731,305.30921,279.26992,179.05615
GlcCer_NS(d21:1/21:2)+HCO2,852.65713,806.65163,644.59883,346.31165,303.29355,279.26992,179.05615
GlcCer_NS(d21:1/21:3)+HCO2,850.64147,804.63597,642.58317,344.29599,301.27789,279.26992,179.05615
GlcCer_NS(d21:1/21:4)+HCO2,848.62581,802.62031,640.56751,342.28033,299.26223,279.26992,179.05615
GlcCer_NS(d21:1/22:0)+HCO2,870.70411,824.69861,662.64581,364.35863,321.34053,279.26992,179.05615
GlcCer_NS(d21:1/22:1)+HCO2,868.68845,822.68295,660.63015,362.34297,319.32487,279.26992,179.05615
GlcCer_NS(d21:1/22:2)+HCO2,866.67279,820.66729,658.61449,360.32731,317.30921,279.26992,179.05615
GlcCer_NS(d21:1/22:3)+HCO2,864.65713,818.65163,656.59883,358.31165,315.29355,279.26992,179.05615
GlcCer_NS(d21:1/22:4)+HCO2,862.64147,816.63597,654.58317,356.29599,313.27789,279.26992,179.05615
GlcCer_NS(d21:1/23:0)+HCO2,884.71977,838.71427,676.66147,378.37429,335.35619,279.26992,179.05615
GlcCer_NS(d21:1/23:1)+HCO2,882.70411,836.69861,674.64581,376.35863,333.34053,279.26992,179.05615
GlcCer_NS(d21:1/23:2)+HCO2,880.68845,834.68295,672.63015,374.34297,331.32487,279.26992,179.05615
GlcCer_NS(d21:1/23:3)+HCO2,878.67279,832.66729,670.61449,372.32731,329.30921,279.26992,179.05615
GlcCer_NS(d21:1/23:4)+HCO2,876.65713,830.65163,668.59883,370.31165,327.29355,279.26992,179.05615
GlcCer_NS(d21:1/24:0)+HCO2,898.73543,852.72993,690.67713,392.38995,349.37185,279.26992,179.05615
GlcCer_NS(d21:1/24:1)+HCO2,896.71977,850.71427,688.66147,390.37429,347.35619,279.26992,179.05615
GlcCer_NS(d21:1/24:2)+HCO2,894.70411,848.69861,686.64581,388.35863,345.34053,279.26992,179.05615
GlcCer_NS(d21:1/24:3)+HCO2,892.68845,846.68295,684.63015,386.34297,343.32487,279.26992,179.05615
GlcCer_NS(d21:1/24:4)+HCO2,890.67279,844.66729,682.61449,384.32731,341.30921,279.26992,179.05615
GlcCer_NS(d21:1/25:0)+HCO2,912.75109,866.74559,704.69279,406.40561,363.38751,279.26992,179.05615
GlcCer_NS(d21:1/25:1)+HCO2,910.73543,864.72993,702.67713,404.38995,361.37185,279.26992,179.05615
GlcCer_NS(d21:1/25:2)+HCO2,908.71977,862.71427,700.66147,402.37429,359.35619,279.26992,179.05615
GlcCer_NS(d21:1/25:3)+HCO2,906.70411,860.69861,698.64581,400.35863,357.34053,279.26992,179.05615
GlcCer_NS(d21:1/25:4)+HCO2,904.68845,858.68295,696.63015,398.34297,355.32487,279.26992,179.05615
GlcCer_NS(d21:1/26:0)+HCO2,926.76675,880.76125,718.70845,420.42127,377.40317,279.26992,179.05615
GlcCer_NS(d21:1/26:1)+HCO2,924.75109,878.74559,716.69279,418.40561,375.38751,279.26992,179.05615
GlcCer_NS(d21:1/26:2)+HCO2,922.73543,876.72993,714.67713,416.38995,373.37185,279.26992,179.05615
GlcCer_NS(d21:1/26:3)+HCO2,920.71977,874.71427,712.66147,414.37429,371.35619,279.26992,179.05615
GlcCer_NS(d21:1/26:4)+HCO2,918.70411,872.69861,710.64581,412.35863,369.34053,279.26992,179.05615
GlcCer_NS(d21:1/27:0)+HCO2,940.78241,894.77691,732.72411,434.43693,391.41883,279.26992,179.05615
GlcCer_NS(d21:1/27:1)+HCO2,938.76675,892.76125,730.70845,432.42127,389.40317,279.26992,179.05615
GlcCer_NS(d21:1/27:2)+HCO2,936.75109,890.74559,728.69279,430.40561,387.38751,279.26992,179.05615
GlcCer_NS(d21:1/27:3)+HCO2,934.73543,888.72993,726.67713,428.38995,385.37185,279.26992,179.05615
GlcCer_NS(d21:1/27:4)+HCO2,932.71977,886.71427,724.66147,426.37429,383.35619,279.26992,179.05615
GlcCer_NS(d21:1/28:0)+HCO2,954.79807,908.79257,746.73977,448.45259,405.43449,279.26992,179.05615
GlcCer_NS(d21:1/28:1)+HCO2,952.78241,906.77691,744.72411,446.43693,403.41883,279.26992,179.05615
GlcCer_NS(d21:1/28:2)+HCO2,950.76675,904.76125,742.70845,444.42127,401.40317,279.26992,179.05615
GlcCer_NS(d21:1/28:3)+HCO2,948.75109,902.74559,740.69279,442.40561,399.38751,279.26992,179.05615
GlcCer_NS(d21:1/28:4)+HCO2,946.73543,900.72993,738.67713,440.38995,397.37185,279.26992,179.05615
GlcCer_NS(d21:1/29:0)+HCO2,968.81373,922.80823,760.75543,462.46825,419.45015,279.26992,179.05615
GlcCer_NS(d21:1/29:1)+HCO2,966.79807,920.79257,758.73977,460.45259,417.43449,279.26992,179.05615
GlcCer_NS(d21:1/29:2)+HCO2,964.78241,918.77691,756.72411,458.43693,415.41883,279.26992,179.05615
GlcCer_NS(d21:1/29:3)+HCO2,962.76675,916.76125,754.70845,456.42127,413.40317,279.26992,179.05615
GlcCer_NS(d21:1/29:4)+HCO2,960.75109,914.74559,752.69279,454.40561,411.38751,279.26992,179.05615
GlcCer_NS(d21:1/30:0)+HCO2,982.82939,936.82389,774.77109,476.48391,433.46581,279.26992,179.05615
GlcCer_NS(d21:1/30:1)+HCO2,980.81373,934.80823,772.75543,474.46825,431.45015,279.26992,179.05615
GlcCer_NS(d21:1/30:2)+HCO2,978.79807,932.79257,770.73977,472.45259,429.43449,279.26992,179.05615
GlcCer_NS(d21:1/30:3)+HCO2,976.78241,930.77691,768.72411,470.43693,427.41883,279.26992,179.05615
GlcCer_NS(d21:1/30:4)+HCO2,974.76675,928.76125,766.70845,468.42127,425.40317,279.26992,179.05615
GlcCer_NS(d21:1/31:0)+HCO2,996.84505,950.83955,788.78675,490.49957,447.48147,279.26992,179.05615
GlcCer_NS(d21:1/31:1)+HCO2,994.82939,948.82389,786.77109,488.48391,445.46581,279.26992,179.05615
GlcCer_NS(d21:1/31:2)+HCO2,992.81373,946.80823,784.75543,486.46825,443.45015,279.26992,179.05615
GlcCer_NS(d21:1/31:3)+HCO2,990.79807,944.79257,782.73977,484.45259,441.43449,279.26992,179.05615
GlcCer_NS(d21:1/31:4)+HCO2,988.78241,942.77691,780.72411,482.43693,439.41883,279.26992,179.05615
GlcCer_NS(d21:1/32:0)+HCO2,1010.86071,964.85521,802.80241,504.51523,461.49713,279.26992,179.05615
GlcCer_NS(d21:1/32:1)+HCO2,1008.84505,962.83955,800.78675,502.49957,459.48147,279.26992,179.05615
GlcCer_NS(d21:1/32:2)+HCO2,1006.82939,960.82389,798.77109,500.48391,457.46581,279.26992,179.05615
GlcCer_NS(d21:1/32:3)+HCO2,1004.81373,958.80823,796.75543,498.46825,455.45015,279.26992,179.05615
GlcCer_NS(d21:1/32:4)+HCO2,1002.79807,956.79257,794.73977,496.45259,453.43449,279.26992,179.05615
GlcCer_NS(d21:1/33:0)+HCO2,1024.87637,978.87087,816.81807,518.53089,475.51279,279.26992,179.05615
GlcCer_NS(d21:1/33:1)+HCO2,1022.86071,976.85521,814.80241,516.51523,473.49713,279.26992,179.05615
GlcCer_NS(d21:1/33:2)+HCO2,1020.84505,974.83955,812.78675,514.49957,471.48147,279.26992,179.05615
GlcCer_NS(d21:1/33:3)+HCO2,1018.82939,972.82389,810.77109,512.48391,469.46581,279.26992,179.05615
GlcCer_NS(d21:1/33:4)+HCO2,1016.81373,970.80823,808.75543,510.46825,467.45015,279.26992,179.05615
GlcCer_NS(d21:1/34:0)+HCO2,1038.89203,992.88653,830.83373,532.54655,489.52845,279.26992,179.05615
GlcCer_NS(d21:1/34:1)+HCO2,1036.87637,990.87087,828.81807,530.53089,487.51279,279.26992,179.05615
GlcCer_NS(d21:1/34:2)+HCO2,1034.86071,988.85521,826.80241,528.51523,485.49713,279.26992,179.05615
GlcCer_NS(d21:1/34:3)+HCO2,1032.84505,986.83955,824.78675,526.49957,483.48147,279.26992,179.05615
GlcCer_NS(d21:1/34:4)+HCO2,1030.82939,984.82389,822.77109,524.48391,481.46581,279.26992,179.05615
GlcCer_NS(d21:1/35:0)+HCO2,1052.90769,1006.90219,844.84939,546.56221,503.54411,279.26992,179.05615
GlcCer_NS(d21:1/35:1)+HCO2,1050.89203,1004.88653,842.83373,544.54655,501.52845,279.26992,179.05615
GlcCer_NS(d21:1/35:2)+HCO2,1048.87637,1002.87087,840.81807,542.53089,499.51279,279.26992,179.05615
GlcCer_NS(d21:1/35:3)+HCO2,1046.86071,1000.85521,838.80241,540.51523,497.49713,279.26992,179.05615
GlcCer_NS(d21:1/35:4)+HCO2,1044.84505,998.83955,836.78675,538.49957,495.48147,279.26992,179.05615
GlcCer_NS(d21:1/36:0)+HCO2,1066.92335,1020.91785,858.86505,560.57787,517.55977,279.26992,179.05615
GlcCer_NS(d21:1/36:1)+HCO2,1064.90769,1018.90219,856.84939,558.56221,515.54411,279.26992,179.05615
GlcCer_NS(d21:1/36:2)+HCO2,1062.89203,1016.88653,854.83373,556.54655,513.52845,279.26992,179.05615
GlcCer_NS(d21:1/36:3)+HCO2,1060.87637,1014.87087,852.81807,554.53089,511.51279,279.26992,179.05615
GlcCer_NS(d21:1/36:4)+HCO2,1058.86071,1012.85521,850.80241,552.51523,509.49713,279.26992,179.05615
GlcCer_NS(d22:1/14:0)+HCO2,772.59449,726.58899,564.53619,252.23335,209.21525,293.28558,179.05615
GlcCer_NS(d22:1/14:1)+HCO2,770.57883,724.57333,562.52053,250.21769,207.19959,293.28558,179.05615
GlcCer_NS(d22:1/14:2)+HCO2,768.56317,722.55767,560.50487,248.20203,205.18393,293.28558,179.05615
GlcCer_NS(d22:1/14:3)+HCO2,766.54751,720.54201,558.48921,246.18637,203.16827,293.28558,179.05615
GlcCer_NS(d22:1/15:0)+HCO2,786.61015,740.60465,578.55185,266.24901,223.23091,293.28558,179.05615
GlcCer_NS(d22:1/15:1)+HCO2,784.59449,738.58899,576.53619,264.23335,221.21525,293.28558,179.05615
GlcCer_NS(d22:1/15:2)+HCO2,782.57883,736.57333,574.52053,262.21769,219.19959,293.28558,179.05615
GlcCer_NS(d22:1/15:3)+HCO2,780.56317,734.55767,572.50487,260.20203,217.18393,293.28558,179.05615
GlcCer_NS(d22:1/16:0)+HCO2,800.62581,754.62031,592.56751,280.26467,237.24657,293.28558,179.05615
GlcCer_NS(d22:1/16:1)+HCO2,798.61015,752.60465,590.55185,278.24901,235.23091,293.28558,179.05615
GlcCer_NS(d22:1/16:2)+HCO2,796.59449,750.58899,588.53619,276.23335,233.21525,293.28558,179.05615
GlcCer_NS(d22:1/16:3)+HCO2,794.57883,748.57333,586.52053,274.21769,231.19959,293.28558,179.05615
GlcCer_NS(d22:1/16:4)+HCO2,792.56317,746.55767,584.50487,272.20203,229.18393,293.28558,179.05615
GlcCer_NS(d22:1/17:0)+HCO2,814.64147,768.63597,606.58317,294.28033,251.26223,293.28558,179.05615
GlcCer_NS(d22:1/17:1)+HCO2,812.62581,766.62031,604.56751,292.26467,249.24657,293.28558,179.05615
GlcCer_NS(d22:1/17:2)+HCO2,810.61015,764.60465,602.55185,290.24901,247.23091,293.28558,179.05615
GlcCer_NS(d22:1/17:3)+HCO2,808.59449,762.58899,600.53619,288.23335,245.21525,293.28558,179.05615
GlcCer_NS(d22:1/18:0)+HCO2,828.65713,782.65163,620.59883,308.29599,265.27789,293.28558,179.05615
GlcCer_NS(d22:1/18:1)+HCO2,826.64147,780.63597,618.58317,306.28033,263.26223,293.28558,179.05615
GlcCer_NS(d22:1/18:2)+HCO2,824.62581,778.62031,616.56751,304.26467,261.24657,293.28558,179.05615
GlcCer_NS(d22:1/18:3)+HCO2,822.61015,776.60465,614.55185,302.24901,259.23091,293.28558,179.05615
GlcCer_NS(d22:1/18:4)+HCO2,820.59449,774.58899,612.53619,300.23335,257.21525,293.28558,179.05615
GlcCer_NS(d22:1/19:0)+HCO2,842.67279,796.66729,634.61449,322.31165,279.29355,293.28558,179.05615
