Cer-NS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NS(d15:1/30:0)+H,692.6915,674.681,656.6704,240.2322,222.2216,452.4826,210.2216
Cer-NS(d15:1/30:1)+H,690.6758,672.6653,654.6547,240.2322,222.2216,450.4669,210.2216
Cer-NS(d15:1/30:2)+H,688.6602,670.6497,652.6391,240.2322,222.2216,448.4513,210.2216
Cer-NS(d15:1/31:0)+H,706.7072,688.6966,670.686,240.2322,222.2216,466.4983,210.2216
Cer-NS(d15:1/31:1)+H,704.6915,686.681,668.6704,240.2322,222.2216,464.4826,210.2216
Cer-NS(d15:1/32:0)+H,720.7228,702.7123,684.7017,240.2322,222.2216,480.5139,210.2216
Cer-NS(d15:1/32:1)+H,718.7072,700.6966,682.686,240.2322,222.2216,478.4983,210.2216
Cer-NS(d15:1/32:2)+H,716.6915,698.681,680.6704,240.2322,222.2216,476.4826,210.2216
Cer-NS(d15:1/33:0)+H,734.7385,716.7279,698.7173,240.2322,222.2216,494.5295,210.2216
Cer-NS(d15:1/33:1)+H,732.7228,714.7123,696.7017,240.2322,222.2216,492.5139,210.2216
Cer-NS(d15:1/34:0)+H,748.7542,730.7435,712.733,240.2322,222.2216,508.5452,210.2216
Cer-NS(d15:1/34:1)+H,746.7385,728.7279,710.7173,240.2322,222.2216,506.5295,210.2216
Cer-NS(d15:1/34:2)+H,744.7228,726.7123,708.7017,240.2322,222.2216,504.5139,210.2216
Cer-NS(d15:1/35:0)+H,762.7698,744.7592,726.7487,240.2322,222.2216,522.5609,210.2216
Cer-NS(d15:1/35:1)+H,760.7542,742.7435,724.733,240.2322,222.2216,520.5452,210.2216
Cer-NS(d15:1/36:0)+H,776.7854,758.7748,740.7643,240.2322,222.2216,536.5765,210.2216
Cer-NS(d15:1/36:1)+H,774.7698,756.7592,738.7487,240.2322,222.2216,534.5609,210.2216
Cer-NS(d15:1/36:2)+H,772.7542,754.7435,736.733,240.2322,222.2216,532.5452,210.2216
Cer-NS(d15:1/38:0)+H,804.8167,786.8062,768.7956,240.2322,222.2216,564.6078,210.2216
Cer-NS(d15:1/38:1)+H,802.8011,784.7905,766.7799,240.2322,222.2216,562.5922,210.2216
Cer-NS(d15:1/38:2)+H,800.7854,782.7748,764.7643,240.2322,222.2216,560.5765,210.2216
Cer-NS(d15:1/40:0)+H,832.848,814.8375,796.8269,240.2322,222.2216,592.6391,210.2216
Cer-NS(d15:1/40:1)+H,830.8324,812.8218,794.8112,240.2322,222.2216,590.6235,210.2216
Cer-NS(d15:1/40:2)+H,828.8167,810.8062,792.7956,240.2322,222.2216,588.6078,210.2216
Cer-NS(d15:1/42:0)+H,860.8793,842.8688,824.8582,240.2322,222.2216,620.6704,210.2216
Cer-NS(d15:1/42:1)+H,858.8636,840.8531,822.8425,240.2322,222.2216,618.6547,210.2216
Cer-NS(d15:1/42:2)+H,856.848,838.8375,820.8269,240.2322,222.2216,616.6391,210.2216
Cer-NS(d15:2/12:0)+H,438.3942,420.3836,402.373,238.2166,220.206,200.2009,208.206
Cer-NS(d15:2/12:1)+H,436.3785,418.368,400.3574,238.2166,220.206,198.1853,208.206
Cer-NS(d15:2/13:0)+H,452.4098,434.3993,416.3887,238.2166,220.206,214.2166,208.206
Cer-NS(d15:2/13:1)+H,450.3942,432.3836,414.373,238.2166,220.206,212.2009,208.206
Cer-NS(d15:2/14:0)+H,466.4255,448.4149,430.4043,238.2166,220.206,228.2322,208.206
Cer-NS(d15:2/14:1)+H,464.4098,446.3993,428.3887,238.2166,220.206,226.2166,208.206
Cer-NS(d15:2/15:0)+H,480.4411,462.4305,444.42,238.2166,220.206,242.2478,208.206
Cer-NS(d15:2/15:1)+H,478.4255,460.4149,442.4043,238.2166,220.206,240.2322,208.206
Cer-NS(d15:2/16:0)+H,494.4568,476.4462,458.4356,238.2166,220.206,256.2635,208.206
Cer-NS(d15:2/16:1)+H,492.4411,474.4305,456.42,238.2166,220.206,254.2478,208.206
Cer-NS(d15:2/16:2)+H,490.4255,472.4149,454.4043,238.2166,220.206,252.2322,208.206
Cer-NS(d15:2/17:0)+H,508.4724,490.4619,472.4513,238.2166,220.206,270.2791,208.206
Cer-NS(d15:2/18:0)+H,522.4881,504.4775,486.4669,238.2166,220.206,284.2948,208.206
Cer-NS(d15:2/18:1)+H,520.4724,502.4619,484.4513,238.2166,220.206,282.2791,208.206
Cer-NS(d15:2/18:2)+H,518.4568,500.4462,482.4356,238.2166,220.206,280.2635,208.206
Cer-NS(d15:2/19:0)+H,536.5037,518.4932,500.4826,238.2166,220.206,298.3105,208.206
Cer-NS(d15:2/19:1)+H,534.4881,516.4775,498.4669,238.2166,220.206,296.2948,208.206
Cer-NS(d15:2/20:0)+H,550.5193,532.5088,514.4982,238.2166,220.206,312.3261,208.206
Cer-NS(d15:2/20:1)+H,548.5037,530.4932,512.4826,238.2166,220.206,310.3105,208.206
Cer-NS(d15:2/20:2)+H,546.4881,528.4775,510.4669,238.2166,220.206,308.2948,208.206
Cer-NS(d15:2/21:0)+H,564.535,546.5245,528.5139,238.2166,220.206,326.3417,208.206
Cer-NS(d15:2/21:1)+H,562.5193,544.5088,526.4982,238.2166,220.206,324.3261,208.206
Cer-NS(d15:2/22:0)+H,578.5507,560.5401,542.5295,238.2166,220.206,340.3574,208.206
Cer-NS(d15:2/22:1)+H,576.535,558.5245,540.5139,238.2166,220.206,338.3417,208.206
Cer-NS(d15:2/22:2)+H,574.5193,556.5088,538.4982,238.2166,220.206,336.3261,208.206
Cer-NS(d15:2/23:0)+H,592.5663,574.5557,556.5452,238.2166,220.206,354.373,208.206
Cer-NS(d15:2/23:1)+H,590.5507,572.5401,554.5295,238.2166,220.206,352.3574,208.206
Cer-NS(d15:2/24:0)+H,606.582,588.5714,570.5609,238.2166,220.206,368.3887,208.206
Cer-NS(d15:2/24:1)+H,604.5663,586.5557,568.5452,238.2166,220.206,366.373,208.206
Cer-NS(d15:2/24:2)+H,602.5507,584.5401,566.5295,238.2166,220.206,364.3574,208.206
Cer-NS(d15:2/25:0)+H,620.5976,602.587,584.5765,238.2166,220.206,382.4044,208.206
Cer-NS(d15:2/25:1)+H,618.582,600.5714,582.5609,238.2166,220.206,380.3887,208.206
Cer-NS(d15:2/26:0)+H,634.6133,616.6027,598.5921,238.2166,220.206,396.42,208.206
Cer-NS(d15:2/26:1)+H,632.5976,614.587,596.5765,238.2166,220.206,394.4044,208.206
Cer-NS(d15:2/26:2)+H,630.582,612.5714,594.5609,238.2166,220.206,392.3887,208.206
Cer-NS(d15:2/27:0)+H,648.6289,630.6183,612.6078,238.2166,220.206,410.4356,208.206
Cer-NS(d15:2/27:1)+H,646.6133,628.6027,610.5921,238.2166,220.206,408.42,208.206
Cer-NS(d15:2/28:0)+H,662.6446,644.634,626.6234,238.2166,220.206,424.4513,208.206
Cer-NS(d15:2/28:1)+H,660.6289,642.6183,624.6078,238.2166,220.206,422.4356,208.206
Cer-NS(d15:2/28:2)+H,658.6133,640.6027,622.5921,238.2166,220.206,420.42,208.206
Cer-NS(d15:2/29:0)+H,676.6602,658.6497,640.6391,238.2166,220.206,438.4669,208.206
Cer-NS(d15:2/29:1)+H,674.6446,656.634,638.6234,238.2166,220.206,436.4513,208.206
Cer-NS(d15:2/30:0)+H,690.6758,672.6653,654.6547,238.2166,220.206,452.4826,208.206
Cer-NS(d15:2/30:1)+H,688.6602,670.6497,652.6391,238.2166,220.206,450.4669,208.206
Cer-NS(d15:2/30:2)+H,686.6446,668.634,650.6234,238.2166,220.206,448.4513,208.206
Cer-NS(d15:2/31:0)+H,704.6915,686.681,668.6704,238.2166,220.206,466.4983,208.206
Cer-NS(d15:2/31:1)+H,702.6758,684.6653,666.6547,238.2166,220.206,464.4826,208.206
Cer-NS(d15:2/32:0)+H,718.7072,700.6966,682.686,238.2166,220.206,480.5139,208.206
Cer-NS(d15:2/32:1)+H,716.6915,698.681,680.6704,238.2166,220.206,478.4983,208.206
Cer-NS(d15:2/32:2)+H,714.6758,696.6653,678.6547,238.2166,220.206,476.4826,208.206
Cer-NS(d15:2/33:0)+H,732.7228,714.7123,696.7017,238.2166,220.206,494.5295,208.206
Cer-NS(d15:2/33:1)+H,730.7072,712.6966,694.686,238.2166,220.206,492.5139,208.206
Cer-NS(d15:2/34:0)+H,746.7385,728.7279,710.7173,238.2166,220.206,508.5452,208.206
Cer-NS(d15:2/34:1)+H,744.7228,726.7123,708.7017,238.2166,220.206,506.5295,208.206
Cer-NS(d15:2/34:2)+H,742.7072,724.6966,706.686,238.2166,220.206,504.5139,208.206
Cer-NS(d15:2/35:0)+H,760.7542,742.7435,724.733,238.2166,220.206,522.5609,208.206
Cer-NS(d15:2/35:1)+H,758.7385,740.7279,722.7173,238.2166,220.206,520.5452,208.206
Cer-NS(d15:2/36:0)+H,774.7698,756.7592,738.7487,238.2166,220.206,536.5765,208.206
Cer-NS(d15:2/36:1)+H,772.7542,754.7435,736.733,238.2166,220.206,534.5609,208.206
Cer-NS(d15:2/36:2)+H,770.7385,752.7279,734.7173,238.2166,220.206,532.5452,208.206
Cer-NS(d15:2/38:0)+H,802.8011,784.7905,766.7799,238.2166,220.206,564.6078,208.206
Cer-NS(d15:2/38:1)+H,800.7854,782.7748,764.7643,238.2166,220.206,562.5922,208.206
Cer-NS(d15:2/38:2)+H,798.7698,780.7592,762.7487,238.2166,220.206,560.5765,208.206
Cer-NS(d15:2/40:0)+H,830.8324,812.8218,794.8112,238.2166,220.206,592.6391,208.206
Cer-NS(d15:2/40:1)+H,828.8167,810.8062,792.7956,238.2166,220.206,590.6235,208.206
Cer-NS(d15:2/40:2)+H,826.8011,808.7905,790.7799,238.2166,220.206,588.6078,208.206
Cer-NS(d15:2/42:0)+H,858.8636,840.8531,822.8425,238.2166,220.206,620.6704,208.206
Cer-NS(d15:2/42:1)+H,856.848,838.8375,820.8269,238.2166,220.206,618.6547,208.206
Cer-NS(d15:2/42:2)+H,854.8324,836.8218,818.8112,238.2166,220.206,616.6391,208.206
Cer-NS(d15:3/12:0)+H,436.3785,418.368,400.3574,236.2009,218.1903,200.2009,206.1903
Cer-NS(d15:3/12:1)+H,434.3629,416.3523,398.3417,236.2009,218.1903,198.1853,206.1903
Cer-NS(d15:3/13:0)+H,450.3942,432.3836,414.373,236.2009,218.1903,214.2166,206.1903
Cer-NS(d15:3/13:1)+H,448.3785,430.368,412.3574,236.2009,218.1903,212.2009,206.1903
Cer-NS(d15:3/14:0)+H,464.4098,446.3993,428.3887,236.2009,218.1903,228.2322,206.1903
Cer-NS(d15:3/14:1)+H,462.3942,444.3836,426.373,236.2009,218.1903,226.2166,206.1903
Cer-NS(d15:3/15:0)+H,478.4255,460.4149,442.4043,236.2009,218.1903,242.2478,206.1903
Cer-NS(d15:3/15:1)+H,476.4098,458.3993,440.3887,236.2009,218.1903,240.2322,206.1903
Cer-NS(d15:3/16:0)+H,492.4411,474.4305,456.42,236.2009,218.1903,256.2635,206.1903
Cer-NS(d15:3/16:1)+H,490.4255,472.4149,454.4043,236.2009,218.1903,254.2478,206.1903
Cer-NS(d15:3/16:2)+H,488.4098,470.3993,452.3887,236.2009,218.1903,252.2322,206.1903
Cer-NS(d15:3/17:0)+H,506.4568,488.4462,470.4356,236.2009,218.1903,270.2791,206.1903
Cer-NS(d15:3/18:0)+H,520.4724,502.4619,484.4513,236.2009,218.1903,284.2948,206.1903
Cer-NS(d15:3/18:1)+H,518.4568,500.4462,482.4356,236.2009,218.1903,282.2791,206.1903
Cer-NS(d15:3/18:2)+H,516.4411,498.4305,480.42,236.2009,218.1903,280.2635,206.1903
Cer-NS(d15:3/19:0)+H,534.4881,516.4775,498.4669,236.2009,218.1903,298.3105,206.1903
Cer-NS(d15:3/19:1)+H,532.4724,514.4619,496.4513,236.2009,218.1903,296.2948,206.1903
Cer-NS(d15:3/20:0)+H,548.5037,530.4932,512.4826,236.2009,218.1903,312.3261,206.1903
Cer-NS(d15:3/20:1)+H,546.4881,528.4775,510.4669,236.2009,218.1903,310.3105,206.1903
Cer-NS(d15:3/20:2)+H,544.4724,526.4619,508.4513,236.2009,218.1903,308.2948,206.1903
Cer-NS(d15:3/21:0)+H,562.5193,544.5088,526.4982,236.2009,218.1903,326.3417,206.1903
Cer-NS(d15:3/21:1)+H,560.5037,542.4932,524.4826,236.2009,218.1903,324.3261,206.1903
Cer-NS(d15:3/22:0)+H,576.535,558.5245,540.5139,236.2009,218.1903,340.3574,206.1903
Cer-NS(d15:3/22:1)+H,574.5193,556.5088,538.4982,236.2009,218.1903,338.3417,206.1903
Cer-NS(d15:3/22:2)+H,572.5037,554.4932,536.4826,236.2009,218.1903,336.3261,206.1903
Cer-NS(d15:3/23:0)+H,590.5507,572.5401,554.5295,236.2009,218.1903,354.373,206.1903
Cer-NS(d15:3/23:1)+H,588.535,570.5245,552.5139,236.2009,218.1903,352.3574,206.1903
Cer-NS(d15:3/24:0)+H,604.5663,586.5557,568.5452,236.2009,218.1903,368.3887,206.1903
Cer-NS(d15:3/24:1)+H,602.5507,584.5401,566.5295,236.2009,218.1903,366.373,206.1903
Cer-NS(d15:3/24:2)+H,600.535,582.5245,564.5139,236.2009,218.1903,364.3574,206.1903
Cer-NS(d15:3/25:0)+H,618.582,600.5714,582.5609,236.2009,218.1903,382.4044,206.1903
Cer-NS(d15:3/25:1)+H,616.5663,598.5557,580.5452,236.2009,218.1903,380.3887,206.1903
Cer-NS(d15:3/26:0)+H,632.5976,614.587,596.5765,236.2009,218.1903,396.42,206.1903
Cer-NS(d15:3/26:1)+H,630.582,612.5714,594.5609,236.2009,218.1903,394.4044,206.1903
Cer-NS(d15:3/26:2)+H,628.5663,610.5557,592.5452,236.2009,218.1903,392.3887,206.1903
Cer-NS(d15:3/27:0)+H,646.6133,628.6027,610.5921,236.2009,218.1903,410.4356,206.1903
Cer-NS(d15:3/27:1)+H,644.5976,626.587,608.5765,236.2009,218.1903,408.42,206.1903
Cer-NS(d15:3/28:0)+H,660.6289,642.6183,624.6078,236.2009,218.1903,424.4513,206.1903
Cer-NS(d15:3/28:1)+H,658.6133,640.6027,622.5921,236.2009,218.1903,422.4356,206.1903
Cer-NS(d15:3/28:2)+H,656.5976,638.587,620.5765,236.2009,218.1903,420.42,206.1903
Cer-NS(d15:3/29:0)+H,674.6446,656.634,638.6234,236.2009,218.1903,438.4669,206.1903
Cer-NS(d15:3/29:1)+H,672.6289,654.6183,636.6078,236.2009,218.1903,436.4513,206.1903
Cer-NS(d15:3/30:0)+H,688.6602,670.6497,652.6391,236.2009,218.1903,452.4826,206.1903
Cer-NS(d15:3/30:1)+H,686.6446,668.634,650.6234,236.2009,218.1903,450.4669,206.1903
Cer-NS(d15:3/30:2)+H,684.6289,666.6183,648.6078,236.2009,218.1903,448.4513,206.1903
Cer-NS(d15:3/31:0)+H,702.6758,684.6653,666.6547,236.2009,218.1903,466.4983,206.1903
Cer-NS(d15:3/31:1)+H,700.6602,682.6497,664.6391,236.2009,218.1903,464.4826,206.1903
Cer-NS(d15:3/32:0)+H,716.6915,698.681,680.6704,236.2009,218.1903,480.5139,206.1903
Cer-NS(d15:3/32:1)+H,714.6758,696.6653,678.6547,236.2009,218.1903,478.4983,206.1903
Cer-NS(d15:3/32:2)+H,712.6602,694.6497,676.6391,236.2009,218.1903,476.4826,206.1903
Cer-NS(d15:3/33:0)+H,730.7072,712.6966,694.686,236.2009,218.1903,494.5295,206.1903
Cer-NS(d15:3/33:1)+H,728.6915,710.681,692.6704,236.2009,218.1903,492.5139,206.1903
Cer-NS(d15:3/34:0)+H,744.7228,726.7123,708.7017,236.2009,218.1903,508.5452,206.1903
Cer-NS(d15:3/34:1)+H,742.7072,724.6966,706.686,236.2009,218.1903,506.5295,206.1903
Cer-NS(d15:3/34:2)+H,740.6915,722.681,704.6704,236.2009,218.1903,504.5139,206.1903
Cer-NS(d15:3/35:0)+H,758.7385,740.7279,722.7173,236.2009,218.1903,522.5609,206.1903
Cer-NS(d15:3/35:1)+H,756.7228,738.7123,720.7017,236.2009,218.1903,520.5452,206.1903
Cer-NS(d15:3/36:0)+H,772.7542,754.7435,736.733,236.2009,218.1903,536.5765,206.1903
Cer-NS(d15:3/36:1)+H,770.7385,752.7279,734.7173,236.2009,218.1903,534.5609,206.1903
Cer-NS(d15:3/36:2)+H,768.7228,750.7123,732.7017,236.2009,218.1903,532.5452,206.1903
Cer-NS(d15:3/38:0)+H,800.7854,782.7748,764.7643,236.2009,218.1903,564.6078,206.1903
Cer-NS(d15:3/38:1)+H,798.7698,780.7592,762.7487,236.2009,218.1903,562.5922,206.1903
Cer-NS(d15:3/38:2)+H,796.7542,778.7435,760.733,236.2009,218.1903,560.5765,206.1903
Cer-NS(d15:3/40:0)+H,828.8167,810.8062,792.7956,236.2009,218.1903,592.6391,206.1903
Cer-NS(d15:3/40:1)+H,826.8011,808.7905,790.7799,236.2009,218.1903,590.6235,206.1903
Cer-NS(d15:3/40:2)+H,824.7854,806.7748,788.7643,236.2009,218.1903,588.6078,206.1903
Cer-NS(d15:3/42:0)+H,856.848,838.8375,820.8269,236.2009,218.1903,620.6704,206.1903
Cer-NS(d15:3/42:1)+H,854.8324,836.8218,818.8112,236.2009,218.1903,618.6547,206.1903
Cer-NS(d15:3/42:2)+H,852.8167,834.8062,816.7956,236.2009,218.1903,616.6391,206.1903
Cer-NS(d16:1/12:0)+H,454.4255,436.4149,418.4043,254.2478,236.2373,200.2009,224.2373
Cer-NS(d16:1/12:1)+H,452.4098,434.3993,416.3887,254.2478,236.2373,198.1853,224.2373
Cer-NS(d16:1/13:0)+H,468.4411,450.4305,432.42,254.2478,236.2373,214.2166,224.2373
Cer-NS(d16:1/13:1)+H,466.4255,448.4149,430.4043,254.2478,236.2373,212.2009,224.2373
Cer-NS(d16:1/14:0)+H,482.4568,464.4462,446.4356,254.2478,236.2373,228.2322,224.2373
Cer-NS(d16:1/14:1)+H,480.4411,462.4305,444.42,254.2478,236.2373,226.2166,224.2373
Cer-NS(d16:1/15:0)+H,496.4724,478.4619,460.4513,254.2478,236.2373,242.2478,224.2373
Cer-NS(d16:1/15:1)+H,494.4568,476.4462,458.4356,254.2478,236.2373,240.2322,224.2373
Cer-NS(d16:1/16:0)+H,510.4881,492.4775,474.4669,254.2478,236.2373,256.2635,224.2373
Cer-NS(d16:1/16:1)+H,508.4724,490.4619,472.4513,254.2478,236.2373,254.2478,224.2373
Cer-NS(d16:1/16:2)+H,506.4568,488.4462,470.4356,254.2478,236.2373,252.2322,224.2373
Cer-NS(d16:1/17:0)+H,524.5037,506.4932,488.4826,254.2478,236.2373,270.2791,224.2373
Cer-NS(d16:1/18:0)+H,538.5193,520.5088,502.4982,254.2478,236.2373,284.2948,224.2373
Cer-NS(d16:1/18:1)+H,536.5037,518.4932,500.4826,254.2478,236.2373,282.2791,224.2373
Cer-NS(d16:1/18:2)+H,534.4881,516.4775,498.4669,254.2478,236.2373,280.2635,224.2373
Cer-NS(d16:1/19:0)+H,552.535,534.5245,516.5139,254.2478,236.2373,298.3105,224.2373
Cer-NS(d16:1/19:1)+H,550.5193,532.5088,514.4982,254.2478,236.2373,296.2948,224.2373
Cer-NS(d16:1/20:0)+H,566.5507,548.5401,530.5295,254.2478,236.2373,312.3261,224.2373
Cer-NS(d16:1/20:1)+H,564.535,546.5245,528.5139,254.2478,236.2373,310.3105,224.2373
Cer-NS(d16:1/20:2)+H,562.5193,544.5088,526.4982,254.2478,236.2373,308.2948,224.2373
Cer-NS(d16:1/21:0)+H,580.5663,562.5557,544.5452,254.2478,236.2373,326.3417,224.2373
Cer-NS(d16:1/21:1)+H,578.5507,560.5401,542.5295,254.2478,236.2373,324.3261,224.2373
Cer-NS(d16:1/22:0)+H,594.582,576.5714,558.5609,254.2478,236.2373,340.3574,224.2373
Cer-NS(d16:1/22:1)+H,592.5663,574.5557,556.5452,254.2478,236.2373,338.3417,224.2373
Cer-NS(d16:1/22:2)+H,590.5507,572.5401,554.5295,254.2478,236.2373,336.3261,224.2373
Cer-NS(d16:1/23:0)+H,608.5976,590.587,572.5765,254.2478,236.2373,354.373,224.2373
Cer-NS(d16:1/23:1)+H,606.582,588.5714,570.5609,254.2478,236.2373,352.3574,224.2373
Cer-NS(d16:1/24:0)+H,622.6133,604.6027,586.5921,254.2478,236.2373,368.3887,224.2373
Cer-NS(d16:1/24:1)+H,620.5976,602.587,584.5765,254.2478,236.2373,366.373,224.2373
Cer-NS(d16:1/24:2)+H,618.582,600.5714,582.5609,254.2478,236.2373,364.3574,224.2373
Cer-NS(d16:1/25:0)+H,636.6289,618.6183,600.6078,254.2478,236.2373,382.4044,224.2373
Cer-NS(d16:1/25:1)+H,634.6133,616.6027,598.5921,254.2478,236.2373,380.3887,224.2373
Cer-NS(d16:1/26:0)+H,650.6446,632.634,614.6234,254.2478,236.2373,396.42,224.2373
Cer-NS(d16:1/26:1)+H,648.6289,630.6183,612.6078,254.2478,236.2373,394.4044,224.2373
Cer-NS(d16:1/26:2)+H,646.6133,628.6027,610.5921,254.2478,236.2373,392.3887,224.2373
Cer-NS(d16:1/27:0)+H,664.6602,646.6497,628.6391,254.2478,236.2373,410.4356,224.2373
Cer-NS(d16:1/27:1)+H,662.6446,644.634,626.6234,254.2478,236.2373,408.42,224.2373
Cer-NS(d16:1/28:0)+H,678.6758,660.6653,642.6547,254.2478,236.2373,424.4513,224.2373
Cer-NS(d16:1/28:1)+H,676.6602,658.6497,640.6391,254.2478,236.2373,422.4356,224.2373
Cer-NS(d16:1/28:2)+H,674.6446,656.634,638.6234,254.2478,236.2373,420.42,224.2373
Cer-NS(d16:1/29:0)+H,692.6915,674.681,656.6704,254.2478,236.2373,438.4669,224.2373
Cer-NS(d16:1/29:1)+H,690.6758,672.6653,654.6547,254.2478,236.2373,436.4513,224.2373
Cer-NS(d16:1/30:0)+H,706.7072,688.6966,670.686,254.2478,236.2373,452.4826,224.2373
Cer-NS(d16:1/30:1)+H,704.6915,686.681,668.6704,254.2478,236.2373,450.4669,224.2373
Cer-NS(d16:1/30:2)+H,702.6758,684.6653,666.6547,254.2478,236.2373,448.4513,224.2373
Cer-NS(d16:1/31:0)+H,720.7228,702.7123,684.7017,254.2478,236.2373,466.4983,224.2373
Cer-NS(d16:1/31:1)+H,718.7072,700.6966,682.686,254.2478,236.2373,464.4826,224.2373
Cer-NS(d16:1/32:0)+H,734.7385,716.7279,698.7173,254.2478,236.2373,480.5139,224.2373
Cer-NS(d16:1/32:1)+H,732.7228,714.7123,696.7017,254.2478,236.2373,478.4983,224.2373
Cer-NS(d16:1/32:2)+H,730.7072,712.6966,694.686,254.2478,236.2373,476.4826,224.2373
Cer-NS(d16:1/33:0)+H,748.7542,730.7435,712.733,254.2478,236.2373,494.5295,224.2373
Cer-NS(d16:1/33:1)+H,746.7385,728.7279,710.7173,254.2478,236.2373,492.5139,224.2373
Cer-NS(d16:1/34:0)+H,762.7698,744.7592,726.7487,254.2478,236.2373,508.5452,224.2373
Cer-NS(d16:1/34:1)+H,760.7542,742.7435,724.733,254.2478,236.2373,506.5295,224.2373
Cer-NS(d16:1/34:2)+H,758.7385,740.7279,722.7173,254.2478,236.2373,504.5139,224.2373
Cer-NS(d16:1/35:0)+H,776.7854,758.7748,740.7643,254.2478,236.2373,522.5609,224.2373
Cer-NS(d16:1/35:1)+H,774.7698,756.7592,738.7487,254.2478,236.2373,520.5452,224.2373
Cer-NS(d16:1/36:0)+H,790.8011,772.7905,754.7799,254.2478,236.2373,536.5765,224.2373
Cer-NS(d16:1/36:1)+H,788.7854,770.7748,752.7643,254.2478,236.2373,534.5609,224.2373
Cer-NS(d16:1/36:2)+H,786.7698,768.7592,750.7487,254.2478,236.2373,532.5452,224.2373
Cer-NS(d16:1/38:0)+H,818.8324,800.8218,782.8112,254.2478,236.2373,564.6078,224.2373
Cer-NS(d16:1/38:1)+H,816.8167,798.8062,780.7956,254.2478,236.2373,562.5922,224.2373
Cer-NS(d16:1/38:2)+H,814.8011,796.7905,778.7799,254.2478,236.2373,560.5765,224.2373
Cer-NS(d16:1/40:0)+H,846.8636,828.8531,810.8425,254.2478,236.2373,592.6391,224.2373
Cer-NS(d16:1/40:1)+H,844.848,826.8375,808.8269,254.2478,236.2373,590.6235,224.2373
Cer-NS(d16:1/40:2)+H,842.8324,824.8218,806.8112,254.2478,236.2373,588.6078,224.2373
Cer-NS(d16:1/42:0)+H,874.895,856.8844,838.8738,254.2478,236.2373,620.6704,224.2373
Cer-NS(d16:1/42:1)+H,872.8793,854.8688,836.8582,254.2478,236.2373,618.6547,224.2373
Cer-NS(d16:1/42:2)+H,870.8636,852.8531,834.8425,254.2478,236.2373,616.6391,224.2373
Cer-NS(d16:2/12:0)+H,452.4098,434.3993,416.3887,252.2322,234.2216,200.2009,222.2216
Cer-NS(d16:2/12:1)+H,450.3942,432.3836,414.373,252.2322,234.2216,198.1853,222.2216
Cer-NS(d16:2/13:0)+H,466.4255,448.4149,430.4043,252.2322,234.2216,214.2166,222.2216
Cer-NS(d16:2/13:1)+H,464.4098,446.3993,428.3887,252.2322,234.2216,212.2009,222.2216
Cer-NS(d16:2/14:0)+H,480.4411,462.4305,444.42,252.2322,234.2216,228.2322,222.2216
Cer-NS(d16:2/14:1)+H,478.4255,460.4149,442.4043,252.2322,234.2216,226.2166,222.2216
Cer-NS(d16:2/15:0)+H,494.4568,476.4462,458.4356,252.2322,234.2216,242.2478,222.2216
Cer-NS(d16:2/15:1)+H,492.4411,474.4305,456.42,252.2322,234.2216,240.2322,222.2216
Cer-NS(d16:2/16:0)+H,508.4724,490.4619,472.4513,252.2322,234.2216,256.2635,222.2216
Cer-NS(d16:2/16:1)+H,506.4568,488.4462,470.4356,252.2322,234.2216,254.2478,222.2216
Cer-NS(d16:2/16:2)+H,504.4411,486.4305,468.42,252.2322,234.2216,252.2322,222.2216
Cer-NS(d16:2/17:0)+H,522.4881,504.4775,486.4669,252.2322,234.2216,270.2791,222.2216
Cer-NS(d16:2/18:0)+H,536.5037,518.4932,500.4826,252.2322,234.2216,284.2948,222.2216
Cer-NS(d16:2/18:1)+H,534.4881,516.4775,498.4669,252.2322,234.2216,282.2791,222.2216
Cer-NS(d16:2/18:2)+H,532.4724,514.4619,496.4513,252.2322,234.2216,280.2635,222.2216
Cer-NS(d16:2/19:0)+H,550.5193,532.5088,514.4982,252.2322,234.2216,298.3105,222.2216
Cer-NS(d16:2/19:1)+H,548.5037,530.4932,512.4826,252.2322,234.2216,296.2948,222.2216
Cer-NS(d16:2/20:0)+H,564.535,546.5245,528.5139,252.2322,234.2216,312.3261,222.2216
Cer-NS(d16:2/20:1)+H,562.5193,544.5088,526.4982,252.2322,234.2216,310.3105,222.2216
Cer-NS(d16:2/20:2)+H,560.5037,542.4932,524.4826,252.2322,234.2216,308.2948,222.2216
Cer-NS(d16:2/21:0)+H,578.5507,560.5401,542.5295,252.2322,234.2216,326.3417,222.2216
Cer-NS(d16:2/21:1)+H,576.535,558.5245,540.5139,252.2322,234.2216,324.3261,222.2216
Cer-NS(d16:2/22:0)+H,592.5663,574.5557,556.5452,252.2322,234.2216,340.3574,222.2216
Cer-NS(d16:2/22:1)+H,590.5507,572.5401,554.5295,252.2322,234.2216,338.3417,222.2216
Cer-NS(d16:2/22:2)+H,588.535,570.5245,552.5139,252.2322,234.2216,336.3261,222.2216
Cer-NS(d16:2/23:0)+H,606.582,588.5714,570.5609,252.2322,234.2216,354.373,222.2216
Cer-NS(d16:2/23:1)+H,604.5663,586.5557,568.5452,252.2322,234.2216,352.3574,222.2216
Cer-NS(d16:2/24:0)+H,620.5976,602.587,584.5765,252.2322,234.2216,368.3887,222.2216
