Plasmanyl-PC,[M+H]+,MH-PC,NL_sn1_ether,NL_sn1_59,NL_sn2_acyl,sn2_NL_H2O,LPC_T2_H,RCOO+58_T2,RCO_T2,PC_Head
Plasmanyl-PC(O-18:0/20:0)+H,804.6840576,621.6180176,536.4075926,477.3340926,510.3918776,492.3813176,552.40239,369.33633,295.3001,184.07332
Plasmanyl-PC(O-18:0/20:1)+H,802.6684576,619.6024176,534.3919926,475.3184926,510.3918776,492.3813176,550.38679,367.32073,293.2845,184.07332
Plasmanyl-PC(O-18:0/20:2)+H,800.6527576,617.5867176,532.3762926,473.3027926,510.3918776,492.3813176,548.37109,365.30503,291.2688,184.07332
Plasmanyl-PC(O-18:0/20:3)+H,798.6371576,615.5711176,530.3606926,471.2871926,510.3918776,492.3813176,546.35549,363.28943,289.2532,184.07332
Plasmanyl-PC(O-18:0/20:4)+H,796.6214576,613.5554176,528.3449926,469.2714926,510.3918776,492.3813176,544.33979,361.27373,287.2375,184.07332
Plasmanyl-PC(O-18:0/20:5)+H,794.6058576,611.5398176,526.3293926,467.2558926,510.3918776,492.3813176,542.32419,359.25813,285.2219,184.07332
Plasmanyl-PC(O-18:0/21:0)+H,818.6997576,635.6337176,550.4232926,491.3497926,510.3918776,492.3813176,566.41809,383.35203,309.3158,184.07332
Plasmanyl-PC(O-18:0/22:0)+H,832.7153576,649.6493176,564.4388926,505.3653926,510.3918776,492.3813176,580.43369,397.36763,323.3314,184.07332
Plasmanyl-PC(O-18:0/22:1)+H,830.6997576,647.6337176,562.4232926,503.3497926,510.3918776,492.3813176,578.41809,395.35203,321.3158,184.07332
Plasmanyl-PC(O-18:0/22:2)+H,828.6840576,645.6180176,560.4075926,501.3340926,510.3918776,492.3813176,576.40239,393.33633,319.3001,184.07332
Plasmanyl-PC(O-18:0/22:3)+H,826.6684576,643.6024176,558.3919926,499.3184926,510.3918776,492.3813176,574.38679,391.32073,317.2845,184.07332
Plasmanyl-PC(O-18:0/22:4)+H,824.6527576,641.5867176,556.3762926,497.3027926,510.3918776,492.3813176,572.37109,389.30503,315.2688,184.07332
Plasmanyl-PC(O-18:0/22:5)+H,822.6371576,639.5711176,554.3606926,495.2871926,510.3918776,492.3813176,570.35549,387.28943,313.2532,184.07332
Plasmanyl-PC(O-18:0/22:6)+H,820.6214576,637.5554176,552.3449926,493.2714926,510.3918776,492.3813176,568.33979,385.27373,311.2375,184.07332
Plasmanyl-PC(O-18:0/23:0)+H,846.7310576,663.6650176,578.4545926,519.3810926,510.3918776,492.3813176,594.44939,411.38333,337.3471,184.07332
Plasmanyl-PC(O-18:0/24:0)+H,860.7466576,677.6806176,592.4701926,533.3966926,510.3918776,492.3813176,608.46499,425.39893,351.3627,184.07332
Plasmanyl-PC(O-18:0/24:1)+H,858.7310576,675.6650176,590.4545926,531.3810926,510.3918776,492.3813176,606.44939,423.38333,349.3471,184.07332
Plasmanyl-PC(O-18:0/25:0)+H,874.7623576,691.6963176,606.4858926,547.4123926,510.3918776,492.3813176,622.48069,439.41463,365.3784,184.07332
Plasmanyl-PC(O-18:0/26:0)+H,888.7779576,705.7119176,620.5014926,561.4279926,510.3918776,492.3813176,636.49629,453.43023,379.394,184.07332
Plasmanyl-PC(O-18:0/8:0)+H,636.4962576,453.4302176,368.2197926,309.1462926,510.3918776,492.3813176,384.21459,201.14853,127.1123,184.07332
Plasmanyl-PC(O-18:1/10:0)+H,662.5119576,479.4459176,396.2510926,337.1775926,508.3762776,490.3657176,412.24589,229.17983,155.1436,184.07332
Plasmanyl-PC(O-18:1/12:0)+H,690.5432576,507.4772176,424.2823926,365.2088926,508.3762776,490.3657176,440.27719,257.21113,183.1749,184.07332
Plasmanyl-PC(O-18:1/13:0)+H,704.5589576,521.4929176,438.2980926,379.2245926,508.3762776,490.3657176,454.29289,271.22683,197.1906,184.07332
Plasmanyl-PC(O-18:1/14:0)+H,718.5745576,535.5085176,452.3136926,393.2401926,508.3762776,490.3657176,468.30849,285.24243,211.2062,184.07332
Plasmanyl-PC(O-18:1/14:1)+H,716.5589576,533.4929176,450.2980926,391.2245926,508.3762776,490.3657176,466.29289,283.22683,209.1906,184.07332
Plasmanyl-PC(O-18:1/15:0)+H,732.5902576,549.5242176,466.3293926,407.2558926,508.3762776,490.3657176,482.32419,299.25813,225.2219,184.07332
Plasmanyl-PC(O-18:1/15:1)+H,730.5745576,547.5085176,464.3136926,405.2401926,508.3762776,490.3657176,480.30849,297.24243,223.2062,184.07332
Plasmanyl-PC(O-18:1/16:0)+H,746.6058576,563.5398176,480.3449926,421.2714926,508.3762776,490.3657176,496.33979,313.27373,239.2375,184.07332
Plasmanyl-PC(O-18:1/16:1)+H,744.5902576,561.5242176,478.3293926,419.2558926,508.3762776,490.3657176,494.32419,311.25813,237.2219,184.07332
Plasmanyl-PC(O-18:1/17:0)+H,760.6215576,577.5555176,494.3606926,435.2871926,508.3762776,490.3657176,510.35549,327.28943,253.2532,184.07332
Plasmanyl-PC(O-18:1/17:1)+H,758.6058576,575.5398176,492.3449926,433.2714926,508.3762776,490.3657176,508.33979,325.27373,251.2375,184.07332
Plasmanyl-PC(O-18:1/17:2)+H,756.5902576,573.5242176,490.3293926,431.2558926,508.3762776,490.3657176,506.32419,323.25813,249.2219,184.07332
Plasmanyl-PC(O-18:1/18:0)+H,774.6371576,591.5711176,508.3762926,449.3027926,508.3762776,490.3657176,524.37109,341.30503,267.2688,184.07332
Plasmanyl-PC(O-18:1/18:1)+H,772.6215576,589.5555176,506.3606926,447.2871926,508.3762776,490.3657176,522.35549,339.28943,265.2532,184.07332
Plasmanyl-PC(O-18:1/18:2)+H,770.6058576,587.5398176,504.3449926,445.2714926,508.3762776,490.3657176,520.33979,337.27373,263.2375,184.07332
