SM,[M+HCO2]-,M-CH3,FA-H,(P-Cho)-CH3-H
SM(d20:1/17:2)+HCO2,785.5815,725.5557,265.2173,168.0431
SM(d20:1/18:0)+HCO2,803.6284,743.6026,283.2642,168.0431
SM(d20:1/18:1)+HCO2,801.6128,741.587,281.2486,168.0431
SM(d20:1/18:2)+HCO2,799.5971,739.5713,279.2329,168.0431
SM(d20:1/18:3)+HCO2,797.5815,737.5557,277.2173,168.0431
SM(d20:1/18:4)+HCO2,795.5658,735.54,275.2016,168.0431
SM(d20:1/19:0)+HCO2,817.6441,757.6183,297.2799,168.0431
SM(d20:1/20:0)+HCO2,831.6597,771.6339,311.2955,168.0431
SM(d20:1/20:1)+HCO2,829.6441,769.6183,309.2799,168.0431
SM(d20:1/20:2)+HCO2,827.6284,767.6026,307.2642,168.0431
SM(d20:1/20:3)+HCO2,825.6128,765.587,305.2486,168.0431
SM(d20:1/20:4)+HCO2,823.5971,763.5713,303.2329,168.0431
SM(d20:1/20:5)+HCO2,821.5815,761.5557,301.2173,168.0431
SM(d20:1/21:0)+HCO2,845.6754,785.6496,325.3112,168.0431
SM(d20:1/22:0)+HCO2,859.691,799.6652,339.3268,168.0431
SM(d20:1/22:1)+HCO2,857.6754,797.6496,337.3112,168.0431
SM(d20:1/22:2)+HCO2,855.6597,795.6339,335.2955,168.0431
SM(d20:1/22:3)+HCO2,853.6441,793.6183,333.2799,168.0431
SM(d20:1/22:4)+HCO2,851.6284,791.6026,331.2642,168.0431
SM(d20:1/22:5)+HCO2,849.6128,789.587,329.2486,168.0431
SM(d20:1/22:6)+HCO2,847.5971,787.5713,327.2329,168.0431
SM(d20:1/23:0)+HCO2,873.7067,813.6809,353.3425,168.0431
SM(d20:1/24:0)+HCO2,887.7223,827.6965,367.3581,168.0431
SM(d20:1/24:1)+HCO2,885.7067,825.6809,365.3425,168.0431
SM(d20:1/25:0)+HCO2,901.738,841.7122,381.3738,168.0431
SM(d20:1/26:0)+HCO2,915.7536,855.7278,395.3894,168.0431
SM(d20:1/8:0)+HCO2,663.4719,603.4461,143.1077,168.0431
SM(d20:2/10:0)+HCO2,689.4875,629.4617,171.139,168.0431
SM(d20:2/12:0)+HCO2,717.5188,657.493,199.1703,168.0431
SM(d20:2/13:0)+HCO2,731.5345,671.5087,213.186,168.0431
SM(d20:2/14:0)+HCO2,745.5501,685.5243,227.2016,168.0431
SM(d20:2/14:1)+HCO2,743.5345,683.5087,225.186,168.0431
SM(d20:2/15:0)+HCO2,759.5658,699.54,241.2173,168.0431
SM(d20:2/15:1)+HCO2,757.5501,697.5243,239.2016,168.0431
SM(d20:2/16:0)+HCO2,773.5814,713.5556,255.2329,168.0431
SM(d20:2/16:1)+HCO2,771.5658,711.54,253.2173,168.0431
SM(d20:2/17:0)+HCO2,787.5971,727.5713,269.2486,168.0431
SM(d20:2/17:1)+HCO2,785.5814,725.5556,267.2329,168.0431
SM(d20:2/17:2)+HCO2,783.5658,723.54,265.2173,168.0431
SM(d20:2/18:0)+HCO2,801.6127,741.5869,283.2642,168.0431
SM(d20:2/18:1)+HCO2,799.5971,739.5713,281.2486,168.0431
SM(d20:2/18:2)+HCO2,797.5814,737.5556,279.2329,168.0431
SM(d20:2/18:3)+HCO2,795.5658,735.54,277.2173,168.0431
SM(d20:2/18:4)+HCO2,793.5501,733.5243,275.2016,168.0431
SM(d20:2/19:0)+HCO2,815.6284,755.6026,297.2799,168.0431
SM(d20:2/20:0)+HCO2,829.644,769.6182,311.2955,168.0431
SM(d20:2/20:1)+HCO2,827.6284,767.6026,309.2799,168.0431
SM(d20:2/20:2)+HCO2,825.6127,765.5869,307.2642,168.0431
SM(d20:2/20:3)+HCO2,823.5971,763.5713,305.2486,168.0431
SM(d20:2/20:4)+HCO2,821.5814,761.5556,303.2329,168.0431
SM(d20:2/20:5)+HCO2,819.5658,759.54,301.2173,168.0431
SM(d20:2/21:0)+HCO2,843.6597,783.6339,325.3112,168.0431
SM(d20:2/22:0)+HCO2,857.6753,797.6495,339.3268,168.0431
SM(d20:2/22:1)+HCO2,855.6597,795.6339,337.3112,168.0431
SM(d20:2/22:2)+HCO2,853.644,793.6182,335.2955,168.0431
SM(d20:2/22:3)+HCO2,851.6284,791.6026,333.2799,168.0431
SM(d20:2/22:4)+HCO2,849.6127,789.5869,331.2642,168.0431
SM(d20:2/22:5)+HCO2,847.5971,787.5713,329.2486,168.0431
SM(d20:2/22:6)+HCO2,845.5814,785.5556,327.2329,168.0431
SM(d20:2/23:0)+HCO2,871.691,811.6652,353.3425,168.0431
SM(d20:2/24:0)+HCO2,885.7066,825.6808,367.3581,168.0431
SM(d20:2/24:1)+HCO2,883.691,823.6652,365.3425,168.0431
SM(d20:2/25:0)+HCO2,899.7223,839.6965,381.3738,168.0431
SM(d20:2/26:0)+HCO2,913.7379,853.7121,395.3894,168.0431
SM(d20:2/8:0)+HCO2,661.4562,601.4304,143.1077,168.0431
SM(d20:3/10:0)+HCO2,687.4719,627.4461,171.139,168.0431
SM(d20:3/12:0)+HCO2,715.5032,655.4774,199.1703,168.0431
SM(d20:3/13:0)+HCO2,729.5189,669.4931,213.186,168.0431
SM(d20:3/14:0)+HCO2,743.5345,683.5087,227.2016,168.0431
SM(d20:3/14:1)+HCO2,741.5189,681.4931,225.186,168.0431
SM(d20:3/15:0)+HCO2,757.5502,697.5244,241.2173,168.0431
SM(d20:3/15:1)+HCO2,755.5345,695.5087,239.2016,168.0431
SM(d20:3/16:0)+HCO2,771.5658,711.54,255.2329,168.0431
SM(d20:3/16:1)+HCO2,769.5502,709.5244,253.2173,168.0431
SM(d20:3/17:0)+HCO2,785.5815,725.5557,269.2486,168.0431
SM(d20:3/17:1)+HCO2,783.5658,723.54,267.2329,168.0431
SM(d20:3/17:2)+HCO2,781.5502,721.5244,265.2173,168.0431
SM(d20:3/18:0)+HCO2,799.5971,739.5713,283.2642,168.0431
SM(d20:3/18:1)+HCO2,797.5815,737.5557,281.2486,168.0431
SM(d20:3/18:2)+HCO2,795.5658,735.54,279.2329,168.0431
SM(d20:3/18:3)+HCO2,793.5502,733.5244,277.2173,168.0431
SM(d20:3/18:4)+HCO2,791.5345,731.5087,275.2016,168.0431
SM(d20:3/19:0)+HCO2,813.6128,753.587,297.2799,168.0431
SM(d20:3/20:0)+HCO2,827.6284,767.6026,311.2955,168.0431
SM(d20:3/20:1)+HCO2,825.6128,765.587,309.2799,168.0431
SM(d20:3/20:2)+HCO2,823.5971,763.5713,307.2642,168.0431
SM(d20:3/20:3)+HCO2,821.5815,761.5557,305.2486,168.0431
SM(d20:3/20:4)+HCO2,819.5658,759.54,303.2329,168.0431
SM(d20:3/20:5)+HCO2,817.5502,757.5244,301.2173,168.0431
SM(d20:3/21:0)+HCO2,841.6441,781.6183,325.3112,168.0431
SM(d20:3/22:0)+HCO2,855.6597,795.6339,339.3268,168.0431
SM(d20:3/22:1)+HCO2,853.6441,793.6183,337.3112,168.0431
SM(d20:3/22:2)+HCO2,851.6284,791.6026,335.2955,168.0431
SM(d20:3/22:3)+HCO2,849.6128,789.587,333.2799,168.0431
SM(d20:3/22:4)+HCO2,847.5971,787.5713,331.2642,168.0431
SM(d20:3/22:5)+HCO2,845.5815,785.5557,329.2486,168.0431
SM(d20:3/22:6)+HCO2,843.5658,783.54,327.2329,168.0431
SM(d20:3/23:0)+HCO2,869.6754,809.6496,353.3425,168.0431
SM(d20:3/24:0)+HCO2,883.691,823.6652,367.3581,168.0431
SM(d20:3/24:1)+HCO2,881.6754,821.6496,365.3425,168.0431
SM(d20:3/25:0)+HCO2,897.7067,837.6809,381.3738,168.0431
SM(d20:3/26:0)+HCO2,911.7223,851.6965,395.3894,168.0431
SM(d20:3/8:0)+HCO2,659.4406,599.4148,143.1077,168.0431
SM(d20:4/10:0)+HCO2,685.4562,625.4304,171.139,168.0431
SM(d20:4/12:0)+HCO2,713.4875,653.4617,199.1703,168.0431
SM(d20:4/13:0)+HCO2,727.5032,667.4774,213.186,168.0431
SM(d20:4/14:0)+HCO2,741.5188,681.493,227.2016,168.0431
SM(d20:4/14:1)+HCO2,739.5032,679.4774,225.186,168.0431
SM(d20:4/15:0)+HCO2,755.5345,695.5087,241.2173,168.0431
SM(d20:4/15:1)+HCO2,753.5188,693.493,239.2016,168.0431
SM(d20:4/16:0)+HCO2,769.5501,709.5243,255.2329,168.0431
SM(d20:4/16:1)+HCO2,767.5345,707.5087,253.2173,168.0431
SM(d20:4/17:0)+HCO2,783.5658,723.54,269.2486,168.0431
SM(d20:4/17:1)+HCO2,781.5501,721.5243,267.2329,168.0431
SM(d20:4/17:2)+HCO2,779.5345,719.5087,265.2173,168.0431
SM(d20:4/18:0)+HCO2,797.5814,737.5556,283.2642,168.0431
SM(d20:4/18:1)+HCO2,795.5658,735.54,281.2486,168.0431
SM(d20:4/18:2)+HCO2,793.5501,733.5243,279.2329,168.0431
SM(d20:4/18:3)+HCO2,791.5345,731.5087,277.2173,168.0431
SM(d20:4/18:4)+HCO2,789.5188,729.493,275.2016,168.0431
SM(d20:4/19:0)+HCO2,811.5971,751.5713,297.2799,168.0431
SM(d20:4/20:0)+HCO2,825.6127,765.5869,311.2955,168.0431
SM(d20:4/20:1)+HCO2,823.5971,763.5713,309.2799,168.0431
SM(d20:4/20:2)+HCO2,821.5814,761.5556,307.2642,168.0431
SM(d20:4/20:3)+HCO2,819.5658,759.54,305.2486,168.0431
SM(d20:4/20:4)+HCO2,817.5501,757.5243,303.2329,168.0431
SM(d20:4/20:5)+HCO2,815.5345,755.5087,301.2173,168.0431
SM(d20:4/21:0)+HCO2,839.6284,779.6026,325.3112,168.0431
SM(d20:4/22:0)+HCO2,853.644,793.6182,339.3268,168.0431
SM(d20:4/22:1)+HCO2,851.6284,791.6026,337.3112,168.0431
SM(d20:4/22:2)+HCO2,849.6127,789.5869,335.2955,168.0431
SM(d20:4/22:3)+HCO2,847.5971,787.5713,333.2799,168.0431
SM(d20:4/22:4)+HCO2,845.5814,785.5556,331.2642,168.0431
SM(d20:4/22:5)+HCO2,843.5658,783.54,329.2486,168.0431
SM(d20:4/22:6)+HCO2,841.5501,781.5243,327.2329,168.0431
SM(d20:4/23:0)+HCO2,867.6597,807.6339,353.3425,168.0431
SM(d20:4/24:0)+HCO2,881.6753,821.6495,367.3581,168.0431
SM(d20:4/24:1)+HCO2,879.6597,819.6339,365.3425,168.0431
SM(d20:4/25:0)+HCO2,895.691,835.6652,381.3738,168.0431
SM(d20:4/26:0)+HCO2,909.7066,849.6808,395.3894,168.0431
SM(d20:4/8:0)+HCO2,657.4249,597.3991,143.1077,168.0431
SM(d20:5/10:0)+HCO2,683.4406,623.4148,171.139,168.0431
SM(d20:5/12:0)+HCO2,711.4719,651.4461,199.1703,168.0431
SM(d20:5/13:0)+HCO2,725.4876,665.4618,213.186,168.0431
SM(d20:5/14:0)+HCO2,739.5032,679.4774,227.2016,168.0431
SM(d20:5/14:1)+HCO2,737.4876,677.4618,225.186,168.0431
SM(d20:5/15:0)+HCO2,753.5189,693.4931,241.2173,168.0431
SM(d20:5/15:1)+HCO2,751.5032,691.4774,239.2016,168.0431
SM(d20:5/16:0)+HCO2,767.5345,707.5087,255.2329,168.0431
SM(d20:5/16:1)+HCO2,765.5189,705.4931,253.2173,168.0431
SM(d20:5/17:0)+HCO2,781.5502,721.5244,269.2486,168.0431
SM(d20:5/17:1)+HCO2,779.5345,719.5087,267.2329,168.0431
SM(d20:5/17:2)+HCO2,777.5189,717.4931,265.2173,168.0431
SM(d20:5/18:0)+HCO2,795.5658,735.54,283.2642,168.0431
SM(d20:5/18:1)+HCO2,793.5502,733.5244,281.2486,168.0431
SM(d20:5/18:2)+HCO2,791.5345,731.5087,279.2329,168.0431
SM(d20:5/18:3)+HCO2,789.5189,729.4931,277.2173,168.0431
SM(d20:5/18:4)+HCO2,787.5032,727.4774,275.2016,168.0431
SM(d20:5/19:0)+HCO2,809.5815,749.5557,297.2799,168.0431
SM(d20:5/20:0)+HCO2,823.5971,763.5713,311.2955,168.0431
SM(d20:5/20:1)+HCO2,821.5815,761.5557,309.2799,168.0431
SM(d20:5/20:2)+HCO2,819.5658,759.54,307.2642,168.0431
SM(d20:5/20:3)+HCO2,817.5502,757.5244,305.2486,168.0431
SM(d20:5/20:4)+HCO2,815.5345,755.5087,303.2329,168.0431
SM(d20:5/20:5)+HCO2,813.5189,753.4931,301.2173,168.0431
SM(d20:5/21:0)+HCO2,837.6128,777.587,325.3112,168.0431
SM(d20:5/22:0)+HCO2,851.6284,791.6026,339.3268,168.0431
SM(d20:5/22:1)+HCO2,849.6128,789.587,337.3112,168.0431
SM(d20:5/22:2)+HCO2,847.5971,787.5713,335.2955,168.0431
SM(d20:5/22:3)+HCO2,845.5815,785.5557,333.2799,168.0431
SM(d20:5/22:4)+HCO2,843.5658,783.54,331.2642,168.0431
SM(d20:5/22:5)+HCO2,841.5502,781.5244,329.2486,168.0431
SM(d20:5/22:6)+HCO2,839.5345,779.5087,327.2329,168.0431
SM(d20:5/23:0)+HCO2,865.6441,805.6183,353.3425,168.0431
SM(d20:5/24:0)+HCO2,879.6597,819.6339,367.3581,168.0431
SM(d20:5/24:1)+HCO2,877.6441,817.6183,365.3425,168.0431
SM(d20:5/25:0)+HCO2,893.6754,833.6496,381.3738,168.0431
SM(d20:5/26:0)+HCO2,907.691,847.6652,395.3894,168.0431
SM(d20:5/8:0)+HCO2,655.4093,595.3835,143.1077,168.0431
SM(d21:0/10:0)+HCO2,707.5345,647.5087,171.139,168.0431
SM(d21:0/12:0)+HCO2,735.5658,675.54,199.1703,168.0431
SM(d21:0/13:0)+HCO2,749.5815,689.5557,213.186,168.0431
SM(d21:0/14:0)+HCO2,763.5971,703.5713,227.2016,168.0431
SM(d21:0/14:1)+HCO2,761.5815,701.5557,225.186,168.0431
SM(d21:0/15:0)+HCO2,777.6128,717.587,241.2173,168.0431
SM(d21:0/15:1)+HCO2,775.5971,715.5713,239.2016,168.0431
SM(d21:0/16:0)+HCO2,791.6284,731.6026,255.2329,168.0431
SM(d21:0/16:1)+HCO2,789.6128,729.587,253.2173,168.0431
SM(d21:0/17:0)+HCO2,805.6441,745.6183,269.2486,168.0431
SM(d21:0/17:1)+HCO2,803.6284,743.6026,267.2329,168.0431
SM(d21:0/17:2)+HCO2,801.6128,741.587,265.2173,168.0431
SM(d21:0/18:0)+HCO2,819.6597,759.6339,283.2642,168.0431
SM(d21:0/18:1)+HCO2,817.6441,757.6183,281.2486,168.0431
SM(d21:0/18:2)+HCO2,815.6284,755.6026,279.2329,168.0431
SM(d21:0/18:3)+HCO2,813.6128,753.587,277.2173,168.0431
SM(d21:0/18:4)+HCO2,811.5971,751.5713,275.2016,168.0431
SM(d21:0/19:0)+HCO2,833.6754,773.6496,297.2799,168.0431
SM(d21:0/20:0)+HCO2,847.691,787.6652,311.2955,168.0431
SM(d21:0/20:1)+HCO2,845.6754,785.6496,309.2799,168.0431
SM(d21:0/20:2)+HCO2,843.6597,783.6339,307.2642,168.0431
SM(d21:0/20:3)+HCO2,841.6441,781.6183,305.2486,168.0431
SM(d21:0/20:4)+HCO2,839.6284,779.6026,303.2329,168.0431
SM(d21:0/20:5)+HCO2,837.6128,777.587,301.2173,168.0431
SM(d21:0/21:0)+HCO2,861.7067,801.6809,325.3112,168.0431
SM(d21:0/22:0)+HCO2,875.7223,815.6965,339.3268,168.0431
SM(d21:0/22:1)+HCO2,873.7067,813.6809,337.3112,168.0431
SM(d21:0/22:2)+HCO2,871.691,811.6652,335.2955,168.0431
SM(d21:0/22:3)+HCO2,869.6754,809.6496,333.2799,168.0431
SM(d21:0/22:4)+HCO2,867.6597,807.6339,331.2642,168.0431
SM(d21:0/22:5)+HCO2,865.6441,805.6183,329.2486,168.0431
SM(d21:0/22:6)+HCO2,863.6284,803.6026,327.2329,168.0431
SM(d21:0/23:0)+HCO2,889.738,829.7122,353.3425,168.0431
SM(d21:0/24:0)+HCO2,903.7536,843.7278,367.3581,168.0431
SM(d21:0/24:1)+HCO2,901.738,841.7122,365.3425,168.0431
SM(d21:0/25:0)+HCO2,917.7693,857.7435,381.3738,168.0431
SM(d21:0/26:0)+HCO2,931.7849,871.7591,395.3894,168.0431
SM(d21:0/8:0)+HCO2,679.5032,619.4774,143.1077,168.0431
SM(d22:0/10:0)+HCO2,721.5501,661.5243,171.139,168.0431
SM(d22:0/12:0)+HCO2,749.5814,689.5556,199.1703,168.0431
SM(d22:0/13:0)+HCO2,763.5971,703.5713,213.186,168.0431
SM(d22:0/14:0)+HCO2,777.6127,717.5869,227.2016,168.0431
SM(d22:0/14:1)+HCO2,775.5971,715.5713,225.186,168.0431
SM(d22:0/15:0)+HCO2,791.6284,731.6026,241.2173,168.0431
SM(d22:0/15:1)+HCO2,789.6127,729.5869,239.2016,168.0431
SM(d22:0/16:0)+HCO2,805.644,745.6182,255.2329,168.0431
SM(d22:0/16:1)+HCO2,803.6284,743.6026,253.2173,168.0431
SM(d22:0/17:0)+HCO2,819.6597,759.6339,269.2486,168.0431
SM(d22:0/17:1)+HCO2,817.644,757.6182,267.2329,168.0431
SM(d22:0/17:2)+HCO2,815.6284,755.6026,265.2173,168.0431
SM(d22:0/18:0)+HCO2,833.6753,773.6495,283.2642,168.0431
SM(d22:0/18:1)+HCO2,831.6597,771.6339,281.2486,168.0431
SM(d22:0/18:2)+HCO2,829.644,769.6182,279.2329,168.0431
SM(d22:0/18:3)+HCO2,827.6284,767.6026,277.2173,168.0431
SM(d22:0/18:4)+HCO2,825.6127,765.5869,275.2016,168.0431
SM(d22:0/19:0)+HCO2,847.691,787.6652,297.2799,168.0431
SM(d22:0/20:0)+HCO2,861.7066,801.6808,311.2955,168.0431
SM(d22:0/20:1)+HCO2,859.691,799.6652,309.2799,168.0431
SM(d22:0/20:2)+HCO2,857.6753,797.6495,307.2642,168.0431
SM(d22:0/20:3)+HCO2,855.6597,795.6339,305.2486,168.0431
SM(d22:0/20:4)+HCO2,853.644,793.6182,303.2329,168.0431
SM(d22:0/20:5)+HCO2,851.6284,791.6026,301.2173,168.0431
SM(d22:0/21:0)+HCO2,875.7223,815.6965,325.3112,168.0431
SM(d22:0/22:0)+HCO2,889.7379,829.7121,339.3268,168.0431
SM(d22:0/22:1)+HCO2,887.7223,827.6965,337.3112,168.0431
SM(d22:0/22:2)+HCO2,885.7066,825.6808,335.2955,168.0431
SM(d22:0/22:3)+HCO2,883.691,823.6652,333.2799,168.0431
SM(d22:0/22:4)+HCO2,881.6753,821.6495,331.2642,168.0431
SM(d22:0/22:5)+HCO2,879.6597,819.6339,329.2486,168.0431
SM(d22:0/22:6)+HCO2,877.644,817.6182,327.2329,168.0431
SM(d22:0/23:0)+HCO2,903.7536,843.7278,353.3425,168.0431
SM(d22:0/24:0)+HCO2,917.7692,857.7434,367.3581,168.0431
SM(d22:0/24:1)+HCO2,915.7536,855.7278,365.3425,168.0431
SM(d22:0/25:0)+HCO2,931.7849,871.7591,381.3738,168.0431
SM(d22:0/26:0)+HCO2,945.8005,885.7747,395.3894,168.0431
SM(d22:0/8:0)+HCO2,693.5188,633.493,143.1077,168.0431
SM(d22:1/10:0)+HCO2,719.5345,659.5087,171.139,168.0431
SM(d22:1/12:0)+HCO2,747.5658,687.54,199.1703,168.0431
SM(d22:1/13:0)+HCO2,761.5815,701.5557,213.186,168.0431
SM(d22:1/14:0)+HCO2,775.5971,715.5713,227.2016,168.0431
SM(d22:1/14:1)+HCO2,773.5815,713.5557,225.186,168.0431
SM(d22:1/15:0)+HCO2,789.6128,729.587,241.2173,168.0431
SM(d22:1/15:1)+HCO2,787.5971,727.5713,239.2016,168.0431
SM(d22:1/16:0)+HCO2,803.6284,743.6026,255.2329,168.0431
SM(d22:1/16:1)+HCO2,801.6128,741.587,253.2173,168.0431
SM(d22:1/17:0)+HCO2,817.6441,757.6183,269.2486,168.0431
SM(d22:1/17:1)+HCO2,815.6284,755.6026,267.2329,168.0431
SM(d22:1/17:2)+HCO2,813.6128,753.587,265.2173,168.0431
SM(d22:1/18:0)+HCO2,831.6597,771.6339,283.2642,168.0431
SM(d22:1/18:1)+HCO2,829.6441,769.6183,281.2486,168.0431
SM(d22:1/18:2)+HCO2,827.6284,767.6026,279.2329,168.0431
SM(d22:1/18:3)+HCO2,825.6128,765.587,277.2173,168.0431
SM(d22:1/18:4)+HCO2,823.5971,763.5713,275.2016,168.0431
SM(d22:1/19:0)+HCO2,845.6754,785.6496,297.2799,168.0431
SM(d22:1/20:0)+HCO2,859.691,799.6652,311.2955,168.0431
SM(d22:1/20:1)+HCO2,857.6754,797.6496,309.2799,168.0431
SM(d22:1/20:2)+HCO2,855.6597,795.6339,307.2642,168.0431
SM(d22:1/20:3)+HCO2,853.6441,793.6183,305.2486,168.0431
SM(d22:1/20:4)+HCO2,851.6284,791.6026,303.2329,168.0431
SM(d22:1/20:5)+HCO2,849.6128,789.587,301.2173,168.0431
SM(d22:1/21:0)+HCO2,873.7067,813.6809,325.3112,168.0431
SM(d22:1/22:0)+HCO2,887.7223,827.6965,339.3268,168.0431
SM(d22:1/22:1)+HCO2,885.7067,825.6809,337.3112,168.0431
SM(d22:1/22:2)+HCO2,883.691,823.6652,335.2955,168.0431
SM(d22:1/22:3)+HCO2,881.6754,821.6496,333.2799,168.0431
SM(d22:1/22:4)+HCO2,879.6597,819.6339,331.2642,168.0431
SM(d22:1/22:5)+HCO2,877.6441,817.6183,329.2486,168.0431
SM(d22:1/22:6)+HCO2,875.6284,815.6026,327.2329,168.0431
SM(d22:1/23:0)+HCO2,901.738,841.7122,353.3425,168.0431
SM(d22:1/24:0)+HCO2,915.7536,855.7278,367.3581,168.0431
SM(d22:1/24:1)+HCO2,913.738,853.7122,365.3425,168.0431
SM(d22:1/25:0)+HCO2,929.7693,869.7435,381.3738,168.0431
SM(d22:1/26:0)+HCO2,943.7849,883.7591,395.3894,168.0431
SM(d22:1/8:0)+HCO2,691.5032,631.4774,143.1077,168.0431
SM(d22:2/10:0)+HCO2,717.5188,657.493,171.139,168.0431
SM(d22:2/12:0)+HCO2,745.5501,685.5243,199.1703,168.0431
SM(d22:2/13:0)+HCO2,759.5658,699.54,213.186,168.0431
SM(d22:2/14:0)+HCO2,773.5814,713.5556,227.2016,168.0431
SM(d22:2/14:1)+HCO2,771.5658,711.54,225.186,168.0431
SM(d22:2/15:0)+HCO2,787.5971,727.5713,241.2173,168.0431
SM(d22:2/15:1)+HCO2,785.5814,725.5556,239.2016,168.0431
SM(d22:2/16:0)+HCO2,801.6127,741.5869,255.2329,168.0431
SM(d22:2/16:1)+HCO2,799.5971,739.5713,253.2173,168.0431
SM(d22:2/17:0)+HCO2,815.6284,755.6026,269.2486,168.0431
SM(d22:2/17:1)+HCO2,813.6127,753.5869,267.2329,168.0431
SM(d22:2/17:2)+HCO2,811.5971,751.5713,265.2173,168.0431
SM(d22:2/18:0)+HCO2,829.644,769.6182,283.2642,168.0431
SM(d22:2/18:1)+HCO2,827.6284,767.6026,281.2486,168.0431
SM(d22:2/18:2)+HCO2,825.6127,765.5869,279.2329,168.0431
SM(d22:2/18:3)+HCO2,823.5971,763.5713,277.2173,168.0431
SM(d22:2/18:4)+HCO2,821.5814,761.5556,275.2016,168.0431
SM(d22:2/19:0)+HCO2,843.6597,783.6339,297.2799,168.0431
SM(d22:2/20:0)+HCO2,857.6753,797.6495,311.2955,168.0431
SM(d22:2/20:1)+HCO2,855.6597,795.6339,309.2799,168.0431
SM(d22:2/20:2)+HCO2,853.644,793.6182,307.2642,168.0431
SM(d22:2/20:3)+HCO2,851.6284,791.6026,305.2486,168.0431
SM(d22:2/20:4)+HCO2,849.6127,789.5869,303.2329,168.0431
SM(d22:2/20:5)+HCO2,847.5971,787.5713,301.2173,168.0431
SM(d22:2/21:0)+HCO2,871.691,811.6652,325.3112,168.0431
SM(d22:2/22:0)+HCO2,885.7066,825.6808,339.3268,168.0431
SM(d22:2/22:1)+HCO2,883.691,823.6652,337.3112,168.0431
SM(d22:2/22:2)+HCO2,881.6753,821.6495,335.2955,168.0431
SM(d22:2/22:3)+HCO2,879.6597,819.6339,333.2799,168.0431
SM(d22:2/22:4)+HCO2,877.644,817.6182,331.2642,168.0431
SM(d22:2/22:5)+HCO2,875.6284,815.6026,329.2486,168.0431
SM(d22:2/22:6)+HCO2,873.6127,813.5869,327.2329,168.0431
SM(d22:2/23:0)+HCO2,899.7223,839.6965,353.3425,168.0431
SM(d22:2/24:0)+HCO2,913.7379,853.7121,367.3581,168.0431
SM(d22:2/24:1)+HCO2,911.7223,851.6965,365.3425,168.0431
SM(d22:2/25:0)+HCO2,927.7536,867.7278,381.3738,168.0431
SM(d22:2/26:0)+HCO2,941.7692,881.7434,395.3894,168.0431
SM(d22:2/8:0)+HCO2,689.4875,629.4617,143.1077,168.0431
SM(d22:3/10:0)+HCO2,715.5032,655.4774,171.139,168.0431
SM(d22:3/12:0)+HCO2,743.5345,683.5087,199.1703,168.0431
SM(d22:3/13:0)+HCO2,757.5502,697.5244,213.186,168.0431
SM(d22:3/14:0)+HCO2,771.5658,711.54,227.2016,168.0431
SM(d22:3/14:1)+HCO2,769.5502,709.5244,225.186,168.0431
SM(d22:3/15:0)+HCO2,785.5815,725.5557,241.2173,168.0431
SM(d22:3/15:1)+HCO2,783.5658,723.54,239.2016,168.0431
SM(d22:3/16:0)+HCO2,799.5971,739.5713,255.2329,168.0431
SM(d22:3/16:1)+HCO2,797.5815,737.5557,253.2173,168.0431
SM(d22:3/17:0)+HCO2,813.6128,753.587,269.2486,168.0431
SM(d22:3/17:1)+HCO2,811.5971,751.5713,267.2329,168.0431
SM(d22:3/17:2)+HCO2,809.5815,749.5557,265.2173,168.0431
SM(d22:3/18:0)+HCO2,827.6284,767.6026,283.2642,168.0431
SM(d22:3/18:1)+HCO2,825.6128,765.587,281.2486,168.0431
SM(d22:3/18:2)+HCO2,823.5971,763.5713,279.2329,168.0431
SM(d22:3/18:3)+HCO2,821.5815,761.5557,277.2173,168.0431
SM(d22:3/18:4)+HCO2,819.5658,759.54,275.2016,168.0431
SM(d22:3/19:0)+HCO2,841.6441,781.6183,297.2799,168.0431
SM(d22:3/20:0)+HCO2,855.6597,795.6339,311.2955,168.0431
SM(d22:3/20:1)+HCO2,853.6441,793.6183,309.2799,168.0431
SM(d22:3/20:2)+HCO2,851.6284,791.6026,307.2642,168.0431
SM(d22:3/20:3)+HCO2,849.6128,789.587,305.2486,168.0431
SM(d22:3/20:4)+HCO2,847.5971,787.5713,303.2329,168.0431
SM(d22:3/20:5)+HCO2,845.5815,785.5557,301.2173,168.0431
SM(d22:3/21:0)+HCO2,869.6754,809.6496,325.3112,168.0431
SM(d22:3/22:0)+HCO2,883.691,823.6652,339.3268,168.0431
SM(d22:3/22:1)+HCO2,881.6754,821.6496,337.3112,168.0431
SM(d22:3/22:2)+HCO2,879.6597,819.6339,335.2955,168.0431
SM(d22:3/22:3)+HCO2,877.6441,817.6183,333.2799,168.0431
SM(d22:3/22:4)+HCO2,875.6284,815.6026,331.2642,168.0431
SM(d22:3/22:5)+HCO2,873.6128,813.587,329.2486,168.0431
SM(d22:3/22:6)+HCO2,871.5971,811.5713,327.2329,168.0431
SM(d22:3/23:0)+HCO2,897.7067,837.6809,353.3425,168.0431
SM(d22:3/24:0)+HCO2,911.7223,851.6965,367.3581,168.0431
SM(d22:3/24:1)+HCO2,909.7067,849.6809,365.3425,168.0431
SM(d22:3/25:0)+HCO2,925.738,865.7122,381.3738,168.0431
SM(d22:3/26:0)+HCO2,939.7536,879.7278,395.3894,168.0431
SM(d22:3/8:0)+HCO2,687.4719,627.4461,143.1077,168.0431
SM(d22:4/10:0)+HCO2,713.4875,653.4617,171.139,168.0431
