GlcCer_NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
GlcCer_NS(d17:1/18:4)+H,706.52574,544.47294,526.46234,508.45184,268.26346,250.25296,276.2322,238.25296
GlcCer_NS(d17:1/19:0)+H,728.60404,566.55124,548.54064,530.53014,268.26346,250.25296,298.3105,238.25296
GlcCer_NS(d17:1/19:1)+H,726.58838,564.53558,546.52498,528.51448,268.26346,250.25296,296.29484,238.25296
GlcCer_NS(d17:1/19:2)+H,724.57272,562.51992,544.50932,526.49882,268.26346,250.25296,294.27918,238.25296
GlcCer_NS(d17:1/19:3)+H,722.55706,560.50426,542.49366,524.48316,268.26346,250.25296,292.26352,238.25296
GlcCer_NS(d17:1/19:4)+H,720.5414,558.4886,540.478,522.4675,268.26346,250.25296,290.24786,238.25296
GlcCer_NS(d17:1/20:0)+H,742.6197,580.5669,562.5563,544.5458,268.26346,250.25296,312.32616,238.25296
GlcCer_NS(d17:1/20:1)+H,740.60404,578.55124,560.54064,542.53014,268.26346,250.25296,310.3105,238.25296
GlcCer_NS(d17:1/20:2)+H,738.58838,576.53558,558.52498,540.51448,268.26346,250.25296,308.29484,238.25296
GlcCer_NS(d17:1/20:3)+H,736.57272,574.51992,556.50932,538.49882,268.26346,250.25296,306.27918,238.25296
GlcCer_NS(d17:1/20:4)+H,734.55706,572.50426,554.49366,536.48316,268.26346,250.25296,304.26352,238.25296
GlcCer_NS(d17:1/21:0)+H,756.63536,594.58256,576.57196,558.56146,268.26346,250.25296,326.34182,238.25296
GlcCer_NS(d17:1/21:1)+H,754.6197,592.5669,574.5563,556.5458,268.26346,250.25296,324.32616,238.25296
GlcCer_NS(d17:1/21:2)+H,752.60404,590.55124,572.54064,554.53014,268.26346,250.25296,322.3105,238.25296
GlcCer_NS(d17:1/21:3)+H,750.58838,588.53558,570.52498,552.51448,268.26346,250.25296,320.29484,238.25296
GlcCer_NS(d17:1/21:4)+H,748.57272,586.51992,568.50932,550.49882,268.26346,250.25296,318.27918,238.25296
GlcCer_NS(d17:1/22:0)+H,770.65102,608.59822,590.58762,572.57712,268.26346,250.25296,340.35748,238.25296
GlcCer_NS(d17:1/22:1)+H,768.63536,606.58256,588.57196,570.56146,268.26346,250.25296,338.34182,238.25296
GlcCer_NS(d17:1/22:2)+H,766.6197,604.5669,586.5563,568.5458,268.26346,250.25296,336.32616,238.25296
GlcCer_NS(d17:1/22:3)+H,764.60404,602.55124,584.54064,566.53014,268.26346,250.25296,334.3105,238.25296
GlcCer_NS(d17:1/22:4)+H,762.58838,600.53558,582.52498,564.51448,268.26346,250.25296,332.29484,238.25296
GlcCer_NS(d17:1/23:0)+H,784.66668,622.61388,604.60328,586.59278,268.26346,250.25296,354.37314,238.25296
GlcCer_NS(d17:1/23:1)+H,782.65102,620.59822,602.58762,584.57712,268.26346,250.25296,352.35748,238.25296
GlcCer_NS(d17:1/23:2)+H,780.63536,618.58256,600.57196,582.56146,268.26346,250.25296,350.34182,238.25296
GlcCer_NS(d17:1/23:3)+H,778.6197,616.5669,598.5563,580.5458,268.26346,250.25296,348.32616,238.25296
GlcCer_NS(d17:1/23:4)+H,776.60404,614.55124,596.54064,578.53014,268.26346,250.25296,346.3105,238.25296
GlcCer_NS(d17:1/24:0)+H,798.68234,636.62954,618.61894,600.60844,268.26346,250.25296,368.3888,238.25296
GlcCer_NS(d17:1/24:1)+H,796.66668,634.61388,616.60328,598.59278,268.26346,250.25296,366.37314,238.25296
GlcCer_NS(d17:1/24:2)+H,794.65102,632.59822,614.58762,596.57712,268.26346,250.25296,364.35748,238.25296
GlcCer_NS(d17:1/24:3)+H,792.63536,630.58256,612.57196,594.56146,268.26346,250.25296,362.34182,238.25296
GlcCer_NS(d17:1/24:4)+H,790.6197,628.5669,610.5563,592.5458,268.26346,250.25296,360.32616,238.25296
GlcCer_NS(d17:1/25:0)+H,812.698,650.6452,632.6346,614.6241,268.26346,250.25296,382.40446,238.25296
GlcCer_NS(d17:1/25:1)+H,810.68234,648.62954,630.61894,612.60844,268.26346,250.25296,380.3888,238.25296
GlcCer_NS(d17:1/25:2)+H,808.66668,646.61388,628.60328,610.59278,268.26346,250.25296,378.37314,238.25296
GlcCer_NS(d17:1/25:3)+H,806.65102,644.59822,626.58762,608.57712,268.26346,250.25296,376.35748,238.25296
GlcCer_NS(d17:1/25:4)+H,804.63536,642.58256,624.57196,606.56146,268.26346,250.25296,374.34182,238.25296
GlcCer_NS(d17:1/26:0)+H,826.71366,664.66086,646.65026,628.63976,268.26346,250.25296,396.42012,238.25296
GlcCer_NS(d17:1/26:1)+H,824.698,662.6452,644.6346,626.6241,268.26346,250.25296,394.40446,238.25296
GlcCer_NS(d17:1/26:2)+H,822.68234,660.62954,642.61894,624.60844,268.26346,250.25296,392.3888,238.25296
GlcCer_NS(d17:1/26:3)+H,820.66668,658.61388,640.60328,622.59278,268.26346,250.25296,390.37314,238.25296
GlcCer_NS(d17:1/26:4)+H,818.65102,656.59822,638.58762,620.57712,268.26346,250.25296,388.35748,238.25296
GlcCer_NS(d17:1/27:0)+H,840.72932,678.67652,660.66592,642.65542,268.26346,250.25296,410.43578,238.25296
GlcCer_NS(d17:1/27:1)+H,838.71366,676.66086,658.65026,640.63976,268.26346,250.25296,408.42012,238.25296
GlcCer_NS(d17:1/27:2)+H,836.698,674.6452,656.6346,638.6241,268.26346,250.25296,406.40446,238.25296
GlcCer_NS(d17:1/27:3)+H,834.68234,672.62954,654.61894,636.60844,268.26346,250.25296,404.3888,238.25296
GlcCer_NS(d17:1/27:4)+H,832.66668,670.61388,652.60328,634.59278,268.26346,250.25296,402.37314,238.25296
GlcCer_NS(d17:1/28:0)+H,854.74498,692.69218,674.68158,656.67108,268.26346,250.25296,424.45144,238.25296
GlcCer_NS(d17:1/28:1)+H,852.72932,690.67652,672.66592,654.65542,268.26346,250.25296,422.43578,238.25296
GlcCer_NS(d17:1/28:2)+H,850.71366,688.66086,670.65026,652.63976,268.26346,250.25296,420.42012,238.25296
GlcCer_NS(d17:1/28:3)+H,848.698,686.6452,668.6346,650.6241,268.26346,250.25296,418.40446,238.25296
GlcCer_NS(d17:1/28:4)+H,846.68234,684.62954,666.61894,648.60844,268.26346,250.25296,416.3888,238.25296
GlcCer_NS(d17:1/29:0)+H,868.76064,706.70784,688.69724,670.68674,268.26346,250.25296,438.4671,238.25296
GlcCer_NS(d17:1/29:1)+H,866.74498,704.69218,686.68158,668.67108,268.26346,250.25296,436.45144,238.25296
GlcCer_NS(d17:1/29:2)+H,864.72932,702.67652,684.66592,666.65542,268.26346,250.25296,434.43578,238.25296
GlcCer_NS(d17:1/29:3)+H,862.71366,700.66086,682.65026,664.63976,268.26346,250.25296,432.42012,238.25296
GlcCer_NS(d17:1/29:4)+H,860.698,698.6452,680.6346,662.6241,268.26346,250.25296,430.40446,238.25296
